idx,idm,errors
0,96763,0.0
1,96767,0.0
2,96769,0.0
3,96770,0.0
4,96824,0.0
5,96827,0.0
6,96828,0.0
7,96829,0.0
8,96831,0.0
9,96832,0.0
10,96834,0.0
11,96836,0.0
12,96838,0.0
13,96909,0.0
14,96912,0.0
15,96924,0.0
16,96925,0.0
17,96927,0.0
18,96928,0.0
19,96931,0.0
20,96933,0.0
21,96934,0.0
22,97023,0.0
23,97024,0.0
24,97026,0.0
25,97027,0.0
26,97028,0.0
27,97034,0.0
28,97035,0.0
29,97039,0.0
30,97040,0.0
31,97041,0.0
32,97042,0.0
33,97047,0.0
34,97048,0.0
35,97051,0.0
36,97052,0.0
37,97054,0.0
38,97056,0.0
39,97057,0.0
40,97059,0.0
41,97061,0.0
42,97063,0.0
43,97165,0.0
44,97166,0.0
45,97168,0.0
46,97169,0.0
47,97170,0.0
48,97171,0.0
49,97172,0.0
50,97177,0.0
51,97179,0.0
52,97180,0.0
53,97181,0.0
54,97182,0.0
55,97183,0.0
56,97186,0.0
57,97187,0.0
58,97188,0.0
59,97189,0.0
60,97190,0.0
61,97191,0.0
62,97193,0.0
63,97194,0.0
64,97195,0.0
65,97196,0.0
66,97203,0.0
67,97245,0.0
68,97246,0.0
69,97248,0.0
70,97249,0.0
71,97250,0.0
72,97251,0.0
73,97252,0.0
74,97253,0.0
75,97255,0.0
76,97256,0.0
77,97257,0.0
78,97258,0.0
79,97259,0.0
80,97260,0.0
81,97263,0.0
82,97264,0.0
83,97265,0.0
84,97266,0.0
85,97270,0.0
86,97271,0.0
87,97272,0.0
88,97274,0.0
89,97275,0.0
90,97276,0.0
91,97277,0.0
92,97278,0.0
93,97324,0.0
94,97325,0.0
95,97326,0.0
96,97327,0.0
97,97328,0.0
98,97329,0.0
99,97330,0.0
100,97331,0.0
101,97332,0.0
102,97333,0.0
103,97334,0.0
104,97339,0.0
105,97340,0.0
106,97342,0.0
107,97344,0.0
108,97345,0.0
109,97346,0.0
110,97347,0.0
111,97349,0.0
112,97390,0.0
113,97391,0.0
114,97394,0.0
115,97395,0.0
116,97396,0.0
117,97403,0.0
118,97404,0.0
119,97405,0.0
120,97406,0.0
121,97407,0.0
122,97409,0.0
123,97412,0.0
124,97413,0.0
125,97453,0.0
126,97454,0.0
127,97457,0.0
128,97458,0.0
129,97459,0.0
130,97463,0.0
131,97464,0.0
132,97465,0.0
133,97466,0.0
134,97469,0.0
135,97470,0.0
136,97472,0.0
137,97517,0.0
138,97518,0.0
139,97519,0.0
140,97520,0.0
141,97521,0.0
142,97523,0.0
143,97524,0.0
144,97525,0.0
145,97529,0.0
146,97530,0.0
147,97531,0.0
148,97532,0.0
149,97535,0.0
150,97536,0.0
151,97537,0.0
152,97565,0.0
153,97566,0.0
154,97567,0.0
155,97568,0.0
156,97569,0.0
157,97571,0.0
158,97576,0.0
159,97577,0.0
160,97578,0.0
161,97579,0.0
162,97582,0.0
163,97586,0.0
164,97587,0.0
165,97588,0.0
166,97595,0.0
167,97596,0.0
168,97633,0.0
169,97634,0.0
170,97635,0.0
171,97636,0.0
172,97639,0.0
173,97641,0.0
174,97643,0.0
175,97644,0.0
176,97645,0.0
177,97646,0.0
178,97647,0.0
179,97649,0.0
180,97650,0.0
181,97656,0.0
182,97657,0.0
183,97658,0.0
184,97698,0.0
185,97699,0.0
186,97700,0.0
187,97701,0.0
188,97702,0.0
189,97704,0.0
190,97707,0.0
191,97708,0.0
192,97711,0.0
193,97712,0.0
194,97716,0.0
195,97717,0.0
196,97718,0.0
197,97719,0.0
198,97720,0.0
199,97721,0.0
200,97722,0.0
201,97723,0.0
202,97724,0.0
203,97725,0.0
204,97729,0.0
205,97730,0.0
206,97763,0.0
207,97765,0.0
208,97766,0.0
209,97767,0.0
210,97769,0.0
211,97770,0.0
212,97771,0.0
213,97773,0.0
214,97774,0.0
215,97775,0.0
216,97776,0.0
217,97778,0.0
218,97779,0.0
219,97781,0.0
220,97782,0.0
221,97783,0.0
222,97784,0.0
223,97785,0.0
224,97786,0.0
225,97787,0.0
226,97813,0.0
227,97819,0.0
228,97820,0.0
229,97822,0.0
230,97823,0.0
231,97824,0.0
232,97825,0.0
233,97826,0.0
234,97827,0.0
235,97828,0.0
236,97829,0.0
237,97830,0.0
238,97831,0.0
239,97832,0.0
240,97856,0.0
241,97863,0.0
242,97864,0.0
243,97865,0.0
244,97866,0.0
245,97867,0.0
246,97870,0.0
247,97871,0.0
248,97872,0.0
249,97873,0.0
250,97874,0.0
251,97875,0.0
252,97877,0.0
253,97878,0.0
254,97879,0.0
255,97880,0.0
256,97881,0.0
257,97882,0.0
258,97884,0.0
259,97885,0.0
260,97886,0.0
261,97907,0.0
262,97909,0.0
263,97910,0.0
264,97911,0.0
