idx,idm,errors
0,95894,0.0
1,95896,0.0
2,95897,0.0
3,95898,0.0
4,95901,0.0
5,95902,0.0
6,95903,0.0
7,95904,0.0
8,95905,0.0
9,95906,0.0
10,95909,0.0
11,95937,0.0
12,95939,0.0
13,95940,0.0
14,95943,0.0
15,95944,0.0
16,95945,0.0
17,95976,0.0
18,95977,0.0
19,95978,0.0
20,95979,0.0
21,95981,0.0
22,95982,0.0
23,95984,0.0
24,95988,0.0
25,96005,0.0
26,96008,0.0
27,96011,0.0
28,96012,0.0
29,96013,0.0
30,96014,0.0
31,96015,0.0
32,96016,0.0
33,96017,0.0
34,96020,0.0
35,96050,0.0
36,96051,0.0
37,96052,0.0
38,96053,0.0
39,96054,0.0
40,96055,0.0
41,96056,0.0
42,96059,0.0
43,96060,0.0
44,96061,0.0
45,96085,0.0
46,96086,0.0
47,96089,0.0
48,96123,0.0
49,96124,0.0
50,96125,0.0
51,96126,0.0
52,96127,0.0
53,96128,0.0
54,96130,0.0
55,96131,0.0
56,96132,0.0
57,96133,0.0
58,96159,0.0
59,96160,0.0
60,96161,0.0
61,96162,0.0
62,96164,0.0
63,96165,0.0
64,96166,0.0
65,96168,0.0
66,96170,0.0
67,96173,0.0
68,96203,0.0
69,96206,0.0
70,96207,0.0
71,96208,0.0
72,96209,0.0
73,96210,0.0
74,96212,0.0
75,96213,0.0
76,96214,0.0
77,96245,0.0
78,96246,0.0
79,96248,0.0
80,96249,0.0
81,96250,0.0
82,96251,0.0
83,96253,0.0
84,96284,0.0
85,96285,0.0
86,96287,0.0
87,96288,0.0
88,96290,0.0
89,96291,0.0
90,96292,0.0
91,96324,0.0
92,96325,0.0
93,96331,0.0
94,96332,0.0
95,96334,0.0
96,96335,0.0
97,96338,0.0
98,96369,0.0
99,96373,0.0
100,96376,0.0
101,96377,0.0
102,96379,0.0
103,96380,0.0
104,96381,0.0
105,96383,0.0
106,96415,0.0
107,96420,0.0
108,96423,0.0
109,96430,0.0
110,96431,0.0
111,96432,0.0
112,96435,0.0
113,96436,0.0
114,96474,0.0
115,96475,0.0
116,96476,0.0
117,96479,0.0
118,96489,0.0
119,96490,0.0
120,96494,0.0
121,96541,0.0
122,96547,0.0
123,96550,0.0
124,96551,0.0
125,96610,0.0
126,96613,0.0
127,96614,0.0
128,96618,0.0
129,96624,0.0
130,96625,0.0
131,96653,0.0
132,96662,0.0
133,96706,0.0
134,96707,0.0
135,96710,0.0
136,96711,0.0
137,96712,0.0
138,96716,0.0
