idx,idm,errors
0,96300,0.0
1,96301,0.0
2,96302,0.0
3,96339,0.0
4,96341,0.0
5,96348,0.0
6,96349,0.0
7,96350,0.0
8,96386,0.0
9,96387,0.0
10,96388,0.0
11,96393,0.0
12,96394,0.0
13,96395,0.0
14,96396,0.0
15,96397,0.0
16,96398,0.0
17,96399,0.0
18,96400,0.0
19,96440,0.0
20,96441,0.0
21,96442,0.0
22,96444,0.0
23,96445,0.0
24,96446,0.0
25,96447,0.0
26,96448,0.0
27,96449,0.0
28,96450,0.0
29,96500,0.0
30,96507,0.0
31,96508,0.0
32,96512,0.0
33,96513,0.0
34,96514,0.0
35,96515,0.0
36,96516,0.0
37,96517,0.0
38,96518,0.0
39,96573,0.0
40,96574,0.0
41,96575,0.0
42,96578,0.0
43,96579,0.0
44,96582,0.0
45,96583,0.0
46,96584,0.0
47,96585,0.0
48,96586,0.0
49,96587,0.0
50,96588,0.0
51,96629,0.0
52,96630,0.0
53,96631,0.0
54,96632,0.0
55,96668,0.0
56,96720,0.0
