idx,idm,errors
0,96312,0.0
1,96358,0.0
2,96359,0.0
3,96361,0.0
4,96362,0.0
5,96404,0.0
6,96406,0.0
7,96408,0.0
8,96409,0.0
9,96459,0.0
10,96463,0.0
11,96464,0.0
12,96523,0.0
13,96528,0.0
14,96529,0.0
15,96531,0.0
16,96592,0.0
17,96593,0.0
18,96594,0.0
19,96598,0.0
20,96599,0.0
21,96600,0.0
22,96636,0.0
23,96639,0.0
24,96640,0.0
25,96641,0.0
26,96681,0.0
27,96683,0.0
28,96684,0.0
29,96685,0.0
30,96688,0.0
31,96750,0.0
32,96753,0.0
33,96754,0.0
34,96755,0.0
35,96756,0.0
36,96815,0.0
37,96816,0.0
38,96820,0.0
39,96821,0.0
40,96898,0.0
41,96899,0.0
42,96907,0.0
43,96908,0.0
44,96910,0.0
45,96911,0.0
46,96917,0.0
47,96918,0.0
48,96919,0.0
49,97011,0.0
50,97020,0.0
51,97021,0.0
52,97025,0.0
53,97030,0.0
54,97031,0.0
55,97032,0.0
56,97033,0.0
57,97039,0.0
58,97153,0.0
59,97164,0.0
