idx,idm,errors
0,96857,0.0
1,96858,0.0
2,96859,0.0
3,96860,0.0
4,96861,0.0
5,96862,0.0
6,96864,0.0
7,96892,0.0
8,96953,0.0
9,96954,0.0
10,96955,0.0
11,96956,0.0
12,96957,0.0
13,96958,0.0
14,96959,0.0
15,96963,0.0
16,96965,0.0
17,96979,0.0
18,96988,0.0
19,96989,0.0
20,96990,0.0
21,96991,0.0
22,96992,0.0
23,96993,0.0
24,96999,0.0
25,97000,0.0
26,97003,0.0
27,97010,0.0
28,97018,0.0
29,97019,0.0
30,97082,0.0
31,97083,0.0
32,97084,0.0
33,97087,0.0
34,97093,0.0
35,97095,0.0
36,97098,0.0
37,97099,0.0
38,97100,0.0
39,97101,0.0
40,97102,0.0
41,97104,0.0
42,97105,0.0
43,97106,0.0
44,97107,0.0
45,97108,0.0
46,97109,0.0
47,97110,0.0
48,97112,0.0
49,97120,0.0
50,97127,0.0
51,97128,0.0
52,97134,0.0
53,97135,0.0
54,97142,0.0
55,97143,0.0
56,97151,0.0
57,97175,0.0
58,97218,0.0
59,97219,0.0
60,97220,0.0
61,97221,0.0
62,97222,0.0
63,97223,0.0
64,97224,0.0
65,97225,0.0
66,97226,0.0
67,97227,0.0
68,97228,0.0
69,97229,0.0
70,97230,0.0
71,97231,0.0
72,97234,0.0
73,97235,0.0
74,97236,0.0
75,97239,0.0
76,97240,0.0
77,97241,0.0
78,97244,0.0
79,97247,0.0
80,97299,0.0
81,97300,0.0
82,97301,0.0
83,97302,0.0
84,97303,0.0
85,97304,0.0
86,97305,0.0
87,97307,0.0
88,97308,0.0
89,97309,0.0
90,97310,0.0
91,97311,0.0
92,97312,0.0
93,97313,0.0
94,97314,0.0
95,97315,0.0
96,97317,0.0
97,97320,0.0
98,97364,0.0
99,97365,0.0
100,97366,0.0
101,97367,0.0
102,97368,0.0
103,97369,0.0
104,97370,0.0
105,97371,0.0
106,97372,0.0
107,97373,0.0
108,97374,0.0
109,97375,0.0
110,97376,0.0
111,97378,0.0
112,97380,0.0
113,97381,0.0
114,97382,0.0
115,97384,0.0
116,97385,0.0
117,97431,0.0
118,97432,0.0
119,97433,0.0
120,97434,0.0
121,97435,0.0
122,97436,0.0
123,97437,0.0
124,97438,0.0
125,97440,0.0
126,97443,0.0
127,97444,0.0
128,97446,0.0
129,97448,0.0
130,97450,0.0
131,97485,0.0
132,97486,0.0
133,97487,0.0
134,97488,0.0
135,97489,0.0
136,97490,0.0
137,97491,0.0
138,97492,0.0
139,97493,0.0
140,97494,0.0
141,97495,0.0
142,97496,0.0
143,97497,0.0
144,97498,0.0
145,97499,0.0
146,97501,0.0
147,97502,0.0
148,97506,0.0
149,97544,0.0
150,97545,0.0
151,97546,0.0
152,97547,0.0
153,97548,0.0
154,97549,0.0
155,97550,0.0
156,97551,0.0
157,97552,0.0
158,97554,0.0
159,97556,0.0
160,97557,0.0
161,97558,0.0
162,97560,0.0
163,97597,0.0
164,97598,0.0
165,97599,0.0
166,97600,0.0
167,97601,0.0
168,97602,0.0
169,97603,0.0
170,97604,0.0
171,97605,0.0
172,97606,0.0
173,97607,0.0
174,97609,0.0
175,97611,0.0
176,97614,0.0
177,97615,0.0
178,97618,0.0
179,97621,0.0
180,97660,0.0
181,97661,0.0
182,97662,0.0
183,97663,0.0
184,97664,0.0
185,97665,0.0
186,97666,0.0
187,97667,0.0
188,97668,0.0
189,97669,0.0
190,97670,0.0
191,97671,0.0
192,97673,0.0
193,97675,0.0
194,97676,0.0
195,97678,0.0
196,97681,0.0
197,97731,0.0
198,97732,0.0
199,97733,0.0
200,97734,0.0
201,97735,0.0
202,97736,0.0
203,97737,0.0
204,97738,0.0
205,97740,0.0
206,97741,0.0
207,97742,0.0
208,97744,0.0
209,97755,0.0
210,97788,0.0
211,97789,0.0
212,97790,0.0
213,97791,0.0
214,97833,0.0
215,97834,0.0
216,97836,0.0
217,97837,0.0
