idx,idm,errors
0,69450,0.0
1,69466,0.0
2,69467,0.0
3,69490,0.0
4,69502,0.0
5,69505,0.0
6,69524,0.0
7,69540,0.0
8,69543,0.0
9,69545,0.0
10,69546,0.0
11,69563,0.0
12,69574,0.0
13,69576,0.0
14,69578,0.0
15,69580,0.0
16,69581,0.0
17,69583,0.0
18,69599,0.0
19,69600,0.0
20,69614,0.0
21,69616,0.0
22,69618,0.0
23,69620,0.0
24,69621,0.0
25,69622,0.0
26,69624,0.0
27,69641,0.0
28,69642,0.0
29,69643,0.0
30,69645,0.0
31,69659,0.0
32,69660,0.0
33,69661,0.0
34,69663,0.0
35,69666,0.0
36,69682,0.0
37,69683,0.0
38,69686,0.0
39,69687,0.0
40,69689,0.0
41,69690,0.0
42,69692,0.0
43,69693,0.0
44,69708,0.0
45,69709,0.0
46,69710,0.0
47,69715,0.0
48,69716,0.0
49,69729,0.0
50,69732,0.0
51,69733,0.0
52,69735,0.0
53,69736,0.0
54,69737,0.0
55,69738,0.0
56,69739,0.0
57,69742,0.0
58,69757,0.0
59,69759,0.0
60,69761,0.0
61,69762,0.0
62,69763,0.0
63,69764,0.0
64,69766,0.0
65,69768,0.0
66,69770,0.0
67,69773,0.0
68,69774,0.0
69,69775,0.0
70,69786,0.0
71,69788,0.0
72,69790,0.0
73,69793,0.0
74,69794,0.0
75,69796,0.0
76,69797,0.0
77,69799,0.0
78,69800,0.0
79,69801,0.0
80,69813,0.0
81,69816,0.0
82,69818,0.0
83,69819,0.0
84,69820,0.0
85,69821,0.0
86,69838,0.0
87,69839,0.0
88,69840,0.0
89,69841,0.0
90,69842,0.0
91,69844,0.0
92,69846,0.0
93,69847,0.0
94,69849,0.0
95,69850,0.0
96,69852,0.0
97,69853,0.0
98,69854,0.0
99,69868,0.0
100,69870,0.0
101,69872,0.0
102,69873,0.0
103,69875,0.0
104,69877,0.0
105,69881,0.0
106,69882,0.0
107,69883,0.0
108,69884,0.0
109,69885,0.0
110,69886,0.0
111,69908,0.0
112,69909,0.0
113,69910,0.0
114,69911,0.0
115,69912,0.0
116,69913,0.0
117,69915,0.0
118,69916,0.0
119,69917,0.0
120,69918,0.0
121,69919,0.0
122,69920,0.0
123,69921,0.0
124,69922,0.0
125,69924,0.0
126,69925,0.0
127,69926,0.0
128,69927,0.0
129,69928,0.0
130,69944,0.0
131,69945,0.0
132,69946,0.0
133,69949,0.0
134,69951,0.0
135,69953,0.0
136,69954,0.0
137,69955,0.0
138,69957,0.0
139,69958,0.0
140,69959,0.0
141,69960,0.0
142,69961,0.0
143,69962,0.0
144,69990,0.0
145,69992,0.0
146,69993,0.0
147,69995,0.0
148,69996,0.0
149,69997,0.0
150,69999,0.0
151,70001,0.0
152,70002,0.0
153,70003,0.0
154,70004,0.0
155,70005,0.0
156,70006,0.0
157,70007,0.0
158,70008,0.0
159,70009,0.0
160,70010,0.0
161,70011,0.0
162,70012,0.0
163,70044,0.0
164,70049,0.0
165,70052,0.0
166,70055,0.0
167,70059,0.0
168,70060,0.0
169,70061,0.0
170,70062,0.0
171,70063,0.0
172,70064,0.0
173,70065,0.0
174,70067,0.0
175,70068,0.0
176,70069,0.0
177,70070,0.0
178,70071,0.0
179,70100,0.0
180,70103,0.0
181,70104,0.0
182,70105,0.0
183,70106,0.0
184,70107,0.0
185,70108,0.0
186,70110,0.0
187,70112,0.0
188,70113,0.0
189,70114,0.0
190,70115,0.0
191,70116,0.0
192,70117,0.0
193,70146,0.0
194,70147,0.0
195,70148,0.0
196,70149,0.0
197,70150,0.0
198,70151,0.0
199,70153,0.0
200,70154,0.0
201,70155,0.0
202,70156,0.0
203,70157,0.0
204,70158,0.0
205,70159,0.0
206,70191,0.0
207,70193,0.0
208,70195,0.0
209,70196,0.0
210,70197,0.0
211,70198,0.0
212,70199,0.0
213,70200,0.0
214,70201,0.0
215,70202,0.0
216,70203,0.0
217,70205,0.0
218,70206,0.0
219,70230,0.0
220,70231,0.0
221,70232,0.0
222,70233,0.0
223,70234,0.0
224,70236,0.0
225,70237,0.0
226,70238,0.0
227,70239,0.0
228,70240,0.0
229,70241,0.0
230,70265,0.0
231,70266,0.0
232,70267,0.0
233,70268,0.0
234,70269,0.0
235,70270,0.0
236,70271,0.0
237,70272,0.0
238,70274,0.0
239,70275,0.0
240,70276,0.0
241,70277,0.0
242,70278,0.0
243,70279,0.0
244,70280,0.0
245,70282,0.0
246,70302,0.0
247,70309,0.0
248,70311,0.0
249,70313,0.0
250,70314,0.0
251,70315,0.0
252,70316,0.0
253,70318,0.0
254,70319,0.0
255,70320,0.0
256,70353,0.0
257,70357,0.0
