idx,idm,errors
0,68402,0.0
1,68404,0.0
2,68406,0.0
3,68426,0.0
4,68428,0.0
5,68429,0.0
6,68453,0.0
7,68455,0.0
8,68456,0.0
9,68457,0.0
10,68459,0.0
11,68461,0.0
12,68475,0.0
13,68478,0.0
14,68479,0.0
15,68480,0.0
16,68482,0.0
17,68483,0.0
18,68485,0.0
19,68488,0.0
20,68504,0.0
21,68508,0.0
22,68509,0.0
23,68512,0.0
24,68514,0.0
25,68535,0.0
26,68536,0.0
27,68537,0.0
28,68539,0.0
29,68540,0.0
30,68563,0.0
31,68566,0.0
32,68567,0.0
33,68568,0.0
34,68569,0.0
35,68594,0.0
36,68595,0.0
37,68596,0.0
38,68597,0.0
39,68599,0.0
40,68601,0.0
41,68603,0.0
42,68625,0.0
43,68626,0.0
44,68628,0.0
45,68650,0.0
46,68652,0.0
47,68653,0.0
48,68655,0.0
49,68656,0.0
50,68658,0.0
51,68659,0.0
52,68687,0.0
53,68688,0.0
54,68691,0.0
55,68692,0.0
56,68719,0.0
57,68721,0.0
58,68723,0.0
59,68724,0.0
60,68725,0.0
61,68756,0.0
62,68758,0.0
63,68759,0.0
64,68761,0.0
65,68794,0.0
66,68795,0.0
67,68797,0.0
68,68798,0.0
69,68830,0.0
70,68831,0.0
71,68832,0.0
72,68835,0.0
73,68837,0.0
74,68870,0.0
75,68875,0.0
76,68878,0.0
77,68903,0.0
78,68907,0.0
79,68911,0.0
80,68914,0.0
81,68915,0.0
82,68919,0.0
83,68952,0.0
84,68955,0.0
85,68988,0.0
86,68989,0.0
87,68990,0.0
88,68994,0.0
89,68995,0.0
90,68999,0.0
91,69003,0.0
92,69004,0.0
93,69025,0.0
94,69026,0.0
95,69030,0.0
96,69048,0.0
97,69051,0.0
98,69054,0.0
99,69055,0.0
100,69075,0.0
101,69080,0.0
102,69081,0.0
103,69097,0.0
104,69099,0.0
105,69101,0.0
106,69104,0.0
107,69107,0.0
108,69108,0.0
109,69124,0.0
110,69130,0.0
111,69131,0.0
112,69133,0.0
113,69151,0.0
114,69153,0.0
115,69158,0.0
116,69172,0.0
117,69173,0.0
118,69189,0.0
119,69190,0.0
120,69191,0.0
121,69194,0.0
122,69196,0.0
123,69198,0.0
124,69200,0.0
125,69212,0.0
126,69214,0.0
127,69233,0.0
128,69234,0.0
129,69236,0.0
130,69238,0.0
131,69240,0.0
132,69252,0.0
133,69255,0.0
134,69258,0.0
135,69275,0.0
136,69278,0.0
137,69290,0.0
138,69291,0.0
139,69293,0.0
140,69295,0.0
141,69315,0.0
142,69331,0.0
143,69332,0.0
