idx,idm,errors
0,68607,0.0
1,68608,0.0
2,68637,0.0
3,68663,0.0
4,68664,0.0
5,68666,0.0
6,68700,0.0
7,68701,0.0
8,68702,0.0
9,68729,0.0
10,68730,0.0
11,68732,0.0
12,68736,0.0
13,68765,0.0
14,68766,0.0
15,68767,0.0
16,68768,0.0
17,68769,0.0
18,68800,0.0
19,68801,0.0
20,68802,0.0
21,68803,0.0
22,68804,0.0
23,68805,0.0
24,68840,0.0
25,68841,0.0
26,68842,0.0
27,68843,0.0
28,68844,0.0
29,68845,0.0
30,68882,0.0
31,68883,0.0
32,68884,0.0
33,68885,0.0
34,68886,0.0
35,68925,0.0
36,68926,0.0
37,68927,0.0
38,68928,0.0
39,68929,0.0
40,68930,0.0
41,68964,0.0
42,68965,0.0
43,68966,0.0
44,68967,0.0
45,68968,0.0
46,69010,0.0
47,69011,0.0
48,69012,0.0
49,69037,0.0
50,69038,0.0
51,69039,0.0
52,69058,0.0
53,69060,0.0
54,69064,0.0
55,69065,0.0
56,69086,0.0
57,69113,0.0
58,69114,0.0
59,69140,0.0
60,69141,0.0
61,69142,0.0
62,69179,0.0
