idx,idm,errors
0,69183,0.0
1,69184,0.0
2,69221,0.0
3,69228,0.0
4,69229,0.0
5,69248,0.0
6,69267,0.0
7,69268,0.0
8,69271,0.0
9,69286,0.0
10,69287,0.0
11,69302,0.0
12,69303,0.0
13,69308,0.0
14,69338,0.0
15,69340,0.0
16,69353,0.0
17,69357,0.0
18,69375,0.0
19,69376,0.0
20,69394,0.0
21,69397,0.0
22,69409,0.0
23,69410,0.0
24,69423,0.0
25,69424,0.0
26,69428,0.0
27,69445,0.0
28,69446,0.0
29,69458,0.0
30,69460,0.0
31,69481,0.0
32,69485,0.0
33,69496,0.0
34,69497,0.0
35,69520,0.0
36,69521,0.0
37,69533,0.0
38,69536,0.0
39,69554,0.0
40,69558,0.0
41,69561,0.0
42,69569,0.0
43,69572,0.0
44,69588,0.0
45,69589,0.0
46,69594,0.0
47,69611,0.0
48,69612,0.0
49,69630,0.0
50,69632,0.0
51,69634,0.0
52,69635,0.0
53,69636,0.0
54,69652,0.0
55,69653,0.0
56,69656,0.0
57,69676,0.0
58,69677,0.0
59,69679,0.0
60,69681,0.0
61,69701,0.0
62,69703,0.0
