idx,idm,errors
0,69610,0.0
1,69633,0.0
2,69637,0.0
3,69651,0.0
4,69654,0.0
5,69655,0.0
6,69657,0.0
7,69671,0.0
8,69672,0.0
9,69673,0.0
10,69674,0.0
11,69675,0.0
12,69678,0.0
13,69680,0.0
14,69697,0.0
15,69700,0.0
16,69702,0.0
17,69704,0.0
18,69705,0.0
19,69720,0.0
20,69722,0.0
21,69725,0.0
22,69728,0.0
23,69730,0.0
24,69744,0.0
25,69747,0.0
26,69748,0.0
27,69749,0.0
28,69750,0.0
29,69752,0.0
30,69753,0.0
31,69756,0.0
32,69758,0.0
33,69760,0.0
34,69781,0.0
35,69782,0.0
36,69783,0.0
37,69787,0.0
38,69789,0.0
39,69803,0.0
40,69805,0.0
41,69807,0.0
42,69811,0.0
43,69814,0.0
44,69815,0.0
45,69825,0.0
46,69830,0.0
47,69833,0.0
48,69836,0.0
49,69837,0.0
50,69856,0.0
51,69857,0.0
52,69859,0.0
53,69861,0.0
54,69862,0.0
55,69865,0.0
56,69867,0.0
57,69871,0.0
58,69874,0.0
59,69891,0.0
60,69892,0.0
61,69895,0.0
62,69898,0.0
63,69899,0.0
64,69904,0.0
65,69906,0.0
66,69914,0.0
67,69930,0.0
68,69933,0.0
69,69940,0.0
70,69943,0.0
71,69948,0.0
72,69965,0.0
73,69966,0.0
74,69967,0.0
75,69968,0.0
76,69969,0.0
77,69973,0.0
78,69977,0.0
79,69978,0.0
80,69980,0.0
81,69989,0.0
82,69994,0.0
83,70013,0.0
84,70019,0.0
85,70023,0.0
86,70024,0.0
87,70030,0.0
88,70031,0.0
89,70072,0.0
90,70073,0.0
91,70074,0.0
92,70075,0.0
93,70079,0.0
94,70080,0.0
95,70086,0.0
96,70091,0.0
97,70095,0.0
98,70118,0.0
99,70119,0.0
100,70121,0.0
101,70123,0.0
102,70124,0.0
103,70125,0.0
104,70126,0.0
105,70128,0.0
106,70129,0.0
107,70130,0.0
108,70137,0.0
109,70138,0.0
110,70161,0.0
111,70163,0.0
112,70164,0.0
113,70165,0.0
114,70166,0.0
115,70167,0.0
116,70168,0.0
117,70169,0.0
118,70170,0.0
119,70171,0.0
120,70172,0.0
121,70173,0.0
122,70174,0.0
123,70177,0.0
124,70180,0.0
125,70182,0.0
126,70185,0.0
127,70207,0.0
128,70208,0.0
129,70209,0.0
130,70210,0.0
131,70211,0.0
132,70212,0.0
133,70213,0.0
134,70214,0.0
135,70217,0.0
136,70218,0.0
137,70219,0.0
138,70220,0.0
139,70221,0.0
140,70224,0.0
141,70225,0.0
142,70242,0.0
143,70243,0.0
144,70244,0.0
145,70245,0.0
146,70246,0.0
147,70247,0.0
148,70248,0.0
149,70249,0.0
150,70250,0.0
151,70251,0.0
152,70252,0.0
153,70253,0.0
154,70257,0.0
155,70258,0.0
156,70286,0.0
157,70287,0.0
158,70288,0.0
159,70289,0.0
160,70290,0.0
161,70292,0.0
162,70294,0.0
163,70295,0.0
164,70296,0.0
165,70297,0.0
166,70323,0.0
167,70324,0.0
168,70325,0.0
169,70326,0.0
170,70327,0.0
171,70328,0.0
172,70329,0.0
173,70330,0.0
174,70331,0.0
175,70332,0.0
176,70333,0.0
177,70335,0.0
178,70337,0.0
179,70358,0.0
180,70359,0.0
181,70360,0.0
182,70361,0.0
183,70362,0.0
184,70363,0.0
185,70364,0.0
186,70366,0.0
187,70367,0.0
188,70369,0.0
189,70392,0.0
190,70393,0.0
191,70394,0.0
192,70395,0.0
193,70396,0.0
194,70398,0.0
195,70399,0.0
196,70400,0.0
197,70419,0.0
198,70420,0.0
199,70421,0.0
200,70422,0.0
201,70423,0.0
202,70424,0.0
203,70425,0.0
204,70426,0.0
205,70427,0.0
206,70428,0.0
207,70429,0.0
208,70431,0.0
209,70432,0.0
210,70451,0.0
211,70452,0.0
212,70453,0.0
213,70454,0.0
214,70455,0.0
215,70456,0.0
216,70457,0.0
217,70458,0.0
218,70478,0.0
219,70479,0.0
220,70480,0.0
221,70481,0.0
222,70482,0.0
223,70483,0.0
224,70484,0.0
225,70500,0.0
226,70501,0.0
227,70502,0.0
228,70503,0.0
229,70504,0.0
230,70505,0.0
231,70506,0.0
232,70507,0.0
233,70527,0.0
234,70528,0.0
235,70529,0.0
236,70530,0.0
237,70531,0.0
238,70532,0.0
239,70534,0.0
240,70547,0.0
241,70548,0.0
