idx,idm,errors
0,111732,0.0
1,111733,0.0
2,111736,0.0
3,111755,0.0
4,111756,0.0
5,111777,0.0
6,111815,0.0
7,111838,0.0
8,111841,0.0
9,111861,0.0
10,111879,0.0
11,111880,0.0
12,111900,0.0
13,111902,0.0
14,111925,0.0
15,111943,0.0
16,111944,0.0
17,111965,0.0
18,111967,0.0
19,111986,0.0
20,112009,0.0
21,112010,0.0
22,112028,0.0
23,112049,0.0
24,112050,0.0
25,112053,0.0
26,112075,0.0
27,112095,0.0
28,112114,0.0
29,112115,0.0
30,112135,0.0
31,112139,0.0
32,112162,0.0
33,112163,0.0
34,112182,0.0
35,112202,0.0
36,112203,0.0
37,112204,0.0
38,112227,0.0
39,112248,0.0
40,112249,0.0
41,112294,0.0
42,112296,0.0
43,112297,0.0
44,112314,0.0
45,112336,0.0
46,112358,0.0
47,112380,0.0
48,112401,0.0
49,112424,0.0
