idx,idm,errors
0,108931,0.0
1,108933,0.0
2,108934,0.0
3,108935,0.0
4,108936,0.0
5,108937,0.0
6,108947,0.0
7,108949,0.0
8,108951,0.0
9,108952,0.0
10,108953,0.0
11,108954,0.0
12,108956,0.0
13,108957,0.0
14,108972,0.0
15,108975,0.0
16,108976,0.0
17,108978,0.0
18,108979,0.0
19,108980,0.0
20,108981,0.0
21,108982,0.0
22,108983,0.0
23,108984,0.0
24,108985,0.0
25,108986,0.0
26,108996,0.0
27,108997,0.0
28,108998,0.0
29,108999,0.0
30,109000,0.0
31,109001,0.0
32,109002,0.0
33,109003,0.0
34,109004,0.0
35,109021,0.0
36,109022,0.0
37,109024,0.0
38,109025,0.0
39,109026,0.0
40,109027,0.0
41,109028,0.0
42,109029,0.0
43,109039,0.0
44,109040,0.0
45,109043,0.0
46,109044,0.0
47,109045,0.0
48,109046,0.0
49,109047,0.0
50,109048,0.0
51,109062,0.0
52,109064,0.0
53,109065,0.0
54,109066,0.0
55,109067,0.0
56,109068,0.0
57,109069,0.0
58,109070,0.0
59,109071,0.0
60,109072,0.0
61,109073,0.0
62,109083,0.0
63,109085,0.0
64,109087,0.0
65,109089,0.0
66,109090,0.0
67,109091,0.0
68,109092,0.0
69,109093,0.0
70,109094,0.0
71,109095,0.0
72,109096,0.0
73,109097,0.0
74,109106,0.0
75,109107,0.0
76,109108,0.0
77,109110,0.0
78,109111,0.0
79,109112,0.0
80,109113,0.0
81,109114,0.0
82,109131,0.0
83,109132,0.0
84,109133,0.0
85,109134,0.0
86,109135,0.0
87,109136,0.0
88,109137,0.0
89,109138,0.0
90,109151,0.0
91,109153,0.0
92,109154,0.0
93,109155,0.0
94,109156,0.0
95,109157,0.0
96,109158,0.0
97,109159,0.0
98,109160,0.0
99,109170,0.0
100,109174,0.0
101,109175,0.0
102,109176,0.0
103,109177,0.0
104,109178,0.0
105,109179,0.0
106,109180,0.0
107,109181,0.0
108,109182,0.0
109,109183,0.0
110,109198,0.0
111,109199,0.0
112,109200,0.0
113,109201,0.0
114,109202,0.0
115,109203,0.0
116,109204,0.0
117,109214,0.0
118,109215,0.0
119,109216,0.0
120,109217,0.0
121,109218,0.0
122,109219,0.0
123,109220,0.0
124,109221,0.0
125,109222,0.0
126,109223,0.0
127,109224,0.0
128,109225,0.0
129,109226,0.0
130,109236,0.0
131,109238,0.0
132,109239,0.0
133,109240,0.0
134,109241,0.0
135,109242,0.0
136,109243,0.0
137,109257,0.0
138,109258,0.0
139,109259,0.0
140,109260,0.0
141,109261,0.0
142,109262,0.0
143,109263,0.0
144,109264,0.0
145,109265,0.0
146,109266,0.0
147,109267,0.0
148,109278,0.0
149,109279,0.0
150,109280,0.0
151,109281,0.0
152,109282,0.0
153,109283,0.0
154,109295,0.0
155,109296,0.0
156,109297,0.0
157,109298,0.0
158,109299,0.0
159,109300,0.0
160,109301,0.0
161,109302,0.0
162,109303,0.0
163,109304,0.0
164,109305,0.0
165,109306,0.0
166,109307,0.0
167,109308,0.0
168,109316,0.0
169,109317,0.0
170,109318,0.0
171,109319,0.0
172,109320,0.0
173,109332,0.0
174,109335,0.0
175,109336,0.0
176,109337,0.0
177,109338,0.0
178,109339,0.0
179,109340,0.0
180,109341,0.0
181,109342,0.0
182,109343,0.0
183,109356,0.0
184,109357,0.0
185,109358,0.0
186,109359,0.0
187,109360,0.0
188,109361,0.0
189,109362,0.0
190,109363,0.0
191,109373,0.0
192,109375,0.0
193,109376,0.0
194,109377,0.0
195,109378,0.0
196,109379,0.0
197,109380,0.0
198,109381,0.0
199,109382,0.0
200,109393,0.0
201,109394,0.0
202,109395,0.0
203,109396,0.0
204,109397,0.0
205,109398,0.0
206,109399,0.0
207,109400,0.0
208,109401,0.0
209,109402,0.0
210,109412,0.0
211,109415,0.0
212,109416,0.0
213,109417,0.0
214,109418,0.0
215,109419,0.0
216,109420,0.0
217,109421,0.0
218,109432,0.0
219,109434,0.0
220,109435,0.0
221,109436,0.0
222,109437,0.0
223,109438,0.0
224,109439,0.0
225,109440,0.0
226,109441,0.0
227,109442,0.0
228,109443,0.0
229,109453,0.0
230,109454,0.0
231,109455,0.0
232,109456,0.0
233,109457,0.0
234,109458,0.0
235,109459,0.0
236,109460,0.0
237,109475,0.0
238,109477,0.0
239,109478,0.0
240,109479,0.0
241,109480,0.0
242,109481,0.0
243,109482,0.0
244,109483,0.0
245,109484,0.0
246,109493,0.0
247,109494,0.0
248,109495,0.0
249,109496,0.0
250,109497,0.0
251,109498,0.0
252,109499,0.0
253,109500,0.0
254,109501,0.0
255,109502,0.0
256,109512,0.0
257,109513,0.0
258,109514,0.0
259,109515,0.0
260,109516,0.0
261,109517,0.0
262,109518,0.0
263,109519,0.0
264,109531,0.0
265,109532,0.0
266,109533,0.0
267,109534,0.0
268,109535,0.0
269,109536,0.0
270,109537,0.0
271,109538,0.0
272,109550,0.0
273,109551,0.0
274,109552,0.0
275,109553,0.0
276,109554,0.0
277,109555,0.0
278,109556,0.0
279,109557,0.0
280,109558,0.0
281,109559,0.0
282,109570,0.0
283,109571,0.0
284,109572,0.0
285,109573,0.0
286,109574,0.0
287,109575,0.0
288,109576,0.0
289,109589,0.0
290,109590,0.0
291,109591,0.0
292,109592,0.0
293,109593,0.0
294,109594,0.0
295,109595,0.0
