idx,idm,errors
0,110804,0.0
1,110847,0.0
2,110886,0.0
3,110887,0.0
4,110912,0.0
5,110913,0.0
6,110951,0.0
7,110969,0.0
8,111010,0.0
9,111012,0.0
10,111056,0.0
11,111058,0.0
12,111074,0.0
13,111075,0.0
14,111097,0.0
15,111113,0.0
16,111135,0.0
17,111152,0.0
18,111155,0.0
19,111175,0.0
20,111192,0.0
21,111193,0.0
22,111195,0.0
23,111234,0.0
24,111236,0.0
25,111253,0.0
26,111278,0.0
27,111279,0.0
28,111298,0.0
29,111321,0.0
30,111322,0.0
31,111338,0.0
32,111359,0.0
33,111380,0.0
34,111382,0.0
35,111400,0.0
36,111420,0.0
37,111421,0.0
38,111444,0.0
39,111445,0.0
40,111464,0.0
41,111482,0.0
42,111483,0.0
43,111502,0.0
44,111503,0.0
45,111524,0.0
46,111526,0.0
47,111527,0.0
48,111547,0.0
49,111550,0.0
50,111589,0.0
51,111590,0.0
52,111591,0.0
53,111615,0.0
54,111636,0.0
55,111637,0.0
56,111638,0.0
57,111657,0.0
58,111658,0.0
59,111680,0.0
60,111681,0.0
61,111703,0.0
62,111705,0.0
63,111723,0.0
64,111724,0.0
65,111744,0.0
66,111745,0.0
67,111763,0.0
68,111788,0.0
69,111789,0.0
70,111802,0.0
71,111826,0.0
72,111827,0.0
73,111828,0.0
74,111846,0.0
75,111867,0.0
76,111869,0.0
77,111886,0.0
78,111887,0.0
79,111888,0.0
80,111914,0.0
81,111915,0.0
82,111932,0.0
83,111952,0.0
84,111953,0.0
85,111954,0.0
86,111972,0.0
87,111973,0.0
88,111974,0.0
89,111997,0.0
90,111998,0.0
91,112000,0.0
92,112018,0.0
93,112020,0.0
94,112034,0.0
95,112036,0.0
96,112037,0.0
97,112038,0.0
98,112060,0.0
99,112061,0.0
100,112084,0.0
101,112085,0.0
102,112103,0.0
103,112104,0.0
104,112123,0.0
105,112124,0.0
106,112125,0.0
107,112143,0.0
108,112144,0.0
109,112145,0.0
110,112170,0.0
111,112171,0.0
112,112188,0.0
113,112189,0.0
114,112190,0.0
115,112211,0.0
116,112212,0.0
117,112213,0.0
118,112238,0.0
119,112239,0.0
120,112254,0.0
121,112255,0.0
122,112256,0.0
123,112257,0.0
124,112280,0.0
125,112281,0.0
126,112282,0.0
127,112283,0.0
128,112301,0.0
129,112302,0.0
130,112303,0.0
131,112322,0.0
132,112323,0.0
133,112324,0.0
134,112343,0.0
135,112344,0.0
136,112345,0.0
137,112346,0.0
138,112347,0.0
139,112366,0.0
140,112384,0.0
141,112385,0.0
142,112386,0.0
143,112388,0.0
144,112389,0.0
145,112408,0.0
146,112409,0.0
147,112431,0.0
148,112455,0.0
149,112456,0.0
150,112474,0.0
151,112475,0.0
152,112476,0.0
153,112499,0.0
154,112501,0.0
155,112502,0.0
156,112521,0.0
157,112522,0.0
158,112546,0.0
159,112547,0.0
160,112572,0.0
161,112573,0.0
162,112574,0.0
163,112589,0.0
164,112590,0.0
165,112591,0.0
166,112614,0.0
167,112615,0.0
168,112635,0.0
169,112662,0.0
170,112663,0.0
171,112664,0.0
172,112665,0.0
173,112680,0.0
174,112681,0.0
175,112705,0.0
176,112706,0.0
177,112728,0.0
178,112750,0.0
179,112751,0.0
180,112752,0.0
