idx,idm,errors
0,108310,0.0
1,108345,0.0
2,108387,0.0
3,108422,0.0
4,108458,0.0
5,108460,0.0
6,108461,0.0
7,108495,0.0
8,108496,0.0
9,108525,0.0
10,108528,0.0
11,108558,0.0
12,108559,0.0
13,108561,0.0
14,108583,0.0
15,108585,0.0
16,108613,0.0
17,108614,0.0
18,108616,0.0
19,108641,0.0
20,108642,0.0
21,108644,0.0
22,108668,0.0
23,108671,0.0
24,108672,0.0
25,108684,0.0
26,108686,0.0
27,108697,0.0
28,108699,0.0
29,108701,0.0
30,108715,0.0
31,108716,0.0
32,108722,0.0
33,108723,0.0
34,108724,0.0
35,108741,0.0
36,108744,0.0
37,108745,0.0
38,108747,0.0
39,108748,0.0
40,108749,0.0
41,108750,0.0
42,108752,0.0
43,108765,0.0
44,108766,0.0
45,108767,0.0
46,108768,0.0
47,108771,0.0
48,108774,0.0
49,108776,0.0
50,108777,0.0
51,108778,0.0
52,108779,0.0
53,108782,0.0
54,108794,0.0
55,108795,0.0
56,108796,0.0
57,108798,0.0
58,108800,0.0
59,108801,0.0
60,108802,0.0
61,108806,0.0
62,108817,0.0
63,108818,0.0
64,108819,0.0
65,108820,0.0
66,108821,0.0
67,108822,0.0
68,108823,0.0
69,108824,0.0
70,108825,0.0
71,108826,0.0
72,108827,0.0
73,108839,0.0
74,108841,0.0
75,108842,0.0
76,108843,0.0
77,108844,0.0
78,108845,0.0
79,108846,0.0
80,108847,0.0
81,108848,0.0
82,108850,0.0
83,108851,0.0
84,108866,0.0
85,108867,0.0
86,108868,0.0
87,108869,0.0
88,108870,0.0
89,108873,0.0
90,108875,0.0
91,108876,0.0
92,108888,0.0
93,108889,0.0
94,108890,0.0
95,108891,0.0
96,108892,0.0
97,108895,0.0
98,108896,0.0
99,108897,0.0
100,108898,0.0
101,108899,0.0
102,108901,0.0
103,108902,0.0
104,108914,0.0
105,108915,0.0
106,108916,0.0
107,108917,0.0
108,108918,0.0
109,108919,0.0
110,108920,0.0
111,108921,0.0
112,108922,0.0
113,108924,0.0
114,108925,0.0
115,108927,0.0
116,108938,0.0
117,108939,0.0
118,108940,0.0
119,108941,0.0
120,108942,0.0
121,108943,0.0
122,108945,0.0
123,108946,0.0
124,108958,0.0
125,108959,0.0
126,108960,0.0
127,108962,0.0
128,108963,0.0
129,108964,0.0
130,108965,0.0
131,108967,0.0
132,108968,0.0
133,108969,0.0
134,108971,0.0
135,108973,0.0
136,108987,0.0
137,108988,0.0
138,108989,0.0
139,108991,0.0
140,108992,0.0
141,108993,0.0
142,109005,0.0
143,109006,0.0
144,109007,0.0
145,109008,0.0
146,109009,0.0
147,109010,0.0
148,109011,0.0
149,109013,0.0
150,109014,0.0
151,109016,0.0
152,109017,0.0
153,109018,0.0
154,109030,0.0
155,109031,0.0
156,109032,0.0
157,109033,0.0
158,109034,0.0
159,109035,0.0
160,109036,0.0
161,109037,0.0
162,109038,0.0
163,109049,0.0
164,109050,0.0
165,109051,0.0
166,109052,0.0
167,109053,0.0
168,109054,0.0
169,109056,0.0
170,109058,0.0
171,109059,0.0
172,109060,0.0
173,109074,0.0
174,109075,0.0
175,109076,0.0
176,109077,0.0
177,109078,0.0
178,109079,0.0
179,109080,0.0
180,109081,0.0
181,109084,0.0
182,109098,0.0
183,109099,0.0
184,109100,0.0
185,109102,0.0
186,109104,0.0
187,109105,0.0
188,109115,0.0
189,109116,0.0
190,109117,0.0
191,109118,0.0
192,109119,0.0
193,109120,0.0
194,109121,0.0
195,109122,0.0
196,109123,0.0
197,109124,0.0
198,109125,0.0
199,109127,0.0
200,109139,0.0
201,109140,0.0
202,109141,0.0
203,109142,0.0
204,109143,0.0
205,109144,0.0
206,109145,0.0
207,109146,0.0
208,109147,0.0
209,109161,0.0
210,109162,0.0
211,109163,0.0
212,109164,0.0
213,109166,0.0
214,109168,0.0
215,109169,0.0
216,109184,0.0
217,109185,0.0
218,109186,0.0
219,109187,0.0
220,109188,0.0
221,109189,0.0
222,109190,0.0
223,109191,0.0
224,109192,0.0
225,109193,0.0
226,109195,0.0
227,109196,0.0
228,109205,0.0
229,109206,0.0
230,109207,0.0
231,109208,0.0
232,109209,0.0
233,109211,0.0
234,109227,0.0
235,109228,0.0
236,109229,0.0
237,109230,0.0
238,109231,0.0
239,109232,0.0
240,109234,0.0
241,109244,0.0
242,109245,0.0
243,109246,0.0
244,109247,0.0
245,109248,0.0
246,109249,0.0
247,109250,0.0
248,109251,0.0
249,109253,0.0
250,109254,0.0
251,109256,0.0
252,109268,0.0
253,109269,0.0
254,109270,0.0
255,109271,0.0
256,109272,0.0
257,109273,0.0
258,109274,0.0
259,109275,0.0
260,109276,0.0
261,109284,0.0
262,109285,0.0
263,109286,0.0
264,109287,0.0
265,109288,0.0
266,109289,0.0
267,109290,0.0
268,109291,0.0
269,109294,0.0
270,109309,0.0
271,109310,0.0
272,109311,0.0
273,109312,0.0
274,109313,0.0
275,109314,0.0
276,109321,0.0
277,109322,0.0
278,109323,0.0
279,109324,0.0
280,109325,0.0
281,109326,0.0
282,109327,0.0
283,109328,0.0
284,109344,0.0
285,109345,0.0
286,109346,0.0
287,109347,0.0
288,109348,0.0
289,109349,0.0
290,109350,0.0
291,109351,0.0
292,109352,0.0
293,109364,0.0
294,109365,0.0
295,109366,0.0
296,109367,0.0
297,109368,0.0
298,109369,0.0
299,109370,0.0
300,109372,0.0
301,109383,0.0
302,109384,0.0
303,109385,0.0
304,109386,0.0
305,109387,0.0
306,109388,0.0
307,109389,0.0
308,109403,0.0
309,109404,0.0
310,109405,0.0
311,109406,0.0
312,109407,0.0
313,109408,0.0
314,109409,0.0
315,109422,0.0
316,109423,0.0
317,109424,0.0
318,109425,0.0
319,109426,0.0
320,109427,0.0
321,109428,0.0
322,109429,0.0
323,109430,0.0
324,109444,0.0
325,109445,0.0
326,109446,0.0
327,109447,0.0
328,109448,0.0
329,109461,0.0
330,109462,0.0
331,109463,0.0
332,109464,0.0
333,109465,0.0
334,109466,0.0
