idx,idm,errors
0,108129,0.0
1,108165,0.0
2,108166,0.0
3,108170,0.0
4,108203,0.0
5,108207,0.0
6,108210,0.0
7,108248,0.0
8,108251,0.0
9,108252,0.0
10,108254,0.0
11,108255,0.0
12,108288,0.0
13,108292,0.0
14,108296,0.0
15,108329,0.0
16,108330,0.0
17,108331,0.0
18,108332,0.0
19,108366,0.0
20,108368,0.0
21,108371,0.0
22,108378,0.0
23,108404,0.0
24,108406,0.0
25,108409,0.0
26,108410,0.0
27,108445,0.0
28,108446,0.0
29,108474,0.0
30,108479,0.0
31,108481,0.0
32,108486,0.0
33,108487,0.0
34,108492,0.0
35,108513,0.0
36,108516,0.0
37,108523,0.0
38,108547,0.0
39,108549,0.0
40,108560,0.0
41,108575,0.0
42,108579,0.0
43,108584,0.0
44,108586,0.0
45,108603,0.0
46,108607,0.0
47,108615,0.0
48,108617,0.0
49,108632,0.0
50,108634,0.0
51,108643,0.0
52,108661,0.0
53,108663,0.0
54,108669,0.0
55,108670,0.0
56,108673,0.0
57,108685,0.0
58,108688,0.0
59,108691,0.0
60,108698,0.0
61,108700,0.0
62,108714,0.0
63,108718,0.0
64,108725,0.0
65,108743,0.0
66,108751,0.0
67,108769,0.0
68,108772,0.0
69,108775,0.0
70,108780,0.0
71,108799,0.0
72,108803,0.0
73,108804,0.0
74,108805,0.0
75,108828,0.0
76,108849,0.0
77,108871,0.0
78,108874,0.0
79,108877,0.0
80,108894,0.0
81,108900,0.0
82,108923,0.0
83,108944,0.0
84,108970,0.0
85,109019,0.0
