idx,idm,errors
0,84325,0.0
1,84327,0.0
2,84347,0.0
3,84371,0.0
4,84392,0.0
5,84414,0.0
6,84437,0.0
7,84456,0.0
8,84457,0.0
9,84459,0.0
10,84481,0.0
11,84509,0.0
12,84530,0.0
13,84549,0.0
14,84550,0.0
15,84570,0.0
16,84572,0.0
17,84573,0.0
18,84600,0.0
19,84622,0.0
20,84623,0.0
21,84667,0.0
22,84686,0.0
23,84710,0.0
24,84711,0.0
25,84736,0.0
26,84756,0.0
27,84757,0.0
28,84778,0.0
29,84780,0.0
30,84799,0.0
31,84822,0.0
32,84825,0.0
33,84844,0.0
34,84868,0.0
35,84870,0.0
36,84893,0.0
37,84917,0.0
38,84918,0.0
39,84937,0.0
40,84960,0.0
41,84984,0.0
42,84987,0.0
43,85008,0.0
44,85076,0.0
45,85078,0.0
