idx,idm,errors
0,83484,0.0
1,83528,0.0
2,83547,0.0
3,83587,0.0
4,83609,0.0
5,83625,0.0
6,83651,0.0
7,83668,0.0
8,83690,0.0
9,83711,0.0
10,83730,0.0
11,83733,0.0
12,83751,0.0
13,83768,0.0
14,83772,0.0
15,83773,0.0
16,83813,0.0
17,83816,0.0
18,83832,0.0
19,83855,0.0
20,83856,0.0
21,83872,0.0
22,83874,0.0
23,83875,0.0
24,83895,0.0
25,83897,0.0
26,83917,0.0
27,83936,0.0
28,83938,0.0
29,83955,0.0
30,83956,0.0
31,83980,0.0
32,83998,0.0
33,83999,0.0
34,84019,0.0
35,84020,0.0
36,84040,0.0
37,84058,0.0
38,84060,0.0
39,84061,0.0
40,84086,0.0
41,84087,0.0
42,84125,0.0
43,84126,0.0
44,84129,0.0
45,84147,0.0
46,84165,0.0
47,84186,0.0
48,84187,0.0
49,84190,0.0
50,84230,0.0
51,84231,0.0
52,84233,0.0
53,84251,0.0
54,84270,0.0
55,84271,0.0
56,84293,0.0
57,84312,0.0
58,84313,0.0
59,84333,0.0
60,84356,0.0
61,84379,0.0
62,84380,0.0
63,84381,0.0
64,84383,0.0
65,84401,0.0
66,84425,0.0
67,84426,0.0
68,84429,0.0
69,84466,0.0
70,84467,0.0
71,84493,0.0
72,84494,0.0
73,84495,0.0
74,84518,0.0
75,84519,0.0
76,84540,0.0
77,84541,0.0
78,84557,0.0
79,84558,0.0
80,84560,0.0
81,84583,0.0
82,84584,0.0
83,84586,0.0
84,84608,0.0
85,84631,0.0
86,84632,0.0
87,84633,0.0
88,84649,0.0
89,84650,0.0
90,84651,0.0
91,84676,0.0
92,84677,0.0
93,84696,0.0
94,84697,0.0
95,84700,0.0
96,84720,0.0
97,84721,0.0
98,84722,0.0
99,84744,0.0
100,84745,0.0
101,84746,0.0
102,84766,0.0
103,84767,0.0
104,84768,0.0
105,84769,0.0
106,84772,0.0
107,84788,0.0
108,84807,0.0
109,84808,0.0
110,84809,0.0
111,84810,0.0
112,84811,0.0
113,84834,0.0
114,84835,0.0
115,84851,0.0
116,84852,0.0
117,84853,0.0
118,84879,0.0
119,84880,0.0
120,84881,0.0
121,84901,0.0
122,84902,0.0
123,84903,0.0
124,84926,0.0
125,84927,0.0
126,84928,0.0
127,84929,0.0
128,84945,0.0
129,84946,0.0
130,84947,0.0
131,84970,0.0
132,84971,0.0
133,84972,0.0
134,84973,0.0
135,84974,0.0
136,84995,0.0
137,84996,0.0
138,84997,0.0
139,85018,0.0
140,85019,0.0
141,85020,0.0
142,85021,0.0
143,85023,0.0
144,85037,0.0
145,85038,0.0
146,85039,0.0
147,85040,0.0
148,85084,0.0
149,85085,0.0
150,85086,0.0
151,85110,0.0
152,85111,0.0
153,85112,0.0
154,85134,0.0
155,85135,0.0
156,85158,0.0
157,85159,0.0
158,85179,0.0
159,85180,0.0
160,85181,0.0
161,85204,0.0
162,85205,0.0
163,85206,0.0
164,85226,0.0
165,85228,0.0
166,85253,0.0
167,85254,0.0
168,85255,0.0
169,85276,0.0
170,85277,0.0
171,85280,0.0
172,85302,0.0
173,85303,0.0
174,85327,0.0
175,85349,0.0
176,85350,0.0
177,85351,0.0
178,85352,0.0
179,85375,0.0
180,85399,0.0
181,85400,0.0
182,85401,0.0
183,85402,0.0
184,85403,0.0
185,85423,0.0
186,85451,0.0
187,85453,0.0
188,85454,0.0
189,85474,0.0
