idx,idm,errors
0,81211,0.0
1,81176,0.0
2,81237,0.0
3,81267,0.0
4,81241,0.0
5,81268,0.0
6,81270,0.0
7,81288,0.0
8,81307,0.0
9,81309,0.0
10,81288,0.0
11,81317,0.0
12,81327,0.0
13,81304,0.0
14,81329,0.0
15,81331,0.0
16,81344,0.0
17,81316,0.0
18,81357,0.0
19,81354,0.0
20,81358,0.0
21,81359,0.0
22,81375,0.0
23,81376,0.0
24,81374,0.0
25,81384,0.0
26,81360,0.0
27,81386,0.0
28,81399,0.0
29,81412,0.0
30,81413,0.0
31,81414,0.0
32,81440,0.0
33,81427,0.0
34,81428,0.0
35,81428,0.0
36,81429,0.0
37,81455,0.0
38,81461,0.0
39,81410,0.0
40,81438,0.0
41,81469,0.0
42,81453,0.0
43,81430,0.0
44,81454,0.0
45,81456,0.0
46,81463,0.0
47,81433,0.0
48,81459,0.0
49,81411,0.0
50,81462,0.0
51,81488,0.0
52,81465,0.0
53,81465,0.0
54,81467,0.0
55,81440,0.0
56,81452,0.0
57,81480,0.0
58,81481,0.0
59,81510,0.0
60,81485,0.0
61,81513,0.0
62,81484,0.0
63,81489,0.0
64,81491,0.0
65,81508,0.0
66,81509,0.0
67,81507,0.0
68,81506,0.0
69,81511,0.0
70,81483,0.0
71,81514,0.0
72,81515,0.0
73,81487,0.0
74,81516,0.0
75,81535,0.0
76,81489,0.0
77,81518,0.0
78,81492,0.0
79,81493,0.0
80,81529,0.0
81,81509,0.0
82,81531,0.0
83,81533,0.0
84,81530,0.0
85,81557,0.0
86,81537,0.0
87,81538,0.0
88,81540,0.0
89,81541,0.0
90,81553,0.0
91,81553,0.0
92,81528,0.0
93,81576,0.0
94,81577,0.0
95,81554,0.0
96,81558,0.0
97,81556,0.0
98,81561,0.0
99,81557,0.0
100,81563,0.0
101,81605,0.0
102,81575,0.0
103,81583,0.0
104,81579,0.0
105,81582,0.0
106,81585,0.0
107,81588,0.0
108,81587,0.0
109,81590,0.0
110,81565,0.0
111,81604,0.0
112,81580,0.0
113,81608,0.0
114,81610,0.0
115,81611,0.0
116,81586,0.0
117,81612,0.0
118,81591,0.0
119,81615,0.0
120,81628,0.0
121,81606,0.0
122,81607,0.0
123,81630,0.0
124,81634,0.0
125,81631,0.0
126,81633,0.0
127,81634,0.0
128,81636,0.0
129,81638,0.0
130,81639,0.0
131,81657,0.0
132,81658,0.0
133,81658,0.0
134,81651,0.0
135,81627,0.0
136,81649,0.0
137,81629,0.0
138,81652,0.0
139,81636,0.0
140,81653,0.0
141,81655,0.0
142,81660,0.0
143,81699,0.0
144,81674,0.0
145,81701,0.0
146,81676,0.0
147,81650,0.0
148,81679,0.0
149,81678,0.0
150,81704,0.0
151,81682,0.0
152,81684,0.0
153,81700,0.0
154,81697,0.0
155,81698,0.0
156,81702,0.0
157,81705,0.0
158,81708,0.0
159,81709,0.0
160,81684,0.0
161,81685,0.0
162,81720,0.0
163,81700,0.0
164,81723,0.0
165,81722,0.0
166,81725,0.0
167,81702,0.0
168,81726,0.0
169,81727,0.0
170,81731,0.0
171,81732,0.0
172,81723,0.0
173,81742,0.0
174,81743,0.0
175,81719,0.0
176,81767,0.0
177,81721,0.0
178,81745,0.0
179,81728,0.0
180,81728,0.0
181,81749,0.0
182,81750,0.0
183,81766,0.0
184,81782,0.0
185,81770,0.0
186,81769,0.0
187,81744,0.0
188,81772,0.0
189,81773,0.0
190,81774,0.0
191,81810,0.0
192,81776,0.0
193,81752,0.0
194,81785,0.0
195,81765,0.0
196,81784,0.0
