idx,idm,errors
0,80528,0.0
1,80583,0.0
2,80632,0.0
3,80583,0.0
4,80681,0.0
5,80629,0.0
6,80633,0.0
7,80635,0.0
8,80637,0.0
9,80723,0.0
10,80723,0.0
11,80683,0.0
12,80684,0.0
13,80685,0.0
14,80724,0.0
15,80775,0.0
16,80777,0.0
17,80779,0.0
18,80772,0.0
19,80772,0.0
20,80864,0.0
21,80815,0.0
22,80902,0.0
23,80817,0.0
24,80903,0.0
25,80905,0.0
26,80939,0.0
27,80948,0.0
28,80945,0.0
29,80942,0.0
30,80986,0.0
31,80946,0.0
32,81019,0.0
33,81022,0.0
34,81026,0.0
35,80989,0.0
36,81018,0.0
37,81024,0.0
38,81062,0.0
39,81070,0.0
40,81023,0.0
41,81024,0.0
42,81101,0.0
43,81101,0.0
44,81060,0.0
45,81136,0.0
46,81104,0.0
47,81142,0.0
48,81162,0.0
49,81134,0.0
50,81197,0.0
51,81170,0.0
52,81193,0.0
53,81194,0.0
54,81196,0.0
55,81261,0.0
56,81224,0.0
57,81253,0.0
58,81257,0.0
59,81255,0.0
60,81292,0.0
61,81292,0.0
62,81294,0.0
63,81297,0.0
64,81300,0.0
65,81353,0.0
66,81348,0.0
67,81347,0.0
68,81347,0.0
69,81350,0.0
70,81431,0.0
71,81346,0.0
72,81404,0.0
73,81408,0.0
74,81458,0.0
75,81435,0.0
76,81486,0.0
77,81512,0.0
78,81534,0.0
79,81555,0.0
80,81584,0.0
81,81635,0.0
