idx,idm,errors
0,116588,0.0
1,116590,0.0
2,116613,0.0
3,116655,0.0
4,116628,0.0
5,116685,0.0
6,116669,0.0
7,116697,0.0
8,116687,0.0
9,116711,0.0
10,116724,0.0
11,116739,0.0
12,116741,0.0
13,116754,0.0
14,116764,0.0
15,116777,0.0
16,116779,0.0
17,116791,0.0
18,116807,0.0
19,116810,0.0
20,116820,0.0
21,116833,0.0
22,116818,0.0
23,116861,0.0
24,116843,0.0
25,116859,0.0
26,116890,0.0
27,116878,0.0
28,116892,0.0
29,116894,0.0
30,116907,0.0
31,116924,0.0
32,116923,0.0
33,116925,0.0
34,116926,0.0
35,116926,0.0
36,116956,0.0
37,116957,0.0
38,116969,0.0
39,116983,0.0
40,116984,0.0
41,117000,0.0
42,117014,0.0
43,117015,0.0
44,117015,0.0
45,117027,0.0
46,117040,0.0
47,117041,0.0
48,117072,0.0
49,117074,0.0
50,117090,0.0
51,117107,0.0
52,117091,0.0
53,117118,0.0
54,117135,0.0
55,117136,0.0
56,117163,0.0
57,117165,0.0
58,117180,0.0
59,117194,0.0
60,117193,0.0
61,117213,0.0
62,117212,0.0
63,117241,0.0
64,117224,0.0
65,117244,0.0
66,117259,0.0
67,117242,0.0
68,117260,0.0
69,117278,0.0
70,117292,0.0
71,117289,0.0
72,117323,0.0
73,117307,0.0
74,117324,0.0
75,117367,0.0
76,117350,0.0
77,117339,0.0
78,117384,0.0
79,117386,0.0
80,117398,0.0
81,117410,0.0
82,117443,0.0
83,117430,0.0
84,117444,0.0
85,117468,0.0
86,117470,0.0
87,117485,0.0
88,117498,0.0
89,117514,0.0
90,117496,0.0
91,117526,0.0
92,117527,0.0
93,117541,0.0
94,117544,0.0
95,117542,0.0
96,117554,0.0
97,117579,0.0
98,117551,0.0
99,117579,0.0
100,117580,0.0
101,117580,0.0
102,117598,0.0
103,117626,0.0
104,117611,0.0
105,117657,0.0
106,117645,0.0
