idx,idm,errors
0,116223,0.0
1,116224,0.0
2,116249,0.0
3,116250,0.0
4,116264,0.0
5,116293,0.0
6,116304,0.0
7,116319,0.0
8,116330,0.0
9,116345,0.0
10,116346,0.0
11,116369,0.0
12,116372,0.0
13,116387,0.0
14,116397,0.0
15,116398,0.0
16,116413,0.0
17,116426,0.0
18,116427,0.0
19,116460,0.0
20,116438,0.0
21,116469,0.0
22,116480,0.0
23,116483,0.0
24,116491,0.0
25,116494,0.0
26,116510,0.0
27,116496,0.0
28,116508,0.0
29,116524,0.0
30,116535,0.0
31,116522,0.0
32,116530,0.0
33,116523,0.0
34,116546,0.0
35,116547,0.0
36,116548,0.0
37,116559,0.0
38,116564,0.0
39,116571,0.0
40,116574,0.0
41,116563,0.0
42,116584,0.0
43,116587,0.0
44,116596,0.0
45,116600,0.0
46,116602,0.0
47,116611,0.0
48,116621,0.0
49,116609,0.0
50,116623,0.0
51,116636,0.0
52,116652,0.0
53,116662,0.0
54,116666,0.0
55,116677,0.0
56,116679,0.0
57,116696,0.0
58,116703,0.0
59,116704,0.0
60,116733,0.0
61,116735,0.0
62,116732,0.0
