idx,idm,errors
0,89248,0.0
1,89263,0.0
2,89275,0.0
3,89291,0.0
4,89305,0.0
5,89317,0.0
6,89319,0.0
7,89351,0.0
8,89353,0.0
9,89361,0.0
10,89379,0.0
11,89381,0.0
12,89390,0.0
13,89409,0.0
14,89420,0.0
15,89435,0.0
16,89436,0.0
17,89454,0.0
18,89469,0.0
19,89481,0.0
20,89495,0.0
21,89497,0.0
22,89510,0.0
23,89529,0.0
24,89532,0.0
25,89544,0.0
26,89559,0.0
27,89571,0.0
28,89576,0.0
29,89590,0.0
30,89591,0.0
31,89606,0.0
32,89622,0.0
33,89636,0.0
34,89637,0.0
35,89667,0.0
36,89668,0.0
37,89679,0.0
38,89681,0.0
39,89695,0.0
40,89709,0.0
41,89711,0.0
42,89727,0.0
43,89739,0.0
44,89741,0.0
45,89756,0.0
46,89772,0.0
47,89774,0.0
48,89802,0.0
49,89804,0.0
50,89818,0.0
51,89819,0.0
52,89835,0.0
53,89852,0.0
54,89867,0.0
55,89869,0.0
56,89885,0.0
57,89887,0.0
58,89901,0.0
59,89915,0.0
60,89931,0.0
61,89933,0.0
62,89944,0.0
63,89945,0.0
64,89960,0.0
65,89961,0.0
66,89971,0.0
67,89973,0.0
68,90004,0.0
69,90005,0.0
70,90020,0.0
71,90021,0.0
72,90039,0.0
73,90040,0.0
74,90050,0.0
75,90065,0.0
76,90081,0.0
77,90082,0.0
78,90097,0.0
79,90098,0.0
80,90119,0.0
81,90134,0.0
82,90135,0.0
83,90162,0.0
84,90163,0.0
85,90190,0.0
86,90191,0.0
87,90208,0.0
88,90226,0.0
89,90228,0.0
90,90270,0.0
91,90237,0.0
92,90283,0.0
93,90295,0.0
94,90317,0.0
95,90361,0.0
96,90331,0.0
97,90362,0.0
98,90374,0.0
