idx,idm,errors
0,88032,0.0
1,88058,0.0
2,88088,0.0
3,88112,0.0
4,88117,0.0
5,88135,0.0
6,88141,0.0
7,88145,0.0
8,88169,0.0
9,88171,0.0
10,88175,0.0
11,88176,0.0
12,88199,0.0
13,88216,0.0
14,88219,0.0
15,88237,0.0
16,88243,0.0
17,88263,0.0
18,88268,0.0
19,88269,0.0
20,88286,0.0
21,88290,0.0
22,88306,0.0
23,88308,0.0
24,88313,0.0
25,88314,0.0
26,88332,0.0
27,88337,0.0
28,88355,0.0
29,88370,0.0
30,88374,0.0
31,88375,0.0
32,88392,0.0
33,88395,0.0
34,88399,0.0
35,88418,0.0
36,88433,0.0
37,88440,0.0
38,88454,0.0
39,88458,0.0
40,88472,0.0
