idx,idm,errors
0,104612,0.0
1,104792,0.0
2,104613,0.0
3,104970,0.0
4,104972,0.0
5,105135,0.0
6,105136,0.0
7,105137,0.0
8,105134,0.0
9,105136,0.0
10,105138,0.0
11,105295,0.0
12,105296,0.0
13,105744,0.0
14,105298,0.0
15,105746,0.0
16,105747,0.0
17,105870,0.0
18,105870,0.0
19,105871,0.0
20,105872,0.0
21,105872,0.0
22,106138,0.0
23,106006,0.0
24,105873,0.0
25,106141,0.0
26,106005,0.0
27,106281,0.0
28,106006,0.0
29,106283,0.0
30,106141,0.0
31,106400,0.0
32,106396,0.0
33,106284,0.0
34,106480,0.0
35,106480,0.0
36,106478,0.0
37,106548,0.0
38,106548,0.0
39,106549,0.0
40,106620,0.0
41,106669,0.0
42,106670,0.0
43,106672,0.0
44,106794,0.0
45,106735,0.0
46,106736,0.0
47,106737,0.0
48,106842,0.0
49,106791,0.0
50,106793,0.0
51,106840,0.0
52,106841,0.0
53,106839,0.0
54,106857,0.0
55,106855,0.0
56,106873,0.0
57,106874,0.0
58,106875,0.0
59,106798,0.0
60,106887,0.0
61,106895,0.0
62,106897,0.0
63,106896,0.0
64,106898,0.0
65,106888,0.0
66,106901,0.0
67,106880,0.0
68,106915,0.0
69,106894,0.0
70,106908,0.0
71,106899,0.0
72,106891,0.0
73,106905,0.0
74,106914,0.0
75,106908,0.0
76,106909,0.0
77,106901,0.0
78,106917,0.0
79,106903,0.0
80,106904,0.0
81,106919,0.0
82,106913,0.0
83,106921,0.0
84,106923,0.0
85,106918,0.0
