idx,idm,errors
0,103012,0.0
1,103014,0.0
2,103015,0.0
3,103118,0.0
4,103119,0.0
5,103234,0.0
6,103237,0.0
7,103353,0.0
8,103354,0.0
9,103355,0.0
10,103356,0.0
11,103357,0.0
12,103488,0.0
13,103489,0.0
14,103490,0.0
15,103715,0.0
16,103716,0.0
17,103717,0.0
18,103718,0.0
19,103958,0.0
20,103959,0.0
21,103960,0.0
22,103961,0.0
23,103962,0.0
24,104179,0.0
25,104180,0.0
26,104181,0.0
27,104399,0.0
28,104400,0.0
29,104401,0.0
30,104402,0.0
31,104403,0.0
32,104607,0.0
33,104610,0.0
34,104966,0.0
35,104788,0.0
36,104609,0.0
37,104789,0.0
38,104968,0.0
39,104969,0.0
40,105131,0.0
41,104967,0.0
42,105291,0.0
43,105290,0.0
44,105456,0.0
45,105455,0.0
46,106929,0.0
