idx,idm,errors
0,99887,0.0
1,99886,0.0
2,99948,0.0
3,99949,0.0
4,99998,0.0
5,100045,0.0
6,100049,0.0
7,99999,0.0
8,100102,0.0
9,100101,0.0
10,100098,0.0
11,100154,0.0
12,100160,0.0
13,100218,0.0
14,100212,0.0
15,100272,0.0
16,100214,0.0
17,100219,0.0
18,100338,0.0
19,100276,0.0
20,100337,0.0
21,100335,0.0
22,100273,0.0
23,100339,0.0
24,100331,0.0
25,100387,0.0
26,100392,0.0
27,100455,0.0
28,100458,0.0
29,100507,0.0
30,100453,0.0
31,100512,0.0
32,100564,0.0
33,100569,0.0
34,100691,0.0
35,100570,0.0
36,100693,0.0
37,100689,0.0
38,100750,0.0
39,100752,0.0
40,100887,0.0
