idx,idm,errors
0,70825,0.0
1,70845,0.0
2,70846,0.0
3,70873,0.0
4,70895,0.0
5,70896,0.0
6,70923,0.0
7,70924,0.0
8,70950,0.0
9,70951,0.0
10,70982,0.0
11,71003,0.0
12,71005,0.0
13,71033,0.0
14,71065,0.0
15,71066,0.0
16,71125,0.0
17,71126,0.0
18,71127,0.0
19,71152,0.0
20,71189,0.0
21,71190,0.0
22,71219,0.0
23,71220,0.0
24,71282,0.0
25,71318,0.0
26,71351,0.0
27,71355,0.0
28,71382,0.0
29,71449,0.0
30,71450,0.0
31,71485,0.0
32,71524,0.0
33,71557,0.0
34,71558,0.0
35,71599,0.0
36,71600,0.0
37,71633,0.0
38,71670,0.0
39,71707,0.0
40,71743,0.0
41,71821,0.0
42,71862,0.0
43,71863,0.0
44,71902,0.0
45,71903,0.0
46,71948,0.0
47,72023,0.0
48,72024,0.0
49,72065,0.0
50,72067,0.0
51,72114,0.0
52,72115,0.0
53,72155,0.0
54,72188,0.0
55,72189,0.0
56,72238,0.0
57,72239,0.0
58,72289,0.0
59,72290,0.0
60,72328,0.0
61,72380,0.0
62,72424,0.0
63,72425,0.0
64,72426,0.0
65,72427,0.0
66,72525,0.0
67,72526,0.0
68,72527,0.0
69,72572,0.0
70,72623,0.0
71,72673,0.0
72,72674,0.0
73,72722,0.0
74,72772,0.0
75,72774,0.0
76,72775,0.0
77,72823,0.0
78,72824,0.0
79,72825,0.0
80,72883,0.0
81,72884,0.0
82,72885,0.0
83,72930,0.0
84,72931,0.0
85,72985,0.0
86,73043,0.0
87,73097,0.0
88,73098,0.0
89,73099,0.0
90,73100,0.0
