idx,idm,errors
0,76487,0.0
1,76692,0.0
2,76696,0.0
3,76698,0.0
4,76874,0.0
5,76876,0.0
6,76877,0.0
7,76878,0.0
8,76879,0.0
9,77034,0.0
10,77036,0.0
11,77037,0.0
12,77038,0.0
13,77188,0.0
14,77189,0.0
15,77190,0.0
16,77191,0.0
17,77192,0.0
18,77193,0.0
19,77337,0.0
20,77338,0.0
21,77339,0.0
22,77340,0.0
23,77341,0.0
24,77484,0.0
25,77485,0.0
26,77486,0.0
27,77487,0.0
28,77488,0.0
29,77489,0.0
30,77611,0.0
31,77612,0.0
32,77613,0.0
33,77614,0.0
34,77615,0.0
35,77616,0.0
36,77743,0.0
37,77744,0.0
38,77745,0.0
39,77746,0.0
40,77747,0.0
41,77748,0.0
42,77749,0.0
43,77856,0.0
44,77857,0.0
45,77859,0.0
46,77963,0.0
47,77965,0.0
48,77966,0.0
49,77967,0.0
50,77968,0.0
51,78076,0.0
52,78078,0.0
53,78079,0.0
54,78081,0.0
55,78187,0.0
