idx,idm,errors
0,72817,0.0
1,72874,0.0
2,72924,0.0
3,72976,0.0
4,72978,0.0
5,72980,0.0
6,73031,0.0
7,73089,0.0
8,73091,0.0
9,73092,0.0
10,73136,0.0
11,73137,0.0
12,73139,0.0
13,73140,0.0
14,73192,0.0
15,73194,0.0
16,73196,0.0
17,73199,0.0
18,73252,0.0
19,73253,0.0
20,73255,0.0
21,73257,0.0
22,73303,0.0
23,73306,0.0
24,73360,0.0
25,73361,0.0
26,73362,0.0
27,73363,0.0
28,73368,0.0
29,73422,0.0
30,73423,0.0
31,73425,0.0
32,73485,0.0
33,73487,0.0
34,73488,0.0
35,73540,0.0
36,73601,0.0
37,73603,0.0
38,73605,0.0
39,73608,0.0
40,73669,0.0
41,73671,0.0
42,73737,0.0
43,73738,0.0
44,73800,0.0
45,73802,0.0
46,73805,0.0
47,73862,0.0
48,73934,0.0
