idx,idm,errors
0,119562,0.0
1,119579,0.0
2,119605,0.0
3,119607,0.0
4,119621,0.0
5,119647,0.0
6,119632,0.0
7,119650,0.0
8,119662,0.0
9,119678,0.0
10,119679,0.0
11,119694,0.0
12,119721,0.0
13,119731,0.0
14,119759,0.0
15,119772,0.0
16,119802,0.0
17,119832,0.0
18,119847,0.0
19,119856,0.0
20,119858,0.0
21,119873,0.0
22,119888,0.0
23,119906,0.0
24,119919,0.0
25,119937,0.0
26,119949,0.0
27,119979,0.0
28,119965,0.0
29,119999,0.0
30,119997,0.0
31,120011,0.0
32,120029,0.0
33,120043,0.0
34,120059,0.0
35,120074,0.0
36,120076,0.0
37,120091,0.0
38,120103,0.0
39,120119,0.0
40,120130,0.0
41,120145,0.0
42,120160,0.0
43,120147,0.0
44,120180,0.0
45,120192,0.0
46,120207,0.0
47,120208,0.0
48,120222,0.0
49,120220,0.0
50,120237,0.0
51,120240,0.0
52,120255,0.0
53,120266,0.0
54,120267,0.0
55,120297,0.0
56,120284,0.0
57,120298,0.0
58,120317,0.0
59,120319,0.0
60,120331,0.0
61,120329,0.0
62,120344,0.0
63,120365,0.0
64,120379,0.0
65,120378,0.0
66,120397,0.0
67,120427,0.0
68,120411,0.0
69,120426,0.0
70,120444,0.0
71,120460,0.0
72,120443,0.0
73,120491,0.0
74,120472,0.0
75,120490,0.0
76,120504,0.0
77,120524,0.0
78,120507,0.0
79,120536,0.0
80,120568,0.0
81,120556,0.0
82,120554,0.0
83,120584,0.0
84,120569,0.0
85,120587,0.0
86,120585,0.0
87,120600,0.0
88,120614,0.0
89,120617,0.0
90,120633,0.0
91,120634,0.0
92,120649,0.0
93,120651,0.0
94,120654,0.0
95,120702,0.0
96,120666,0.0
97,120668,0.0
98,120682,0.0
99,120686,0.0
100,120704,0.0
101,120707,0.0
102,120743,0.0
103,120717,0.0
104,120718,0.0
105,120760,0.0
106,120733,0.0
107,120777,0.0
108,120745,0.0
109,120790,0.0
110,120763,0.0
111,120807,0.0
112,120780,0.0
113,120822,0.0
114,120823,0.0
115,120793,0.0
116,120842,0.0
117,120809,0.0
118,120858,0.0
119,120860,0.0
120,120825,0.0
121,120845,0.0
122,120887,0.0
123,120888,0.0
124,120862,0.0
125,120875,0.0
126,120892,0.0
127,120926,0.0
128,120928,0.0
129,120943,0.0
130,120945,0.0
131,120961,0.0
132,120974,0.0
133,120976,0.0
134,121009,0.0
135,120975,0.0
136,121011,0.0
137,121012,0.0
138,121010,0.0
139,121028,0.0
140,121042,0.0
141,121043,0.0
142,121060,0.0
143,121080,0.0
144,121081,0.0
145,121089,0.0
146,121091,0.0
147,121128,0.0
148,121129,0.0
149,121130,0.0
150,121131,0.0
151,121148,0.0
152,121164,0.0
153,121165,0.0
154,121178,0.0
155,121179,0.0
156,121204,0.0
157,121205,0.0
158,121218,0.0
159,121219,0.0
160,121220,0.0
161,121235,0.0
162,121236,0.0
163,121237,0.0
164,121252,0.0
165,121273,0.0
166,121276,0.0
167,121292,0.0
168,121297,0.0
169,121310,0.0
170,121312,0.0
171,121314,0.0
172,121328,0.0
173,121331,0.0
174,121343,0.0
175,121346,0.0
176,121347,0.0
177,121351,0.0
178,121352,0.0
179,121363,0.0
180,121365,0.0
181,121371,0.0
182,121384,0.0
183,121386,0.0
184,121390,0.0
185,121392,0.0
186,121395,0.0
187,121402,0.0
188,121405,0.0
189,121407,0.0
190,121411,0.0
191,121419,0.0
192,121422,0.0
193,121428,0.0
194,121429,0.0
195,121442,0.0
196,121444,0.0
197,121446,0.0
198,121447,0.0
199,121451,0.0
200,121465,0.0
201,121467,0.0
202,121486,0.0
203,121488,0.0
204,121491,0.0
205,121497,0.0
206,121508,0.0
207,121574,0.0
208,121531,0.0
209,121536,0.0
210,121549,0.0
211,121550,0.0
212,121555,0.0
213,121615,0.0
214,121593,0.0
215,121884,0.0
216,121883,0.0
217,121886,0.0
218,121911,0.0
219,121936,0.0
220,121910,0.0
221,121938,0.0
222,121938,0.0
223,121935,0.0
224,121963,0.0
225,121966,0.0
226,121971,0.0
227,122013,0.0
228,121993,0.0
229,121996,0.0
230,122012,0.0
231,121994,0.0
232,122018,0.0
233,122020,0.0
234,122015,0.0
235,122052,0.0
236,122018,0.0
237,122083,0.0
238,122049,0.0
239,122085,0.0
240,122087,0.0
241,122055,0.0
242,122115,0.0
243,122117,0.0
244,122152,0.0
