idx,idm,errors
0,121233,0.0
1,121253,0.0
2,121295,0.0
3,121274,0.0
4,121294,0.0
5,121295,0.0
6,121296,0.0
7,121313,0.0
8,121332,0.0
9,121348,0.0
10,121349,0.0
11,121368,0.0
12,121368,0.0
13,121369,0.0
14,121370,0.0
15,121393,0.0
16,121394,0.0
17,121409,0.0
18,121410,0.0
19,121426,0.0
20,121427,0.0
21,121449,0.0
22,121450,0.0
23,121452,0.0
24,121470,0.0
25,121471,0.0
26,121472,0.0
27,121493,0.0
28,121494,0.0
29,121495,0.0
30,121496,0.0
31,121511,0.0
32,121529,0.0
33,121530,0.0
34,121532,0.0
35,121533,0.0
36,121534,0.0
37,121535,0.0
38,121536,0.0
39,121533,0.0
40,121552,0.0
41,121553,0.0
42,121554,0.0
43,121556,0.0
44,121579,0.0
45,121580,0.0
46,121594,0.0
47,121595,0.0
48,121596,0.0
49,121597,0.0
50,121598,0.0
51,121658,0.0
52,121620,0.0
53,121620,0.0
54,121621,0.0
55,121622,0.0
56,121638,0.0
57,121639,0.0
58,121640,0.0
59,121641,0.0
60,121677,0.0
61,121661,0.0
62,121662,0.0
63,121663,0.0
64,121679,0.0
65,121680,0.0
66,121682,0.0
67,121705,0.0
68,121683,0.0
69,121701,0.0
70,121730,0.0
71,121705,0.0
72,121706,0.0
73,121746,0.0
74,121745,0.0
75,121745,0.0
76,121745,0.0
77,121773,0.0
78,121790,0.0
79,121791,0.0
80,121847,0.0
81,121815,0.0
82,121843,0.0
83,121864,0.0
84,121891,0.0
85,121894,0.0
86,121917,0.0
87,121942,0.0
88,121978,0.0
89,122030,0.0
90,122026,0.0
91,122093,0.0
92,122097,0.0
