idx,idm,errors
0,94213,0.0
1,94215,0.0
2,94235,0.0
3,94254,0.0
4,94256,0.0
5,94275,0.0
6,94277,0.0
7,94279,0.0
8,94299,0.0
9,94320,0.0
10,94321,0.0
11,94323,0.0
12,94324,0.0
13,94344,0.0
14,94363,0.0
15,94364,0.0
16,94366,0.0
17,94367,0.0
18,94382,0.0
19,94386,0.0
20,94409,0.0
21,94410,0.0
22,94411,0.0
23,94412,0.0
24,94414,0.0
25,94429,0.0
26,94433,0.0
27,94435,0.0
28,94456,0.0
29,94457,0.0
30,94458,0.0
31,94459,0.0
32,94464,0.0
33,94476,0.0
34,94477,0.0
35,94478,0.0
36,94479,0.0
37,94501,0.0
38,94502,0.0
39,94503,0.0
40,94504,0.0
41,94505,0.0
42,94506,0.0
43,94525,0.0
44,94528,0.0
45,94532,0.0
46,94553,0.0
47,94555,0.0
48,94556,0.0
49,94562,0.0
50,94563,0.0
51,94576,0.0
52,94578,0.0
53,94580,0.0
54,94581,0.0
55,94585,0.0
56,94608,0.0
57,94609,0.0
58,94616,0.0
59,94630,0.0
60,94631,0.0
61,94633,0.0
62,94634,0.0
63,94636,0.0
64,94637,0.0
65,94640,0.0
66,94665,0.0
67,94670,0.0
68,94691,0.0
69,94692,0.0
70,94699,0.0
71,94727,0.0
72,94728,0.0
73,94736,0.0
74,94757,0.0
75,94760,0.0
76,94766,0.0
77,94794,0.0
78,94795,0.0
79,94829,0.0
80,94830,0.0
81,94860,0.0
82,94863,0.0
83,94898,0.0
84,94899,0.0
85,94947,0.0
86,94986,0.0
87,94989,0.0
88,94992,0.0
