idx,idm,errors
0,92263,0.0
1,92264,0.0
2,92277,0.0
3,92278,0.0
4,92296,0.0
5,92308,0.0
6,92322,0.0
7,92323,0.0
8,92350,0.0
9,92351,0.0
10,92365,0.0
11,92378,0.0
12,92391,0.0
13,92392,0.0
14,92406,0.0
15,92407,0.0
16,92422,0.0
17,92433,0.0
18,92434,0.0
19,92435,0.0
20,92463,0.0
21,92464,0.0
22,92465,0.0
23,92480,0.0
24,92481,0.0
25,92482,0.0
26,92493,0.0
27,92495,0.0
28,92505,0.0
29,92506,0.0
30,92518,0.0
31,92519,0.0
32,92520,0.0
33,92537,0.0
34,92538,0.0
35,92539,0.0
36,92549,0.0
37,92550,0.0
38,92566,0.0
39,92567,0.0
40,92568,0.0
41,92579,0.0
42,92580,0.0
43,92593,0.0
44,92594,0.0
45,92595,0.0
46,92608,0.0
47,92609,0.0
48,92610,0.0
49,92611,0.0
50,92622,0.0
51,92623,0.0
52,92625,0.0
53,92650,0.0
54,92651,0.0
55,92652,0.0
56,92653,0.0
57,92656,0.0
58,92665,0.0
59,92680,0.0
60,92681,0.0
61,92682,0.0
62,92683,0.0
63,92685,0.0
64,92696,0.0
65,92710,0.0
66,92711,0.0
67,92712,0.0
68,92715,0.0
69,92724,0.0
70,92725,0.0
71,92726,0.0
72,92739,0.0
73,92742,0.0
74,92752,0.0
75,92753,0.0
76,92755,0.0
77,92768,0.0
78,92772,0.0
79,92774,0.0
80,92783,0.0
81,92784,0.0
82,92786,0.0
83,92796,0.0
84,92797,0.0
85,92798,0.0
86,92803,0.0
87,92812,0.0
88,92813,0.0
89,92815,0.0
90,92826,0.0
91,92827,0.0
92,92832,0.0
93,92834,0.0
94,92844,0.0
95,92846,0.0
96,92856,0.0
97,92857,0.0
98,92862,0.0
99,92871,0.0
100,92872,0.0
101,92873,0.0
102,92884,0.0
103,92899,0.0
104,92900,0.0
105,92904,0.0
106,92905,0.0
107,92906,0.0
108,92919,0.0
109,92927,0.0
110,92928,0.0
111,92929,0.0
112,92930,0.0
113,92933,0.0
114,92934,0.0
115,92947,0.0
116,92951,0.0
117,92961,0.0
118,92963,0.0
119,92964,0.0
120,92976,0.0
121,92977,0.0
122,92983,0.0
123,92991,0.0
124,92995,0.0
125,92997,0.0
126,93007,0.0
127,93008,0.0
128,93013,0.0
129,93014,0.0
130,93025,0.0
131,93029,0.0
132,93042,0.0
133,93043,0.0
134,93045,0.0
135,93046,0.0
136,93057,0.0
137,93064,0.0
138,93065,0.0
139,93073,0.0
140,93074,0.0
141,93078,0.0
142,93079,0.0
143,93090,0.0
144,93091,0.0
145,93096,0.0
146,93107,0.0
147,93108,0.0
148,93110,0.0
149,93120,0.0
150,93123,0.0
151,93127,0.0
152,93128,0.0
153,93130,0.0
154,93132,0.0
155,93139,0.0
156,93144,0.0
157,93156,0.0
158,93162,0.0
159,93163,0.0
160,93164,0.0
161,93170,0.0
162,93185,0.0
163,93187,0.0
164,93196,0.0
165,93202,0.0
166,93204,0.0
167,93216,0.0
168,93217,0.0
169,93226,0.0
170,93231,0.0
171,93234,0.0
172,93243,0.0
173,93244,0.0
174,93248,0.0
175,93264,0.0
176,93266,0.0
177,93268,0.0
178,93277,0.0
179,93279,0.0
180,93283,0.0
181,93284,0.0
182,93294,0.0
183,93298,0.0
184,93300,0.0
185,93310,0.0
186,93317,0.0
187,93327,0.0
188,93330,0.0
189,93331,0.0
190,93332,0.0
191,93345,0.0
192,93348,0.0
193,93359,0.0
194,93364,0.0
195,93365,0.0
196,93368,0.0
197,93379,0.0
198,93380,0.0
199,93384,0.0
200,93399,0.0
201,93402,0.0
202,93413,0.0
203,93414,0.0
204,93416,0.0
205,93418,0.0
206,93426,0.0
207,93433,0.0
208,93434,0.0
209,93444,0.0
210,93448,0.0
211,93450,0.0
212,93461,0.0
213,93466,0.0
214,93478,0.0
215,93479,0.0
216,93485,0.0
217,93486,0.0
218,93488,0.0
219,93494,0.0
220,93495,0.0
221,93499,0.0
222,93511,0.0
223,93512,0.0
224,93518,0.0
225,93521,0.0
226,93531,0.0
227,93533,0.0
228,93544,0.0
229,93545,0.0
230,93548,0.0
231,93549,0.0
232,93550,0.0
233,93559,0.0
234,93560,0.0
235,93564,0.0
236,93567,0.0
237,93571,0.0
238,93586,0.0
239,93589,0.0
240,93597,0.0
241,93602,0.0
242,93611,0.0
243,93612,0.0
244,93615,0.0
245,93632,0.0
246,93640,0.0
247,93641,0.0
248,93642,0.0
249,93643,0.0
250,93644,0.0
251,93658,0.0
252,93659,0.0
253,93660,0.0
254,93661,0.0
255,93666,0.0
256,93677,0.0
257,93683,0.0
258,93684,0.0
259,93696,0.0
260,93697,0.0
261,93698,0.0
262,93699,0.0
263,93716,0.0
264,93717,0.0
265,93730,0.0
266,93733,0.0
267,93734,0.0
268,93747,0.0
269,93748,0.0
270,93755,0.0
271,93766,0.0
272,93768,0.0
273,93780,0.0
274,93786,0.0
275,93787,0.0
276,93800,0.0
277,93801,0.0
278,93805,0.0
279,93806,0.0
280,93810,0.0
281,93820,0.0
282,93824,0.0
283,93835,0.0
284,93836,0.0
285,93842,0.0
286,93853,0.0
287,93858,0.0
288,93875,0.0
289,93876,0.0
290,93878,0.0
291,93890,0.0
292,93891,0.0
293,93906,0.0
294,93907,0.0
295,93908,0.0
296,93913,0.0
297,93928,0.0
298,93929,0.0
299,93943,0.0
