idx,idm,errors
0,94574,0.0
1,94602,0.0
2,94603,0.0
3,94605,0.0
4,94606,0.0
5,94625,0.0
6,94629,0.0
7,94654,0.0
8,94656,0.0
9,94657,0.0
10,94658,0.0
11,94659,0.0
12,94682,0.0
13,94683,0.0
14,94684,0.0
15,94687,0.0
16,94715,0.0
17,94716,0.0
18,94717,0.0
19,94718,0.0
20,94720,0.0
21,94721,0.0
22,94722,0.0
23,94724,0.0
24,94725,0.0
25,94746,0.0
26,94748,0.0
27,94749,0.0
28,94750,0.0
29,94781,0.0
30,94782,0.0
31,94783,0.0
32,94785,0.0
33,94787,0.0
34,94790,0.0
35,94811,0.0
36,94813,0.0
37,94815,0.0
38,94817,0.0
39,94818,0.0
40,94845,0.0
41,94847,0.0
42,94851,0.0
43,94852,0.0
44,94881,0.0
45,94884,0.0
