,idx,idm,errors
0,0,95753,0.0
1,1,95754,0.0
2,2,95755,0.0
3,3,95756,0.0
4,4,95757,0.0
5,5,95758,0.0
6,6,95759,0.0
7,7,95760,0.0
8,8,95761,0.0
9,9,95762,0.0
10,10,95763,0.0
11,11,95764,0.0
12,12,95765,0.0
13,13,95766,0.0
14,14,95767,0.0
15,15,95768,0.0
16,16,95769,0.0
17,17,95770,0.0
18,18,95771,0.0
19,19,95772,0.0
20,20,95773,0.0
21,21,95774,0.0
22,22,95775,0.0
23,23,95776,0.0
24,24,95777,0.0
25,25,95778,0.0
26,26,95779,0.0
27,27,95780,0.0
28,28,95781,0.0
29,29,95782,0.0
30,30,95783,0.0
31,31,95784,0.0
32,32,95785,0.0
33,33,95786,0.0
34,34,95787,0.0
35,35,95788,0.0
36,36,95789,9.5367431640625e-07
37,37,95790,0.0
38,38,95791,0.0
39,39,95792,0.0
40,40,95793,0.0
41,41,95794,0.0
42,42,95795,0.0
43,43,95796,0.0
44,44,95797,0.0
45,45,95798,0.0
46,46,95799,0.0
47,47,95800,0.0
48,48,95801,0.0
49,49,95802,0.0
50,50,95803,0.0
51,51,95804,0.0
52,52,95805,0.0
53,53,95806,0.0
54,54,95807,0.0
55,55,95808,0.0
56,56,95809,0.0
57,57,95810,0.0
58,58,95811,9.5367431640625e-07
59,59,95812,0.0
60,60,95813,0.0
61,61,95814,0.0
62,62,95815,0.0
63,63,95816,0.0
64,64,95817,0.0
65,65,95818,0.0
66,66,95819,0.0
67,67,95820,0.0
68,68,95821,0.0
69,69,95822,0.0
70,70,95823,0.0
71,71,95824,0.0
72,72,95825,0.0
73,73,95826,0.0
74,74,95827,0.0
75,75,95828,0.0
76,76,95829,0.0
77,77,95830,0.0
78,78,95831,0.0
79,79,95832,0.0
80,80,95833,0.0
81,81,95834,0.0
82,82,95835,0.0
83,83,95836,0.0
84,84,95837,0.0
85,85,95838,4.76837158203125e-07
86,86,95839,0.0
87,87,95840,0.0
88,88,95841,0.0
89,89,95842,4.76837158203125e-07
90,90,95843,4.76837158203125e-07
91,91,95844,4.76837158203125e-07
92,92,95845,4.76837158203125e-07
93,93,95846,0.0
94,94,95847,0.0
95,95,95848,0.0
96,96,95849,0.0
97,97,95850,0.0
98,98,95851,0.0
99,99,95852,0.0
100,100,95853,0.0
101,101,95854,0.0
102,102,95855,0.0
