,idx,idm,errors
0,0,106935,0.0
1,1,106936,4.76837158203125e-07
2,2,106937,0.0
3,3,106938,0.0
4,4,106939,0.0
5,5,106940,4.76837158203125e-07
6,6,106941,0.0
7,7,106942,0.0
8,8,106943,0.0
9,9,106944,4.76837158203125e-07
10,10,106945,0.0
11,11,106946,0.0
12,12,106947,0.0
13,13,106948,0.0
14,14,106949,0.0
15,15,106950,0.0
16,16,106951,0.0
17,17,106952,0.0
18,18,106953,0.0
19,19,106954,0.0
20,20,106955,0.0
21,21,106956,0.0
22,22,106957,0.0
23,23,106958,0.0
24,24,106959,0.0
25,25,106960,0.0
26,26,106961,0.0
27,27,106962,0.0
28,28,106963,9.5367431640625e-07
29,29,106964,0.0
30,30,106965,0.0
31,31,106966,0.0
32,32,106967,0.0
33,33,106968,0.0
34,34,106969,0.0
35,35,106970,2.384185791015625e-07
36,36,106971,2.384185791015625e-07
37,37,106972,0.0
38,38,106973,0.0
39,39,106974,0.0
40,40,106975,0.0
41,41,106976,0.0
42,42,106977,0.0
43,43,106978,0.0
44,44,106979,0.0
45,45,106980,0.0
46,46,106981,0.0
47,47,106982,3.5762786865234375e-07
48,48,106983,2.384185791015625e-07
49,49,106984,4.76837158203125e-07
50,50,106985,0.0
51,51,106986,4.76837158203125e-07
52,52,106987,4.76837158203125e-07
53,53,106988,0.0
54,54,106989,0.0
55,55,106990,4.76837158203125e-07
56,56,106991,0.0
57,57,106992,0.0
58,58,106993,0.0
59,59,106994,0.0
60,60,106995,0.0
61,61,106996,0.0
62,62,106997,9.5367431640625e-07
63,63,106998,0.0
64,64,106999,0.0
65,65,107000,0.0
66,66,107001,4.76837158203125e-07
67,67,107002,2.0116567611694336e-07
68,68,107003,5.960464477539063e-08
69,69,107004,4.76837158203125e-07
70,70,107005,9.5367431640625e-07
71,71,107006,9.5367431640625e-07
72,72,107007,0.0
73,73,107008,4.76837158203125e-07
74,74,107009,0.0
75,75,107010,4.76837158203125e-07
76,76,107011,0.0
77,77,107012,0.0
78,78,107013,0.0
79,79,107014,0.0
80,80,107015,2.384185791015625e-07
81,81,107016,0.0
82,82,107017,0.0
83,83,107018,2.384185791015625e-07
84,84,107019,9.5367431640625e-07
85,85,107020,0.0
86,86,107021,0.0
87,87,107022,0.0
88,88,107023,4.76837158203125e-07
89,89,107024,4.76837158203125e-07
90,90,107025,4.76837158203125e-07
91,91,107026,2.384185791015625e-07
92,92,107027,0.0
93,93,107028,0.0
94,94,107029,0.0
95,95,107030,0.0
96,96,107031,0.0
97,97,107032,0.0
98,98,107033,0.0
99,99,107034,4.76837158203125e-07
100,100,107035,0.0
101,101,107036,0.0
102,102,107037,0.0
103,103,107038,0.0
104,104,107039,0.0
105,105,107040,4.76837158203125e-07
106,106,107041,4.76837158203125e-07
107,107,107042,0.0
108,108,107043,0.0
109,109,107044,4.76837158203125e-07
110,110,107045,2.384185791015625e-07
111,111,107046,0.0
112,112,107047,0.0
113,113,107048,0.0
114,114,107049,0.0
115,115,107050,0.0
116,116,107051,9.5367431640625e-07
117,117,107052,0.0
118,118,107053,4.76837158203125e-07
119,119,107054,4.76837158203125e-07
120,120,107055,0.0
121,121,107056,0.0
122,122,107057,0.0
123,123,107058,0.0
124,124,107059,0.0
125,125,107060,0.0
126,126,107061,0.0
127,127,107062,0.0
128,128,107063,9.5367431640625e-07
129,129,107064,4.76837158203125e-07
130,130,107065,0.0
131,131,107066,4.76837158203125e-07
132,132,107067,0.0
133,133,107068,0.0
134,134,107069,0.0
135,135,107070,0.0
136,136,107071,0.0
137,137,107072,4.76837158203125e-07
138,138,107073,0.0
139,139,107074,0.0
140,140,107075,0.0
141,141,107076,0.0
142,142,107077,0.0
143,143,107078,0.0
144,144,107079,0.0
145,145,107080,0.0
146,146,107081,0.0
147,147,107082,0.0
148,148,107083,0.0
149,149,107084,0.0
150,150,107085,0.0
151,151,107086,2.9802322387695312e-08
152,152,107087,4.76837158203125e-07
153,153,107088,4.76837158203125e-07
154,154,107089,4.76837158203125e-07
155,155,107090,0.0
156,156,107091,4.76837158203125e-07
157,157,107092,4.76837158203125e-07
158,158,107093,2.384185791015625e-07
159,159,107094,0.0
160,160,107095,0.0
161,161,107096,0.0
162,162,107097,0.0
163,163,107098,0.0
164,164,107099,0.0
165,165,107100,4.76837158203125e-07
166,166,107101,2.905726432800293e-07
167,167,107102,9.685754776000977e-08
168,168,107103,1.1920928955078125e-07
169,169,107104,4.76837158203125e-07
170,170,107105,0.0
171,171,107106,4.76837158203125e-07
172,172,107107,0.0
173,173,107108,4.76837158203125e-07
174,174,107109,4.76837158203125e-07
175,175,107110,0.0
176,176,107111,0.0
177,177,107112,1.1658994480967522e-07
178,178,107113,0.0
179,179,107114,0.0
180,180,107115,0.0
181,181,107116,0.0
182,182,107117,0.0
183,183,107118,0.0
184,184,107119,9.5367431640625e-07
185,185,107120,0.0
186,186,107121,0.0
187,187,107122,4.76837158203125e-07
188,188,107123,0.0
189,189,107124,0.0
190,190,107125,0.0
191,191,107126,0.0
192,192,107127,0.0
193,193,107128,0.0
194,194,107129,0.0
195,195,107130,4.76837158203125e-07
196,196,107131,0.0
197,197,107132,2.384185791015625e-07
198,198,107133,2.384185791015625e-07
199,199,107134,1.1920928955078125e-07
200,200,107135,2.384185791015625e-07
201,201,107136,0.0
202,202,107137,9.5367431640625e-07
203,203,107138,0.0
204,204,107139,0.0
205,205,107140,0.0
206,206,107141,0.0
207,207,107142,0.0
208,208,107143,0.0
209,209,107144,0.0
210,210,107145,0.0
211,211,107146,0.0
212,212,107147,4.76837158203125e-07
213,213,107148,4.76837158203125e-07
214,214,107149,0.0
215,215,107150,0.0
216,216,107151,0.0
217,217,107152,0.0
218,218,107153,0.0
219,219,107154,0.0
220,220,107155,0.0
221,221,107156,1.1920928955078125e-07
222,222,107157,2.980232238769531e-07
223,223,107158,2.384185791015625e-07
224,224,107159,0.0
225,225,107160,4.917383193969727e-07
226,226,107161,1.1920928955078125e-07
227,227,107162,0.0
228,228,107163,2.384185791015625e-07
229,229,107164,2.384185791015625e-07
230,230,107165,3.511086106300354e-07
231,231,107166,0.0
232,232,107167,0.0
233,233,107168,2.384185791015625e-07
234,234,107169,1.1920928955078125e-07
235,235,107170,1.1920928955078125e-07
236,236,107171,2.384185791015625e-07
237,237,107172,2.384185791015625e-07
238,238,107173,2.384185791015625e-07
239,239,107174,0.0
240,240,107175,1.1920928955078125e-07
241,241,107176,1.341104507446289e-07
242,242,107177,1.7881393432617188e-07
243,243,107178,0.0
244,244,107179,4.76837158203125e-07
245,245,107180,2.384185791015625e-07
246,246,107181,3.2782554626464844e-07
247,247,107182,4.172325134277344e-07
248,248,107183,5.21540641784668e-08
249,249,107184,3.8743019104003906e-07
250,250,107185,0.0
251,251,107186,1.1920928955078125e-07
252,252,107187,0.0
253,253,107188,2.384185791015625e-07
254,254,107189,0.0
255,255,107190,0.0
256,256,107191,0.0
257,257,107192,0.0
258,258,107193,0.0
259,259,107194,4.76837158203125e-07
260,260,107195,0.0
261,261,107196,0.0
262,262,107197,0.0
263,263,107198,0.0
264,264,107199,0.0
265,265,107200,0.0
266,266,107201,0.0
267,267,107202,0.0
268,268,107203,0.0
269,269,107204,0.0
270,270,107205,0.0
271,271,107206,0.0
272,272,107207,0.0
273,273,107208,0.0
274,274,107209,0.0
275,275,107210,0.0
276,276,107211,0.0
277,277,107212,0.0
278,278,107213,0.0
279,279,107214,0.0
280,280,107215,0.0
281,281,107216,3.650784492492676e-07
282,282,107217,2.384185791015625e-07
283,283,107218,4.172325134277344e-07
284,284,107219,0.0
285,285,107220,0.0
286,286,107221,2.384185791015625e-07
287,287,107222,2.384185791015625e-07
288,288,107223,2.980232238769531e-07
289,289,107224,0.0
290,290,107225,2.384185791015625e-07
291,291,107226,0.0
292,292,107227,1.1920928955078125e-07
293,293,107228,0.0
294,294,107229,1.1920928955078125e-07
295,295,107230,2.384185791015625e-07
296,296,107231,0.0
297,297,107232,0.0
298,298,107233,0.0
299,299,107234,0.0
300,300,107235,3.5762786865234375e-07
301,301,107236,0.0
302,302,107237,2.384185791015625e-07
303,303,107238,3.5762786865234375e-07
304,304,107239,0.0
305,305,107240,0.0
306,306,107241,4.172325134277344e-07
307,307,107242,0.0
308,308,107243,0.0
309,309,107244,0.0
310,310,107245,3.5762786865234375e-07
311,311,107246,0.0
312,312,107247,0.0
313,313,107248,0.0
314,314,107249,2.384185791015625e-07
315,315,107250,0.0
316,316,107251,0.0
317,317,107252,0.0
318,318,107253,0.0
319,319,107254,4.76837158203125e-07
320,320,107255,0.0
321,321,107256,0.0
322,322,107257,0.0
323,323,107258,0.0
324,324,107259,0.0
325,325,107260,4.76837158203125e-07
326,326,107261,4.76837158203125e-07
327,327,107262,0.0
328,328,107263,4.76837158203125e-07
329,329,107264,2.9802322387695312e-08
330,330,107265,3.948807716369629e-07
331,331,107266,3.5762786865234375e-07
332,332,107267,2.980232238769531e-07
333,333,107268,3.5762786865234375e-07
334,334,107269,2.384185791015625e-07
335,335,107270,0.0
336,336,107271,0.0
337,337,107272,4.76837158203125e-07
338,338,107273,0.0
339,339,107274,0.0
340,340,107275,3.725290298461914e-09
341,341,107276,0.0
342,342,107277,0.0
343,343,107278,0.0
344,344,107279,0.0
345,345,107280,0.0
346,346,107281,0.0
347,347,107282,0.0
348,348,107283,0.0
349,349,107284,0.0
350,350,107285,0.0
