,idx,idm,errors
0,0,114997,4.76837158203125e-07
1,1,114998,4.76837158203125e-07
2,2,114999,4.76837158203125e-07
3,3,115000,0.0
4,4,115001,0.0
5,5,115002,4.76837158203125e-07
6,6,115003,0.0
7,7,115004,0.0
8,8,115005,9.5367431640625e-07
9,9,115006,4.76837158203125e-07
10,10,115007,4.76837158203125e-07
11,11,115008,0.0
12,12,115009,0.0
13,13,115010,0.0
14,14,115011,4.76837158203125e-07
15,15,115012,0.0
16,16,115013,4.76837158203125e-07
17,17,115014,0.0
18,18,115015,0.0
19,19,115016,4.76837158203125e-07
20,20,115017,0.0
21,21,115018,0.0
22,22,115019,2.384185791015625e-07
23,23,115020,2.384185791015625e-07
24,24,115021,0.0
25,25,115022,0.0
26,26,115023,4.76837158203125e-07
27,27,115024,0.0
28,28,115025,4.76837158203125e-07
29,29,115026,3.5762786865234375e-07
30,30,115027,2.384185791015625e-07
31,31,115028,0.0
32,32,115029,0.0
33,33,115030,4.76837158203125e-07
34,34,115031,4.76837158203125e-07
35,35,115032,4.76837158203125e-07
36,36,115033,0.0
37,37,115034,0.0
38,38,115035,0.0
39,39,115036,0.0
40,40,115037,4.76837158203125e-07
41,41,115038,0.0
42,42,115039,0.0
43,43,115040,0.0
44,44,115041,0.0
45,45,115042,4.76837158203125e-07
46,46,115043,4.76837158203125e-07
47,47,115044,2.384185791015625e-07
48,48,115045,0.0
49,49,115046,0.0
50,50,115047,0.0
51,51,115048,0.0
52,52,115049,4.76837158203125e-07
53,53,115050,4.76837158203125e-07
54,54,115051,0.0
55,55,115052,0.0
56,56,115053,4.76837158203125e-07
57,57,115054,4.76837158203125e-07
58,58,115055,0.0
59,59,115056,4.76837158203125e-07
60,60,115057,4.76837158203125e-07
61,61,115058,4.76837158203125e-07
62,62,115059,0.0
63,63,115060,2.384185791015625e-07
64,64,115061,3.5762786865234375e-07
65,65,115062,0.0
66,66,115063,0.0
67,67,115064,0.0
68,68,115065,0.0
69,69,115066,4.76837158203125e-07
70,70,115067,2.384185791015625e-07
71,71,115068,4.76837158203125e-07
72,72,115069,2.384185791015625e-07
73,73,115070,3.5762786865234375e-07
74,74,115071,3.5762786865234375e-07
75,75,115072,2.384185791015625e-07
76,76,115073,0.0
77,77,115074,4.76837158203125e-07
78,78,115075,2.384185791015625e-07
79,79,115076,1.1920928955078125e-07
80,80,115077,4.76837158203125e-07
81,81,115078,5.21540641784668e-08
82,82,115079,2.384185791015625e-07
83,83,115080,4.76837158203125e-07
84,84,115081,3.5762786865234375e-07
85,85,115082,4.76837158203125e-07
86,86,115083,2.384185791015625e-07
87,87,115084,1.7881393432617188e-07
88,88,115085,0.0
89,89,115086,0.0
90,90,115087,0.0
91,91,115088,2.384185791015625e-07
92,92,115089,2.384185791015625e-07
93,93,115090,0.0
94,94,115091,0.0
95,95,115092,0.0
96,96,115093,0.0
97,97,115094,0.0
98,98,115095,4.76837158203125e-07
99,99,115096,0.0
100,100,115097,0.0
101,101,115098,0.0
102,102,115099,0.0
103,103,115100,0.0
104,104,115101,4.76837158203125e-07
105,105,115102,4.76837158203125e-07
106,106,115103,4.76837158203125e-07
107,107,115104,2.384185791015625e-07
108,108,115105,0.0
109,109,115106,2.384185791015625e-07
110,110,115107,0.0
111,111,115108,0.0
112,112,115109,0.0
113,113,115110,0.0
114,114,115111,0.0
115,115,115112,0.0
116,116,115113,4.76837158203125e-07
117,117,115114,2.384185791015625e-07
118,118,115115,2.384185791015625e-07
119,119,115116,0.0
120,120,115117,0.0
121,121,115118,0.0
122,122,115119,4.76837158203125e-07
