,idx,idm,errors
0,0,97916,0.0
1,1,97917,0.0
2,2,97918,0.0
3,3,97919,0.0
4,4,97920,0.0
5,5,97921,0.0
6,6,97922,0.0
7,7,97923,0.0
8,8,97924,0.0
9,9,97925,0.0
10,10,97926,0.0
11,11,97927,0.0
12,12,97928,0.0
13,13,97929,0.0
14,14,97930,0.0
15,15,97931,0.0
16,16,97932,0.0
17,17,97933,0.0
18,18,97934,0.0
19,19,97935,0.0
20,20,97936,0.0
21,21,97937,0.0
22,22,97938,0.0
23,23,97939,0.0
24,24,97940,0.0
25,25,97941,0.0
26,26,97942,0.0
27,27,97943,0.0
28,28,97944,0.0
29,29,97945,0.0
30,30,97946,0.0
31,31,97947,0.0
32,32,97948,0.0
33,33,97949,0.0
34,34,97950,0.0
35,35,97951,0.0
36,36,97952,0.0
37,37,97953,0.0
38,38,97954,0.0
39,39,97955,0.0
40,40,97956,0.0
41,41,97957,0.0
42,42,97958,0.0
43,43,97959,0.0
44,44,97960,0.0
45,45,97961,0.0
46,46,97962,0.0
47,47,97963,0.0
48,48,97964,0.0
49,49,97965,0.0
50,50,97966,0.0
51,51,97967,0.0
52,52,97968,0.0
53,53,97969,0.0
54,54,97970,0.0
55,55,97971,0.0
56,56,97972,0.0
57,57,97973,0.0
58,58,97974,0.0
59,59,97975,0.0
60,60,97976,0.0
61,61,97977,0.0
62,62,97978,0.0
63,63,97979,0.0
64,64,97980,0.0
65,65,97981,0.0
66,66,97982,0.0
67,67,97983,9.5367431640625e-07
68,68,97984,0.0
69,69,97985,0.0
70,70,97986,0.0
71,71,97987,0.0
72,72,97988,0.0
73,73,97989,0.0
74,74,97990,0.0
75,75,97991,0.0
76,76,97992,0.0
77,77,97993,0.0
78,78,97994,0.0
79,79,97995,0.0
80,80,97996,0.0
81,81,97997,0.0
82,82,97998,0.0
83,83,97999,0.0
84,84,98000,0.0
85,85,98001,0.0
86,86,98002,0.0
87,87,98003,0.0
88,88,98004,0.0
89,89,98005,0.0
90,90,98006,0.0
91,91,98007,0.0
92,92,98008,0.0
93,93,98009,0.0
94,94,98010,0.0
95,95,98011,0.0
96,96,98012,0.0
97,97,98013,0.0
98,98,98014,0.0
99,99,98015,0.0
100,100,98016,0.0
101,101,98017,0.0
102,102,98018,0.0
103,103,98019,0.0
104,104,98020,0.0
105,105,98021,0.0
106,106,98022,0.0
107,107,98023,0.0
108,108,98024,0.0
109,109,98025,0.0
110,110,98026,0.0
111,111,98027,0.0
112,112,98028,0.0
113,113,98029,0.0
114,114,98030,0.0
115,115,98031,0.0
116,116,98032,0.0
117,117,98033,0.0
118,118,98034,0.0
119,119,98035,0.0
120,120,98036,0.0
121,121,98037,0.0
122,122,98038,0.0
123,123,98039,0.0
124,124,98040,0.0
125,125,98041,0.0
126,126,98042,0.0
127,127,98043,0.0
128,128,98044,0.0
129,129,98045,0.0
130,130,98046,0.0
131,131,98047,0.0
132,132,98048,0.0
133,133,98049,0.0
134,134,98050,0.0
135,135,98051,0.0
136,136,98052,0.0
137,137,98053,0.0
138,138,98054,0.0
139,139,98055,0.0
140,140,98056,0.0
141,141,98057,0.0
142,142,98058,0.0
143,143,98059,0.0
144,144,98060,0.0
145,145,98061,0.0
146,146,98062,0.0
147,147,98063,0.0
148,148,98064,0.0
149,149,98065,0.0
150,150,98066,0.0
151,151,98067,0.0
152,152,98068,0.0
153,153,98069,0.0
154,154,98070,0.0
155,155,98071,0.0
156,156,98072,0.0
157,157,98073,0.0
158,158,98074,0.0
159,159,98075,0.0
160,160,98076,0.0
161,161,98077,0.0
162,162,98078,0.0
163,163,98079,0.0
164,164,98080,0.0
165,165,98081,0.0
166,166,98082,9.5367431640625e-07
167,167,98083,0.0
168,168,98084,0.0
169,169,98085,0.0
170,170,98086,0.0
171,171,98087,0.0
172,172,98088,0.0
173,173,98089,0.0
174,174,98090,0.0
175,175,98091,0.0
176,176,98092,9.5367431640625e-07
177,177,98093,0.0
178,178,98094,0.0
179,179,98095,0.0
180,180,98096,0.0
181,181,98097,0.0
182,182,98098,0.0
183,183,98099,0.0
184,184,98100,0.0
185,185,98101,0.0
186,186,98102,0.0
187,187,98103,0.0
188,188,98104,0.0
189,189,98105,0.0
190,190,98106,0.0
191,191,98107,0.0
192,192,98108,0.0
193,193,98109,9.5367431640625e-07
194,194,98110,0.0
195,195,98111,0.0
196,196,98112,0.0
197,197,98113,0.0
198,198,98114,9.5367431640625e-07
199,199,98115,0.0
200,200,98116,0.0
201,201,98117,0.0
202,202,98118,0.0
203,203,98119,0.0
204,204,98120,0.0
205,205,98121,0.0
206,206,98122,0.0
207,207,98123,0.0
208,208,98124,0.0
209,209,98125,0.0
210,210,98126,0.0
211,211,98127,0.0
212,212,98128,0.0
213,213,98129,0.0
214,214,98130,0.0
215,215,98131,0.0
216,216,98132,0.0
217,217,98133,9.5367431640625e-07
218,218,98134,0.0
219,219,98135,0.0
220,220,98136,0.0
221,221,98137,0.0
222,222,98138,0.0
223,223,98139,0.0
224,224,98140,0.0
225,225,98141,0.0
226,226,98142,0.0
227,227,98143,0.0
228,228,98144,0.0
229,229,98145,0.0
230,230,98146,0.0
231,231,98147,9.5367431640625e-07
232,232,98148,0.0
233,233,98149,0.0
234,234,98150,0.0
235,235,98151,0.0
236,236,98152,0.0
237,237,98153,0.0
238,238,98154,9.5367431640625e-07
239,239,98155,0.0
240,240,98156,0.0
241,241,98157,0.0
242,242,98158,0.0
243,243,98159,0.0
244,244,98160,0.0
245,245,98161,0.0
246,246,98162,0.0
247,247,98163,0.0
248,248,98164,0.0
249,249,98165,0.0
250,250,98166,0.0
251,251,98167,0.0
252,252,98168,0.0
253,253,98169,0.0
254,254,98170,0.0
255,255,98171,0.0
256,256,98172,0.0
257,257,98173,0.0
258,258,98174,0.0
259,259,98175,0.0
260,260,98176,0.0
261,261,98177,0.0
262,262,98178,0.0
263,263,98179,0.0
264,264,98180,0.0
265,265,98181,0.0
266,266,98182,0.0
267,267,98183,0.0
268,268,98184,0.0
269,269,98185,0.0
270,270,98186,0.0
271,271,98187,0.0
272,272,98188,0.0
273,273,98189,0.0
274,274,98190,0.0
275,275,98191,0.0
276,276,98192,0.0
277,277,98193,0.0
278,278,98194,0.0
279,279,98195,0.0
280,280,98196,0.0
281,281,98197,0.0
282,282,98198,0.0
283,283,98199,0.0
284,284,98200,0.0
285,285,98201,0.0
286,286,98202,0.0
287,287,98203,9.5367431640625e-07
288,288,98204,0.0
289,289,98205,0.0
290,290,98206,0.0
291,291,98207,0.0
292,292,98208,0.0
293,293,98209,0.0
294,294,98210,0.0
295,295,98211,0.0
296,296,98212,0.0
297,297,98213,0.0
298,298,98214,0.0
299,299,98215,0.0
300,300,98216,0.0
301,301,98217,0.0
302,302,98218,0.0
303,303,98219,0.0
304,304,98220,0.0
305,305,98221,0.0
306,306,98222,0.0
307,307,98223,0.0
308,308,98224,0.0
309,309,98225,0.0
310,310,98226,0.0
311,311,98227,0.0
312,312,98228,0.0
313,313,98229,0.0
314,314,98230,9.5367431640625e-07
315,315,98231,0.0
316,316,98232,0.0
317,317,98233,0.0
318,318,98234,0.0
319,319,98235,0.0
320,320,98236,0.0
321,321,98237,0.0
322,322,98238,0.0
323,323,98239,0.0
324,324,98240,0.0
325,325,98241,0.0
326,326,98242,0.0
327,327,98243,0.0
328,328,98244,9.5367431640625e-07
329,329,98245,0.0
330,330,98246,0.0
331,331,98247,0.0
332,332,98248,0.0
333,333,98249,0.0
334,334,98250,0.0
335,335,98251,0.0
336,336,98252,0.0
337,337,98253,0.0
338,338,98254,0.0
339,339,98255,0.0
340,340,98256,0.0
341,341,98257,0.0
342,342,98258,0.0
343,343,98259,0.0
344,344,98260,0.0
345,345,98261,0.0
346,346,98262,0.0
347,347,98263,0.0
348,348,98264,0.0
349,349,98265,0.0
350,350,98266,0.0
351,351,98267,0.0
352,352,98268,0.0
353,353,98269,0.0
354,354,98270,9.5367431640625e-07
355,355,98271,0.0
356,356,98272,0.0
357,357,98273,0.0
358,358,98274,0.0
359,359,98275,0.0
360,360,98276,0.0
361,361,98277,0.0
362,362,98278,0.0
363,363,98279,0.0
364,364,98280,0.0
365,365,98281,0.0
366,366,98282,0.0
367,367,98283,0.0
368,368,98284,0.0
369,369,98285,0.0
370,370,98286,9.5367431640625e-07
371,371,98287,0.0
372,372,98288,0.0
373,373,98289,0.0
374,374,98290,0.0
375,375,98291,0.0
376,376,98292,0.0
377,377,98293,9.5367431640625e-07
378,378,98294,0.0
379,379,98295,0.0
380,380,98296,0.0
381,381,98297,0.0
382,382,98298,0.0
383,383,98299,0.0
384,384,98300,0.0
385,385,98301,0.0
386,386,98302,0.0
387,387,98303,0.0
388,388,98304,0.0
389,389,98305,9.5367431640625e-07
390,390,98306,0.0
391,391,98307,0.0
392,392,98308,0.0
393,393,98309,0.0
394,394,98310,0.0
395,395,98311,0.0
396,396,98312,0.0
397,397,98313,0.0
398,398,98314,0.0
399,399,98315,0.0
400,400,98316,0.0
401,401,98317,4.76837158203125e-07
402,402,98318,0.0
403,403,98319,4.76837158203125e-07
404,404,98320,0.0
405,405,98321,0.0
406,406,98322,4.76837158203125e-07
407,407,98323,0.0
408,408,98324,0.0
409,409,98325,0.0
410,410,98326,0.0
411,411,98327,0.0
412,412,98328,0.0
413,413,98329,0.0
414,414,98330,0.0
415,415,98331,0.0
416,416,98332,0.0
417,417,98333,0.0
418,418,98334,0.0
419,419,98335,4.76837158203125e-07
420,420,98336,0.0
421,421,98337,0.0
422,422,98338,0.0
423,423,98339,0.0
424,424,98340,0.0
425,425,98341,0.0
426,426,98342,0.0
427,427,98343,4.76837158203125e-07
428,428,98344,0.0
429,429,98345,0.0
430,430,98346,0.0
431,431,98347,9.5367431640625e-07
432,432,98348,0.0
433,433,98349,0.0
434,434,98350,0.0
435,435,98351,0.0
436,436,98352,0.0
437,437,98353,0.0
438,438,98354,0.0
439,439,98355,0.0
440,440,98356,0.0
441,441,98357,0.0
442,442,98358,4.76837158203125e-07
443,443,98359,0.0
444,444,98360,0.0
445,445,98361,0.0
446,446,98362,4.76837158203125e-07
447,447,98363,0.0
448,448,98364,0.0
449,449,98365,4.76837158203125e-07
450,450,98366,0.0
451,451,98367,4.76837158203125e-07
452,452,98368,4.76837158203125e-07
453,453,98369,0.0
454,454,98370,9.5367431640625e-07
455,455,98371,4.76837158203125e-07
456,456,98372,0.0
457,457,98373,0.0
458,458,98374,0.0
459,459,98375,0.0
460,460,98376,0.0
461,461,98377,0.0
462,462,98378,0.0
463,463,98379,0.0
464,464,98380,0.0
465,465,98381,0.0
466,466,98382,0.0
467,467,98383,0.0
468,468,98384,0.0
469,469,98385,0.0
470,470,98386,0.0
471,471,98387,0.0
472,472,98388,0.0
473,473,98389,0.0
474,474,98390,0.0
475,475,98391,0.0
476,476,98392,0.0
477,477,98393,4.76837158203125e-07
478,478,98394,0.0
479,479,98395,0.0
480,480,98396,0.0
481,481,98397,0.0
482,482,98398,9.5367431640625e-07
483,483,98399,0.0
484,484,98400,0.0
485,485,98401,0.0
486,486,98402,0.0
487,487,98403,0.0
488,488,98404,0.0
489,489,98405,4.76837158203125e-07
490,490,98406,0.0
491,491,98407,0.0
492,492,98408,0.0
493,493,98409,4.76837158203125e-07
494,494,98410,0.0
495,495,98411,4.76837158203125e-07
496,496,98412,0.0
497,497,98413,0.0
498,498,98414,0.0
499,499,98415,4.76837158203125e-07
500,500,98416,0.0
501,501,98417,0.0
502,502,98418,0.0
503,503,98419,0.0
504,504,98420,0.0
505,505,98421,0.0
506,506,98422,0.0
507,507,98423,4.76837158203125e-07
508,508,98424,0.0
509,509,98425,0.0
510,510,98426,0.0
511,511,98427,9.5367431640625e-07
512,512,98428,0.0
513,513,98429,0.0
514,514,98430,0.0
515,515,98431,0.0
516,516,98432,0.0
517,517,98433,0.0
518,518,98434,0.0
519,519,98435,4.76837158203125e-07
520,520,98436,4.76837158203125e-07
521,521,98437,0.0
522,522,98438,0.0
523,523,98439,0.0
524,524,98440,0.0
525,525,98441,0.0
526,526,98442,0.0
527,527,98443,0.0
528,528,98444,0.0
529,529,98445,0.0
530,530,98446,0.0
531,531,98447,0.0
532,532,98448,0.0
533,533,98449,0.0
534,534,98450,0.0
535,535,98451,0.0
536,536,98452,0.0
537,537,98453,0.0
538,538,98454,0.0
539,539,98455,4.76837158203125e-07
540,540,98456,0.0
541,541,98457,9.5367431640625e-07
542,542,98458,4.76837158203125e-07
543,543,98459,4.76837158203125e-07
544,544,98460,9.5367431640625e-07
545,545,98461,0.0
546,546,98462,0.0
547,547,98463,9.5367431640625e-07
548,548,98464,4.76837158203125e-07
549,549,98465,0.0
550,550,98466,0.0
551,551,98467,0.0
552,552,98468,0.0
553,553,98469,0.0
554,554,98470,0.0
555,555,98471,0.0
556,556,98472,0.0
557,557,98473,0.0
558,558,98474,0.0
559,559,98475,0.0
560,560,98476,0.0
561,561,98477,0.0
562,562,98478,4.76837158203125e-07
563,563,98479,4.76837158203125e-07
564,564,98480,0.0
565,565,98481,4.76837158203125e-07
566,566,98482,4.76837158203125e-07
567,567,98483,0.0
568,568,98484,0.0
569,569,98485,0.0
570,570,98486,0.0
571,571,98487,0.0
572,572,98488,4.76837158203125e-07
573,573,98489,4.76837158203125e-07
574,574,98490,0.0
575,575,98491,4.76837158203125e-07
576,576,98492,4.76837158203125e-07
577,577,98493,0.0
578,578,98494,4.76837158203125e-07
579,579,98495,0.0
580,580,98496,4.76837158203125e-07
581,581,98497,0.0
582,582,98498,0.0
583,583,98499,0.0
584,584,98500,0.0
585,585,98501,4.76837158203125e-07
586,586,98502,0.0
587,587,98503,4.76837158203125e-07
588,588,98504,0.0
589,589,98505,0.0
590,590,98506,0.0
591,591,98507,0.0
592,592,98508,0.0
593,593,98509,9.5367431640625e-07
594,594,98510,0.0
595,595,98511,0.0
596,596,98512,0.0
597,597,98513,0.0
598,598,98514,0.0
599,599,98515,0.0
600,600,98516,0.0
601,601,98517,4.76837158203125e-07
602,602,98518,4.76837158203125e-07
603,603,98519,0.0
604,604,98520,0.0
605,605,98521,0.0
606,606,98522,0.0
607,607,98523,4.76837158203125e-07
608,608,98524,4.76837158203125e-07
609,609,98525,0.0
610,610,98526,0.0
611,611,98527,0.0
612,612,98528,0.0
613,613,98529,4.76837158203125e-07
614,614,98530,0.0
615,615,98531,0.0
616,616,98532,9.5367431640625e-07
617,617,98533,0.0
618,618,98534,4.76837158203125e-07
619,619,98535,0.0
620,620,98536,0.0
621,621,98537,0.0
622,622,98538,0.0
623,623,98539,0.0
624,624,98540,0.0
625,625,98541,4.76837158203125e-07
626,626,98542,4.76837158203125e-07
627,627,98543,0.0
628,628,98544,0.0
629,629,98545,0.0
630,630,98546,0.0
631,631,98547,9.5367431640625e-07
632,632,98548,0.0
633,633,98549,0.0
634,634,98550,4.76837158203125e-07
635,635,98551,0.0
636,636,98552,0.0
