,idx,idm,errors
0,0,118703,4.76837158203125e-07
1,1,118704,0.0
2,2,118705,4.76837158203125e-07
3,3,118706,2.384185791015625e-07
4,4,118707,0.0
5,5,118708,2.384185791015625e-07
6,6,118709,2.384185791015625e-07
7,7,118710,4.76837158203125e-07
8,8,118711,0.0
9,9,118712,0.0
10,10,118713,0.0
11,11,118714,4.76837158203125e-07
12,12,118715,0.0
13,13,118716,4.76837158203125e-07
14,14,118717,0.0
15,15,118718,2.384185791015625e-07
16,16,118719,2.384185791015625e-07
17,17,118720,1.1920928955078125e-07
18,18,118721,3.5762786865234375e-07
19,19,118722,0.0
20,20,118723,1.1920928955078125e-07
21,21,118724,4.76837158203125e-07
22,22,118725,4.76837158203125e-07
23,23,118726,2.384185791015625e-07
24,24,118727,4.76837158203125e-07
25,25,118728,0.0
26,26,118729,0.0
27,27,118730,4.76837158203125e-07
28,28,118731,4.76837158203125e-07
29,29,118732,2.384185791015625e-07
30,30,118733,3.8743019104003906e-07
31,31,118734,2.384185791015625e-07
32,32,118735,4.172325134277344e-07
33,33,118736,4.76837158203125e-07
34,34,118737,4.76837158203125e-07
35,35,118738,4.76837158203125e-07
36,36,118739,4.76837158203125e-07
37,37,118740,4.76837158203125e-07
38,38,118741,0.0
39,39,118742,0.0
40,40,118743,4.76837158203125e-07
41,41,118744,4.76837158203125e-07
42,42,118745,4.76837158203125e-07
43,43,118746,0.0
44,44,118747,4.76837158203125e-07
45,45,118748,0.0
46,46,118749,4.76837158203125e-07
47,47,118750,1.1920928955078125e-07
48,48,118751,2.384185791015625e-07
49,49,118752,2.384185791015625e-07
50,50,118753,3.5762786865234375e-07
51,51,118754,2.5331974029541016e-07
52,52,118755,4.76837158203125e-07
53,53,118756,0.0
54,54,118757,0.0
55,55,118758,0.0
56,56,118759,4.76837158203125e-07
57,57,118760,0.0
58,58,118761,4.76837158203125e-07
59,59,118762,4.76837158203125e-07
60,60,118763,4.76837158203125e-07
61,61,118764,0.0
62,62,118765,4.76837158203125e-07
63,63,118766,2.384185791015625e-07
64,64,118767,2.384185791015625e-07
65,65,118768,0.0
66,66,118769,2.384185791015625e-07
67,67,118770,0.0
68,68,118771,2.384185791015625e-07
69,69,118772,4.76837158203125e-07
70,70,118773,5.960464477539063e-08
71,71,118774,2.384185791015625e-07
72,72,118775,2.384185791015625e-07
73,73,118776,1.1920928955078125e-07
74,74,118777,2.384185791015625e-07
75,75,118778,3.129243850708008e-07
76,76,118779,1.1920928955078125e-07
77,77,118780,2.384185791015625e-07
78,78,118781,1.043081283569336e-07
