,idx,idm,errors
0,0,68305,0.0
1,1,68306,0.0
2,2,68307,0.0
3,3,68308,0.0
4,4,68309,0.0
5,5,68310,0.0
6,6,68311,0.0
7,7,68312,0.0
8,8,68313,0.0
9,9,68314,0.0
10,10,68315,0.0
11,11,68316,0.0
12,12,68317,0.0
13,13,68318,0.0
14,14,68319,0.0
15,15,68320,0.0
16,16,68321,0.0
17,17,68322,0.0
18,18,68323,0.0
19,19,68324,0.0
20,20,68325,0.0
21,21,68326,0.0
22,22,68327,0.0
23,23,68328,0.0
24,24,68329,4.76837158203125e-07
25,25,68330,0.0
26,26,68331,0.0
27,27,68332,0.0
28,28,68333,4.76837158203125e-07
29,29,68334,0.0
30,30,68335,4.76837158203125e-07
31,31,68336,0.0
32,32,68337,4.76837158203125e-07
33,33,68338,4.76837158203125e-07
34,34,68339,4.76837158203125e-07
35,35,68340,4.76837158203125e-07
36,36,68341,0.0
37,37,68342,0.0
38,38,68343,9.5367431640625e-07
39,39,68344,0.0
40,40,68345,0.0
41,41,68346,0.0
42,42,68347,0.0
43,43,68348,0.0
44,44,68349,0.0
45,45,68350,4.76837158203125e-07
46,46,68351,0.0
47,47,68352,0.0
48,48,68353,0.0
49,49,68354,4.76837158203125e-07
50,50,68355,4.76837158203125e-07
51,51,68356,4.76837158203125e-07
52,52,68357,4.76837158203125e-07
53,53,68358,0.0
54,54,68359,4.76837158203125e-07
55,55,68360,2.384185791015625e-07
56,56,68361,3.5762786865234375e-07
57,57,68362,0.0
58,58,68363,9.5367431640625e-07
59,59,68364,0.0
60,60,68365,0.0
61,61,68366,0.0
62,62,68367,9.5367431640625e-07
63,63,68368,0.0
64,64,68369,0.0
65,65,68370,4.76837158203125e-07
66,66,68371,9.5367431640625e-07
67,67,68372,4.76837158203125e-07
68,68,68373,0.0
69,69,68374,0.0
70,70,68375,4.76837158203125e-07
71,71,68376,0.0
72,72,68377,4.76837158203125e-07
73,73,68378,4.76837158203125e-07
74,74,68379,4.76837158203125e-07
75,75,68380,2.384185791015625e-07
76,76,68381,4.76837158203125e-07
77,77,68382,2.384185791015625e-07
78,78,68383,0.0
79,79,68384,0.0
80,80,68385,0.0
81,81,68386,0.0
82,82,68387,0.0
83,83,68388,0.0
84,84,68389,0.0
85,85,68390,0.0
86,86,68391,0.0
87,87,68392,4.76837158203125e-07
88,88,68393,0.0
89,89,68394,0.0
90,90,68395,0.0
91,91,68396,0.0
92,92,68397,4.76837158203125e-07
93,93,68398,0.0
94,94,68399,0.0
95,95,68400,2.384185791015625e-07
96,96,68401,2.384185791015625e-07
97,97,68402,0.0
98,98,68403,4.76837158203125e-07
