,idx,idm,errors
0,0,79559,0.0
1,1,79560,0.0
2,2,79561,0.0
3,3,79562,0.0
4,4,79563,0.0
5,5,79564,0.0
6,6,79565,0.0
7,7,79566,0.0
8,8,79567,9.5367431640625e-07
9,9,79568,0.0
10,10,79569,0.0
11,11,79570,0.0
12,12,79571,0.0
13,13,79572,0.0
14,14,79573,0.0
15,15,79574,0.0
16,16,79575,0.0
17,17,79576,4.76837158203125e-07
18,18,79577,0.0
19,19,79578,0.0
20,20,79579,0.0
21,21,79580,0.0
22,22,79581,4.76837158203125e-07
23,23,79582,0.0
24,24,79583,0.0
25,25,79584,0.0
26,26,79585,0.0
27,27,79586,0.0
28,28,79587,0.0
29,29,79588,0.0
30,30,79589,0.0
31,31,79590,0.0
32,32,79591,0.0
33,33,79592,0.0
34,34,79593,0.0
35,35,79594,0.0
36,36,79595,0.0
37,37,79596,0.0
38,38,79597,0.0
39,39,79598,0.0
40,40,79599,0.0
41,41,79600,0.0
42,42,79601,0.0
43,43,79602,0.0
44,44,79603,0.0
45,45,79604,0.0
46,46,79605,0.0
47,47,79606,0.0
48,48,79607,0.0
49,49,79608,0.0
50,50,79609,0.0
51,51,79610,4.76837158203125e-07
52,52,79611,4.76837158203125e-07
53,53,79612,2.384185791015625e-07
54,54,79613,4.76837158203125e-07
55,55,79614,0.0
56,56,79615,4.76837158203125e-07
57,57,79616,0.0
58,58,79617,0.0
59,59,79618,0.0
60,60,79619,0.0
61,61,79620,0.0
62,62,79621,0.0
63,63,79622,0.0
64,64,79623,0.0
65,65,79624,0.0
66,66,79625,0.0
67,67,79626,0.0
68,68,79627,0.0
69,69,79628,0.0
70,70,79629,0.0
71,71,79630,4.76837158203125e-07
72,72,79631,4.76837158203125e-07
73,73,79632,0.0
74,74,79633,2.384185791015625e-07
75,75,79634,4.76837158203125e-07
76,76,79635,0.0
77,77,79636,9.5367431640625e-07
78,78,79637,0.0
79,79,79638,4.76837158203125e-07
80,80,79639,0.0
81,81,79640,0.0
82,82,79641,0.0
83,83,79642,0.0
84,84,79643,0.0
85,85,79644,0.0
86,86,79645,0.0
87,87,79646,0.0
88,88,79647,0.0
89,89,79648,0.0
90,90,79649,0.0
91,91,79650,4.76837158203125e-07
92,92,79651,2.384185791015625e-07
93,93,79652,2.384185791015625e-07
94,94,79653,0.0
95,95,79654,4.76837158203125e-07
96,96,79655,0.0
97,97,79656,0.0
98,98,79657,0.0
99,99,79658,0.0
100,100,79659,0.0
101,101,79660,0.0
102,102,79661,0.0
103,103,79662,0.0
104,104,79663,0.0
105,105,79664,0.0
106,106,79665,0.0
107,107,79666,0.0
108,108,79667,0.0
109,109,79668,3.5762786865234375e-07
110,110,79669,4.76837158203125e-07
111,111,79670,2.384185791015625e-07
112,112,79671,0.0
113,113,79672,0.0
114,114,79673,0.0
115,115,79674,9.5367431640625e-07
116,116,79675,0.0
117,117,79676,4.76837158203125e-07
118,118,79677,0.0
119,119,79678,0.0
120,120,79679,0.0
121,121,79680,0.0
122,122,79681,0.0
123,123,79682,0.0
124,124,79683,0.0
125,125,79684,0.0
126,126,79685,0.0
127,127,79686,0.0
128,128,79687,0.0
129,129,79688,4.76837158203125e-07
130,130,79689,1.7881393432617188e-07
131,131,79690,4.172325134277344e-07
132,132,79691,0.0
133,133,79692,4.76837158203125e-07
134,134,79693,4.76837158203125e-07
135,135,79694,4.76837158203125e-07
136,136,79695,2.384185791015625e-07
137,137,79696,0.0
138,138,79697,2.384185791015625e-07
139,139,79698,4.76837158203125e-07
140,140,79699,0.0
141,141,79700,0.0
142,142,79701,0.0
143,143,79702,9.5367431640625e-07
144,144,79703,0.0
145,145,79704,0.0
146,146,79705,0.0
147,147,79706,0.0
148,148,79707,2.980232238769531e-07
149,149,79708,3.3527612686157227e-07
150,150,79709,4.470348358154297e-07
151,151,79710,0.0
