,idx,idm,errors
0,0,87668,0.0
1,1,87669,0.0
2,2,87670,0.0
3,3,87671,4.76837158203125e-07
4,4,87672,0.0
5,5,87673,0.0
6,6,87674,0.0
7,7,87675,0.0
8,8,87676,0.0
9,9,87677,4.76837158203125e-07
10,10,87678,0.0
11,11,87679,0.0
12,12,87680,0.0
13,13,87681,4.76837158203125e-07
14,14,87682,4.76837158203125e-07
15,15,87683,0.0
16,16,87684,0.0
17,17,87685,0.0
18,18,87686,2.384185791015625e-07
19,19,87687,0.0
20,20,87688,0.0
21,21,87689,4.76837158203125e-07
22,22,87690,4.76837158203125e-07
23,23,87691,4.76837158203125e-07
24,24,87692,4.76837158203125e-07
25,25,87693,0.0
26,26,87694,0.0
27,27,87695,0.0
28,28,87696,0.0
29,29,87697,0.0
30,30,87698,2.384185791015625e-07
31,31,87699,0.0
32,32,87700,9.5367431640625e-07
33,33,87701,0.0
34,34,87702,0.0
35,35,87703,0.0
36,36,87704,0.0
37,37,87705,2.384185791015625e-07
38,38,87706,0.0
39,39,87707,0.0
40,40,87708,0.0
41,41,87709,0.0
42,42,87710,9.5367431640625e-07
43,43,87711,0.0
44,44,87712,2.384185791015625e-07
45,45,87713,2.384185791015625e-07
46,46,87714,0.0
47,47,87715,1.1920928955078125e-07
48,48,87716,2.384185791015625e-07
49,49,87717,2.980232238769531e-07
50,50,87718,2.384185791015625e-07
51,51,87719,0.0
52,52,87720,4.76837158203125e-07
53,53,87721,0.0
54,54,87722,0.0
55,55,87723,0.0
56,56,87724,0.0
57,57,87725,4.76837158203125e-07
58,58,87726,0.0
59,59,87727,0.0
60,60,87728,2.384185791015625e-07
61,61,87729,1.1920928955078125e-07
62,62,87730,1.1920928955078125e-07
63,63,87731,2.384185791015625e-07
64,64,87732,4.76837158203125e-07
65,65,87733,4.76837158203125e-07
66,66,87734,0.0
67,67,87735,0.0
68,68,87736,4.76837158203125e-07
69,69,87737,3.012828528881073e-07
70,70,87738,0.0
71,71,87739,0.0
72,72,87740,4.76837158203125e-07
73,73,87741,0.0
74,74,87742,2.384185791015625e-07
75,75,87743,2.384185791015625e-07
76,76,87744,0.0
77,77,87745,0.0
78,78,87746,4.76837158203125e-07
79,79,87747,0.0
80,80,87748,4.76837158203125e-07
81,81,87749,2.384185791015625e-07
82,82,87750,4.76837158203125e-07
83,83,87751,0.0
84,84,87752,0.0
85,85,87753,0.0
86,86,87754,4.76837158203125e-07
87,87,87755,9.5367431640625e-07
88,88,87756,2.5331974029541016e-07
89,89,87757,1.1920928955078125e-07
90,90,87758,0.0
91,91,87759,0.0
92,92,87760,0.0
93,93,87761,0.0
94,94,87762,0.0
95,95,87763,1.7881393432617188e-07
96,96,87764,3.5762786865234375e-07
97,97,87765,4.76837158203125e-07
98,98,87766,2.384185791015625e-07
99,99,87767,4.76837158203125e-07
100,100,87768,4.76837158203125e-07
101,101,87769,4.76837158203125e-07
102,102,87770,0.0
103,103,87771,0.0
104,104,87772,4.76837158203125e-07
105,105,87773,0.0
106,106,87774,0.0
107,107,87775,9.5367431640625e-07
108,108,87776,4.76837158203125e-07
109,109,87777,2.384185791015625e-07
110,110,87778,4.76837158203125e-07
111,111,87779,4.76837158203125e-07
112,112,87780,0.0
113,113,87781,4.76837158203125e-07
114,114,87782,2.384185791015625e-07
115,115,87783,0.0
116,116,87784,4.76837158203125e-07
117,117,87785,4.76837158203125e-07
118,118,87786,0.0
119,119,87787,0.0
120,120,87788,0.0
121,121,87789,4.76837158203125e-07
122,122,87790,0.0
123,123,87791,4.76837158203125e-07
124,124,87792,0.0
125,125,87793,2.384185791015625e-07
126,126,87794,4.76837158203125e-07
127,127,87795,4.76837158203125e-07
128,128,87796,4.76837158203125e-07
129,129,87797,0.0
130,130,87798,4.76837158203125e-07
131,131,87799,4.76837158203125e-07
132,132,87800,0.0
133,133,87801,4.76837158203125e-07
134,134,87802,4.76837158203125e-07
135,135,87803,0.0
136,136,87804,0.0
137,137,87805,2.384185791015625e-07
138,138,87806,0.0
139,139,87807,5.960464477539063e-08
140,140,87808,0.0
141,141,87809,4.76837158203125e-07
142,142,87810,4.76837158203125e-07
143,143,87811,0.0
144,144,87812,4.76837158203125e-07
145,145,87813,0.0
146,146,87814,0.0
147,147,87815,0.0
148,148,87816,1.341104507446289e-07
149,149,87817,3.5762786865234375e-07
150,150,87818,2.384185791015625e-07
151,151,87819,0.0
152,152,87820,0.0
153,153,87821,4.76837158203125e-07
154,154,87822,0.0
155,155,87823,0.0
156,156,87824,1.1920928955078125e-07
157,157,87825,4.76837158203125e-07
158,158,87826,4.76837158203125e-07
159,159,87827,4.76837158203125e-07
160,160,87828,0.0
161,161,87829,4.76837158203125e-07
162,162,87830,0.0
163,163,87831,0.0
164,164,87832,0.0
165,165,87833,0.0
166,166,87834,1.7881393432617188e-07
167,167,87835,1.1920928955078125e-07
168,168,87836,0.0
169,169,87837,4.76837158203125e-07
170,170,87838,0.0
171,171,87839,0.0
172,172,87840,0.0
173,173,87841,0.0
174,174,87842,2.384185791015625e-07
175,175,87843,1.7881393432617188e-07
176,176,87844,1.1920928955078125e-07
177,177,87845,2.384185791015625e-07
178,178,87846,4.76837158203125e-07
179,179,87847,0.0
180,180,87848,0.0
181,181,87849,0.0
182,182,87850,0.0
183,183,87851,0.0
184,184,87852,0.0
185,185,87853,2.384185791015625e-07
186,186,87854,2.682209014892578e-07
187,187,87855,0.0
188,188,87856,0.0
189,189,87857,0.0
190,190,87858,0.0
191,191,87859,3.5762786865234375e-07
192,192,87860,3.5762786865234375e-07
193,193,87861,2.086162567138672e-07
194,194,87862,4.76837158203125e-07
195,195,87863,0.0
196,196,87864,0.0
197,197,87865,0.0
198,198,87866,0.0
199,199,87867,0.0
200,200,87868,2.384185791015625e-07
201,201,87869,2.980232238769531e-07
202,202,87870,5.960464477539063e-08
203,203,87871,4.76837158203125e-07
204,204,87872,9.5367431640625e-07
205,205,87873,0.0
206,206,87874,0.0
207,207,87875,4.76837158203125e-07
208,208,87876,4.76837158203125e-07
209,209,87877,2.384185791015625e-07
210,210,87878,2.384185791015625e-07
211,211,87879,0.0
212,212,87880,0.0
213,213,87881,0.0
214,214,87882,4.76837158203125e-07
215,215,87883,0.0
216,216,87884,0.0
217,217,87885,4.76837158203125e-07
218,218,87886,4.76837158203125e-07
219,219,87887,0.0
220,220,87888,2.384185791015625e-07
221,221,87889,4.76837158203125e-07
222,222,87890,0.0
223,223,87891,0.0
224,224,87892,4.76837158203125e-07
225,225,87893,0.0
226,226,87894,0.0
227,227,87895,4.76837158203125e-07
228,228,87896,0.0
229,229,87897,0.0
230,230,87898,0.0
231,231,87899,0.0
232,232,87900,0.0
233,233,87901,0.0
234,234,87902,0.0
235,235,87903,4.76837158203125e-07
236,236,87904,0.0
237,237,87905,4.76837158203125e-07
238,238,87906,0.0
239,239,87907,0.0
240,240,87908,0.0
241,241,87909,2.384185791015625e-07
242,242,87910,2.384185791015625e-07
243,243,87911,4.76837158203125e-07
244,244,87912,4.76837158203125e-07
245,245,87913,0.0
246,246,87914,0.0
247,247,87915,4.76837158203125e-07
248,248,87916,0.0
249,249,87917,4.76837158203125e-07
250,250,87918,2.384185791015625e-07
