,idx,idm,errors
0,0,70553,0.0
1,1,70554,0.0
2,2,70555,0.0
3,3,70556,0.0
4,4,70557,0.0
5,5,70558,0.0
6,6,70559,0.0
7,7,70560,0.0
8,8,70561,0.0
9,9,70562,0.0
10,10,70563,0.0
11,11,70564,0.0
12,12,70565,0.0
13,13,70566,0.0
14,14,70567,0.0
15,15,70568,0.0
16,16,70569,0.0
17,17,70570,0.0
18,18,70571,0.0
19,19,70572,0.0
20,20,70573,0.0
21,21,70574,0.0
22,22,70575,0.0
23,23,70576,0.0
24,24,70577,0.0
25,25,70578,0.0
26,26,70579,0.0
27,27,70580,0.0
28,28,70581,0.0
29,29,70582,0.0
30,30,70583,0.0
31,31,70584,0.0
32,32,70585,0.0
33,33,70586,0.0
34,34,70587,0.0
35,35,70588,0.0
36,36,70589,0.0
37,37,70590,0.0
38,38,70591,0.0
39,39,70592,0.0
40,40,70593,0.0
41,41,70594,0.0
42,42,70595,0.0
43,43,70596,0.0
44,44,70597,0.0
45,45,70598,0.0
46,46,70599,0.0
47,47,70600,0.0
48,48,70601,0.0
49,49,70602,0.0
50,50,70603,0.0
51,51,70604,0.0
52,52,70605,0.0
53,53,70606,0.0
54,54,70607,0.0
55,55,70608,0.0
56,56,70609,0.0
57,57,70610,0.0
58,58,70611,0.0
59,59,70612,0.0
60,60,70613,0.0
61,61,70614,0.0
62,62,70615,0.0
63,63,70616,0.0
64,64,70617,0.0
65,65,70618,0.0
66,66,70619,0.0
67,67,70620,0.0
68,68,70621,0.0
69,69,70622,0.0
70,70,70623,0.0
71,71,70624,0.0
72,72,70625,0.0
73,73,70626,0.0
74,74,70627,0.0
75,75,70628,0.0
76,76,70629,0.0
77,77,70630,0.0
78,78,70631,0.0
79,79,70632,0.0
80,80,70633,0.0
81,81,70634,0.0
82,82,70635,0.0
83,83,70636,0.0
84,84,70637,0.0
85,85,70638,0.0
86,86,70639,0.0
87,87,70640,0.0
88,88,70641,0.0
89,89,70642,0.0
90,90,70643,0.0
91,91,70644,0.0
92,92,70645,0.0
93,93,70646,0.0
94,94,70647,0.0
95,95,70648,0.0
96,96,70649,0.0
97,97,70650,0.0
98,98,70651,0.0
99,99,70652,0.0
100,100,70653,0.0
101,101,70654,0.0
102,102,70655,0.0
103,103,70656,0.0
