,idx,idm,errors
0,0,91418,4.3213367462158203e-07
1,1,91419,8.940696716308594e-08
2,2,91420,3.5762786865234375e-07
3,3,91421,2.384185791015625e-07
4,4,91422,0.0
5,5,91423,0.0
6,6,91424,0.0
7,7,91425,3.5762786865234375e-07
8,8,91426,2.384185791015625e-07
9,9,91427,4.76837158203125e-07
10,10,91428,1.1920928955078125e-07
11,11,91429,1.1920928955078125e-07
12,12,91430,3.501772880554199e-07
13,13,91431,1.1920928955078125e-07
14,14,91432,0.0
15,15,91433,4.76837158203125e-07
16,16,91434,3.5762786865234375e-07
17,17,91435,5.960464477539063e-08
18,18,91436,4.172325134277344e-07
19,19,91437,2.384185791015625e-07
20,20,91438,1.1920928955078125e-07
21,21,91439,2.384185791015625e-07
22,22,91440,2.384185791015625e-07
23,23,91441,4.76837158203125e-07
24,24,91442,2.384185791015625e-07
25,25,91443,4.76837158203125e-07
26,26,91444,3.855675458908081e-07
27,27,91445,4.172325134277344e-07
28,28,91446,1.1920928955078125e-07
29,29,91447,2.384185791015625e-07
30,30,91448,0.0
31,31,91449,0.0
32,32,91450,4.76837158203125e-07
33,33,91451,2.384185791015625e-07
34,34,91452,0.0
35,35,91453,4.76837158203125e-07
36,36,91454,0.0
37,37,91455,2.384185791015625e-07
38,38,91456,0.0
39,39,91457,4.76837158203125e-07
40,40,91458,0.0
41,41,91459,0.0
42,42,91460,0.0
43,43,91461,0.0
44,44,91462,1.7881393432617188e-07
45,45,91463,0.0
46,46,91464,0.0
47,47,91465,0.0
48,48,91466,0.0
49,49,91467,3.5762786865234375e-07
50,50,91468,3.5762786865234375e-07
51,51,91469,2.384185791015625e-07
52,52,91470,4.76837158203125e-07
53,53,91471,0.0
54,54,91472,0.0
55,55,91473,0.0
56,56,91474,4.76837158203125e-07
57,57,91475,0.0
58,58,91476,2.384185791015625e-07
59,59,91477,4.76837158203125e-07
60,60,91478,2.384185791015625e-07
61,61,91479,2.384185791015625e-07
62,62,91480,0.0
63,63,91481,2.384185791015625e-07
64,64,91482,1.1920928955078125e-07
65,65,91483,0.0
66,66,91484,0.0
67,67,91485,0.0
68,68,91486,0.0
69,69,91487,1.1920928955078125e-07
70,70,91488,4.470348358154297e-07
71,71,91489,3.129243850708008e-07
72,72,91490,4.76837158203125e-07
73,73,91491,2.384185791015625e-07
74,74,91492,4.76837158203125e-07
75,75,91493,0.0
76,76,91494,4.76837158203125e-07
77,77,91495,1.7881393432617188e-07
78,78,91496,2.682209014892578e-07
79,79,91497,1.1920928955078125e-07
80,80,91498,2.384185791015625e-07
81,81,91499,1.1920928955078125e-07
82,82,91500,2.384185791015625e-07
83,83,91501,4.76837158203125e-07
84,84,91502,0.0
85,85,91503,4.76837158203125e-07
86,86,91504,0.0
87,87,91505,4.76837158203125e-07
88,88,91506,0.0
89,89,91507,0.0
90,90,91508,0.0
91,91,91509,2.384185791015625e-07
92,92,91510,0.0
93,93,91511,0.0
94,94,91512,0.0
95,95,91513,4.76837158203125e-07
96,96,91514,4.172325134277344e-07
97,97,91515,0.0
98,98,91516,2.384185791015625e-07
99,99,91517,0.0
100,100,91518,0.0
101,101,91519,4.76837158203125e-07
102,102,91520,0.0
103,103,91521,0.0
104,104,91522,0.0
105,105,91523,2.384185791015625e-07
106,106,91524,4.470348358154297e-07
107,107,91525,0.0
108,108,91526,2.384185791015625e-07
109,109,91527,2.086162567138672e-07
110,110,91528,4.76837158203125e-07
111,111,91529,4.76837158203125e-07
112,112,91530,2.384185791015625e-07
113,113,91531,4.76837158203125e-07
114,114,91532,0.0
115,115,91533,4.76837158203125e-07
116,116,91534,2.384185791015625e-07
117,117,91535,9.5367431640625e-07
