,idx,idm,errors
0,0,96733,0.0
1,1,96889,0.0
2,2,96804,0.0
3,3,96902,4.76837158203125e-07
4,4,96740,4.76837158203125e-07
5,5,96807,0.0
6,6,96882,4.76837158203125e-07
7,7,97009,4.76837158203125e-07
8,8,97017,0.0
9,9,97029,0.0
10,10,96913,2.384185791015625e-07
11,11,96976,0.0
12,12,97133,4.76837158203125e-07
13,13,96987,0.0
14,14,97141,4.76837158203125e-07
15,15,97173,4.76837158203125e-07
16,16,97184,2.384185791015625e-07
17,17,97192,2.384185791015625e-07
18,18,97237,0.0
19,19,97238,4.76837158203125e-07
20,20,97242,4.76837158203125e-07
21,21,97243,4.76837158203125e-07
22,22,97261,0.0
23,23,97197,3.5762786865234375e-07
24,24,97268,0.0
25,25,97318,2.384185791015625e-07
26,26,97319,2.384185791015625e-07
27,27,97322,4.76837158203125e-07
28,28,97323,3.5762786865234375e-07
29,29,97383,2.384185791015625e-07
30,30,97387,4.76837158203125e-07
31,31,97400,1.1920928955078125e-07
32,32,97399,1.043081283569336e-07
33,33,97401,2.384185791015625e-07
34,34,97442,2.384185791015625e-07
35,35,97379,2.384185791015625e-07
36,36,97445,4.76837158203125e-07
37,37,97447,2.384185791015625e-07
38,38,97449,1.1920928955078125e-07
39,39,97455,1.4901161193847656e-07
40,40,97456,2.980232238769531e-07
41,41,97504,4.76837158203125e-07
42,42,97505,2.384185791015625e-07
43,43,97507,2.384185791015625e-07
44,44,97508,1.1920928955078125e-07
45,45,97509,2.682209014892578e-07
46,46,97510,2.682209014892578e-07
47,47,97513,4.76837158203125e-07
48,48,97559,1.4901161193847656e-07
49,49,97561,4.76837158203125e-07
