,idx,idm,errors
0,0,95923,4.76837158203125e-07
1,1,95924,4.76837158203125e-07
2,2,95858,4.76837158203125e-07
3,3,95885,0.0
4,4,95929,4.76837158203125e-07
5,5,95935,2.384185791015625e-07
6,6,95889,4.76837158203125e-07
7,7,95963,2.384185791015625e-07
8,8,95878,0.0
9,9,95964,4.76837158203125e-07
10,10,95942,2.384185791015625e-07
11,11,95996,3.5762786865234375e-07
12,12,96002,0.0
13,13,96004,0.0
14,14,96007,2.384185791015625e-07
15,15,96009,2.384185791015625e-07
16,16,95941,2.384185791015625e-07
17,17,96010,2.086162567138672e-07
18,18,96035,1.1920928955078125e-07
19,19,96047,1.1920928955078125e-07
20,20,96048,1.9185245037078857e-07
21,21,96049,2.980232238769531e-07
22,22,96083,3.2782554626464844e-07
23,23,96087,0.0
24,24,96088,1.1920928955078125e-07
25,25,96058,2.384185791015625e-07
26,26,96116,2.8312206268310547e-07
27,27,96120,2.384185791015625e-07
28,28,96121,2.384185791015625e-07
29,29,96122,4.76837158203125e-07
30,30,96129,4.76837158203125e-07
31,31,96158,2.384185791015625e-07
32,32,96163,4.76837158203125e-07
33,33,96167,2.384185791015625e-07
34,34,96169,0.0
35,35,96204,2.384185791015625e-07
36,36,96205,4.76837158203125e-07
37,37,96211,0.0
38,38,96252,0.0
39,39,95830,0.0
40,40,95855,0.0
41,41,95980,0.0
