,idx,idm,errors
0,0,70045,0.0
1,1,70039,0.0
2,2,70046,4.76837158203125e-07
3,3,70040,4.76837158203125e-07
4,4,70096,0.0
5,5,70094,0.0
6,6,70099,4.76837158203125e-07
7,7,70101,4.76837158203125e-07
8,8,70102,0.0
9,9,70139,4.76837158203125e-07
10,10,70092,0.0
11,11,70140,0.0
12,12,70142,0.0
13,13,70145,0.0
14,14,70183,0.0
15,15,70184,0.0
16,16,70186,4.76837158203125e-07
17,17,70189,4.76837158203125e-07
18,18,70190,2.384185791015625e-07
19,19,70194,2.384185791015625e-07
20,20,70204,2.384185791015625e-07
21,21,70222,4.76837158203125e-07
22,22,70181,0.0
23,23,70226,0.0
24,24,70235,4.76837158203125e-07
25,25,70223,4.76837158203125e-07
26,26,70255,4.76837158203125e-07
27,27,70256,0.0
28,28,70259,4.76837158203125e-07
29,29,70261,4.76837158203125e-07
30,30,70264,4.76837158203125e-07
31,31,70273,4.76837158203125e-07
32,32,70281,1.1920928955078125e-07
33,33,70283,2.384185791015625e-07
34,34,70301,0.0
35,35,70306,4.76837158203125e-07
36,36,70310,2.384185791015625e-07
37,37,70317,1.1920928955078125e-07
38,38,70334,0.0
39,39,70336,0.0
40,40,70339,4.76837158203125e-07
41,41,70351,2.980232238769531e-07
42,42,70354,4.76837158203125e-07
43,43,70322,4.954636096954346e-07
44,44,70368,4.76837158203125e-07
45,45,70370,4.76837158203125e-07
46,46,70373,4.76837158203125e-07
47,47,70378,2.384185791015625e-07
48,48,70381,1.1920928955078125e-07
49,49,70387,4.023313522338867e-07
50,50,70389,2.384185791015625e-07
51,51,70407,3.5762786865234375e-07
52,52,70410,2.980232238769531e-07
53,53,70413,3.2782554626464844e-07
54,54,70418,3.5762786865234375e-07
55,55,70433,4.76837158203125e-07
56,56,70438,0.0
57,57,70442,2.384185791015625e-07
58,58,70444,5.960464477539063e-08
59,59,70446,2.2351741790771484e-07
60,60,70462,3.5762786865234375e-07
61,61,70466,4.172325134277344e-07
62,62,70476,1.1920928955078125e-07
63,63,70491,4.76837158203125e-07
64,64,70494,4.172325134277344e-07
65,65,70152,2.384185791015625e-07
