,idx,idm,errors
0,0,68396,0.0
1,1,68370,4.76837158203125e-07
2,2,68397,4.76837158203125e-07
3,3,68372,4.76837158203125e-07
4,4,68373,0.0
5,5,68392,4.76837158203125e-07
6,6,68420,0.0
7,7,68400,2.384185791015625e-07
8,8,68423,4.76837158203125e-07
9,9,68401,2.384185791015625e-07
10,10,68425,1.1920928955078125e-07
11,11,68427,4.76837158203125e-07
12,12,68446,2.384185791015625e-07
13,13,68449,4.76837158203125e-07
14,14,68451,2.384185791015625e-07
15,15,68454,0.0
16,16,68473,3.5762786865234375e-07
17,17,68476,4.76837158203125e-07
18,18,68477,3.5762786865234375e-07
19,19,68481,5.960464477539063e-08
20,20,68458,3.5762786865234375e-07
21,21,68484,2.384185791015625e-07
22,22,68486,4.76837158203125e-07
23,23,68503,4.3213367462158203e-07
24,24,68506,1.7881393432617188e-07
25,25,68507,4.76837158203125e-07
26,26,68510,2.384185791015625e-07
27,27,68511,0.0
28,28,68513,0.0
29,29,68534,2.384185791015625e-07
30,30,68532,1.1920928955078125e-07
31,31,68538,0.0
32,32,68541,4.76837158203125e-07
33,33,68565,4.76837158203125e-07
34,34,68570,0.0
35,35,68598,4.76837158203125e-07
36,36,68600,0.0
37,37,68602,0.0
38,38,68624,4.76837158203125e-07
39,39,68627,0.0
40,40,68629,4.76837158203125e-07
41,41,68654,4.76837158203125e-07
42,42,68657,0.0
43,43,68689,0.0
