,idx,idm,errors
0,0,113550,0.5078159163089607
1,1,113596,0.8657576989221832
2,2,113686,0.902024061883406
3,3,113596,0.4917120075126799
4,4,113596,1.0268283841488581
5,5,113645,0.9290033340002
6,6,113645,1.074137089360823
7,7,113742,1.3205208459032705
8,8,113742,1.3373896795853917
9,9,113831,1.628951810342141
10,10,113830,1.4809343892709788
11,11,113919,1.2314182482211642
12,12,113878,1.1241790676860863
13,13,113878,0.9409243913392742
14,14,113913,0.8702283570755608
15,15,113913,0.9849800550155544
16,16,113828,0.8962181317085226
17,17,113774,0.7946108711024585
18,18,113774,0.2698393919015846
19,19,113640,0.9352775241040928
20,20,113640,1.0009394832629233
21,21,113632,0.6250797580357379
22,22,113632,0.7386175121854187
23,23,113639,0.5550116247693881
24,24,113550,0.683853370931523
25,25,113453,0.9383726543483669
26,26,113453,1.120351591394778
27,27,113500,0.6151013582514984
28,28,113507,0.41639049416478957
29,29,113597,0.6567573896477923
30,30,113598,0.9828505007609724
31,31,113741,0.8635358528050805
32,32,113783,1.3601533549585494
33,33,113832,1.685335599312458
34,34,113921,1.6496547423481842
35,35,114003,1.2908211546870776
36,36,113999,1.2348538695620639
37,37,113999,0.7849984762054548
38,38,114048,0.8725791655674147
39,39,113957,0.5392436694578381
40,40,113909,1.3874517693175656
41,41,113909,0.6926139559366082
42,42,113817,1.2769962394569612
43,43,113734,1.2826764235240373
44,44,113681,1.4682726245953364
45,45,113631,1.416191750017581
46,46,113542,1.4414245971613187
47,47,113498,0.9434794525167421
48,48,113499,1.041149520643686
49,49,113363,1.3945242917364613
50,50,113326,1.287329761134993
51,51,113364,1.3597504602918367
52,52,113501,1.0075988060438683
53,53,113552,1.5589289417027168
54,54,113594,1.1271658673727754
55,55,113781,0.9358148226037875
56,56,113833,1.1801233920818772
57,57,113922,1.4229543918728056
58,58,114057,1.4304911829424776
59,59,114096,1.1893043099683542
60,60,114181,0.9857050550916556
61,61,114130,0.8353430392435128
62,62,114175,0.5288795685460063
63,63,114125,1.1649587427863022
64,64,114088,1.3876607460367185
65,65,113993,1.4097806801899953
66,66,113870,1.6106867239212324
67,67,113771,2.1790418136529555
68,68,113678,2.4728410955272837
69,69,113586,2.578748138199232
70,70,113496,2.215412076966431
71,71,113448,1.899569886403465
72,72,113408,1.3644053404456395
73,73,113245,1.4178053791392264
74,74,113295,1.0817567726891462
75,75,113365,1.4362258372715566
76,76,113366,2.068898825016045
77,77,113456,2.298467791347891
78,78,113633,2.3260537961659646
79,79,113776,1.9465003916951165
80,80,113914,1.344264143182976
81,81,113964,0.477383876277215
82,82,114137,1.3228528430259263
83,83,114184,0.9087674990284882
84,84,114220,0.6850332507951408
85,85,114263,0.42959636555224723
86,86,114218,1.150932405537924
87,87,114172,0.8071297800205358
88,88,114124,0.8809729662735333
89,89,114040,1.4969713244210163
90,90,113952,1.9042507830109636
91,91,113812,2.6709550121156904
92,92,113770,3.5163612657372503
93,93,113583,3.7901449945858867
94,94,113495,3.5105315506355943
95,95,113405,2.9380888123772553
96,96,113287,1.9228606764039542
97,97,113182,1.0049287407463887
98,98,113183,1.0317636683009226
99,99,113249,1.5314723852027152
100,100,113297,2.383495121863308
101,101,113412,3.0717830880327193
102,102,113590,3.164840292403906
103,103,113738,2.7133696007218338
104,104,113875,2.216500370902897
105,105,114050,1.602519847391925
106,106,114131,0.5885385886732233
107,107,114316,0.853327911522559
108,108,114401,1.163546459626917
109,109,114354,0.9011742097605819
110,110,114397,0.7350112778115562
111,111,114304,0.4559721898264312
112,112,114214,1.2469544664023133
113,113,114084,1.364085094148516
114,114,113950,1.9604664429775904
115,115,113866,2.6609899233983856
116,116,113730,3.8627361971643936
117,117,113626,4.637279964161627
118,118,113440,4.468430770562685
119,119,113283,3.3300871039316533
120,120,113243,1.825490006810546
121,121,113146,0.6663242790829231
122,122,113148,0.6094049343722606
123,123,113215,1.3500356582475903
124,124,113290,2.005783756580456
125,125,113413,2.389291469339105
126,126,113546,2.1806395129875686
127,127,113739,1.6831387885103233
128,128,113915,1.248857984055021
129,129,114093,0.5479135627500116
130,130,114269,0.8731775816941895
131,131,114404,0.9612016718160086
132,132,114449,1.3653204187750587
133,133,114531,1.3434842626507062
134,134,114486,0.6804274612754339
135,135,114443,0.5284712712644769
136,136,114347,0.8808953187011727
137,137,114256,0.9751257516973962
138,138,114036,1.3992908680443839
139,139,113903,2.0797278662714187
140,140,113763,3.4925504938373724
141,141,113580,4.733435405771663
142,142,113437,4.919393127413501
143,143,113238,3.3936703348727675
144,144,113179,1.6013623421143073
145,145,113082,1.9946029355018569
146,146,113057,1.4659918514955768
147,147,113116,0.39049166641902877
148,148,113187,0.8250848551969981
149,149,113330,1.1177861502248858
150,150,113505,0.9538984491336375
151,151,113740,0.9963169689924546
152,152,113916,0.853565133810748
153,153,114138,1.3914813219587578
154,154,114361,0.7966726066453507
155,155,114490,0.9148585226046854
156,156,114535,0.7472439287016575
157,157,114580,0.9152367003526846
158,158,114576,0.29768915726157946
159,159,114527,0.34932130853537463
160,160,114441,1.1285331083946941
161,161,114251,1.0610200048328686
162,162,114079,0.9766515742564711
163,163,113900,1.6413447934239427
164,164,113725,2.7127660553090767
165,165,113531,4.484220225353219
166,166,113399,4.883283725281977
167,167,113205,3.1798941551597943
168,168,113079,1.02636687579887
169,169,112996,3.9198064131708112
170,170,113027,3.384518449656578
171,171,113087,2.1646164723735737
172,172,113154,1.5543404399691394
173,173,113292,1.2778072563805816
174,174,113451,0.9705369330911539
175,175,113685,0.7234209884984721
176,176,113912,1.516379443084639
177,177,114225,2.2445870412759383
178,178,114493,1.832054770569427
179,179,114584,1.0850289385432585
180,180,114683,0.5651603944940798
181,181,114682,0.9910633014026836
182,182,114669,0.3426315182074934
183,183,114622,1.0276047357044527
184,184,114522,1.0290020791072214
185,185,114344,0.20067284145839673
186,186,114162,0.4613636530738499
187,187,113899,1.1045108738464335
188,188,113724,2.0116448633945847
189,189,113577,3.855945785317624
190,190,113354,4.424338712894944
191,191,113137,2.7890172228507315
192,192,113049,1.0253788329554945
193,193,112994,6.0451579496815
194,194,112976,5.423212695743867
195,195,113030,4.454394410560854
196,196,113118,3.3348641551188436
197,197,113294,1.81030233692592
198,198,113541,1.462274638688252
199,199,113737,1.1983665427930397
200,200,113962,1.9497542100023166
201,201,114364,3.140070705486268
202,202,114588,1.9426338080141061
203,203,114630,0.46516415284992585
204,204,114773,0.5932956826261164
205,205,114805,0.3933255221378199
206,206,114800,0.45759148322110765
207,207,114714,1.1578566022240067
208,208,114614,0.6975172274113152
209,209,114385,0.9276912331515276
210,210,114207,0.9389462261270107
211,211,113943,0.795378725728095
212,212,113721,1.2850691468287339
213,213,113525,3.1994842052122476
214,214,113271,4.049497233720329
215,215,113173,2.0311295048495124
216,216,113047,2.290611398905968
217,217,112968,7.89649430908399
218,218,112947,8.020718533445846
219,219,113001,7.148418823270748
220,220,113085,4.399943037634662
221,221,113285,2.2105763475242965
222,222,113497,1.5459762407859978
223,223,113772,1.7111557456492594
224,224,114047,2.525960853624111
225,225,114355,3.751334476344119
226,226,114685,1.9308140542881287
227,227,114675,0.5619064114661195
228,228,114811,0.41203792404791795
229,229,114863,0.6975575003767078
230,230,114889,0.5856805917282568
231,231,114793,0.16702994329714857
232,232,114656,1.1103519003407962
233,233,114433,1.0040988524358554
234,234,114205,0.3075776946170716
235,235,114026,0.4800576895124473
236,236,113717,1.2455554578894419
237,237,113524,2.2454512859017326
238,238,113310,3.427708266716138
239,239,113132,1.0618029921596328
240,240,113045,3.2943458289158443
241,241,112966,9.476750068347124
242,242,112947,10.83166335869038
243,243,112995,8.33344930666594
244,244,113080,4.5520560480610825
245,245,113284,2.2485451445198983
246,246,113539,1.4522186173248002
247,247,113815,1.6361866477693734
248,248,114085,2.8185620608321673
249,249,114487,3.8354179615159394
250,250,114670,1.8536474985136395
251,251,114765,0.6655813160927789
252,252,114858,0.30940438949429466
253,253,114938,0.7402814085107408
254,254,114931,0.5055214848610612
255,255,114844,0.8700025006141124
256,256,114751,0.5877815628518669
257,257,114513,0.5095175126308708
258,258,114290,0.5339536875131493
259,259,113981,1.1110557251897384
260,260,113659,1.0757229945804971
261,261,113472,1.8362654840232608
262,262,113307,2.919067407432528
263,263,113098,0.6602987252808428
264,264,113014,4.174289951614875
265,265,112960,10.253685350763593
266,266,113009,11.235188222828436
267,267,113021,7.8101142485256725
268,268,113140,4.139600970247897
269,269,113318,2.069023481359048
270,270,113537,1.375257127282204
271,271,113867,1.825526347052256
272,272,114121,2.930686745721971
273,273,114482,3.1187614298469257
274,274,114664,1.3524639460893446
275,275,114763,0.9499709762779434
276,276,114896,0.6546300458138442
277,277,114941,0.6177556825281246
278,278,114979,0.40250647039957693
279,279,114920,0.1063358428073389
280,280,114746,0.6702948416363386
281,281,114557,0.8243707888878605
282,282,114334,1.0548922734585287
283,283,114020,0.6119895019898008
284,284,113798,0.3718659957512865
285,285,113469,1.335809585169388
286,286,113305,2.307737530503153
287,287,113128,1.0080860263950633
288,288,113010,4.636249368133137
289,289,113035,7.579776793362917
290,290,113069,8.211600881918969
291,291,113044,6.393659239719413
292,292,113105,3.5347347782637333
293,293,113316,1.638447105194836
294,294,113534,1.5860407023954564
295,295,113865,1.6636129452491524
296,296,114167,2.796070580139298
297,297,114480,2.2364495118465877
298,298,114661,1.0839785534887667
299,299,114796,0.4223940457706457
300,300,114934,0.6879453393467043
301,301,114974,1.1312434576413914
302,302,114968,0.7414907816399268
303,303,114917,1.0736181064044261
304,304,114783,0.8194485717494823
305,305,114602,0.9692943704016632
306,306,114331,0.3849557924658668
307,307,114070,0.3366814776508625
308,308,113753,0.7839738632120519
309,309,113465,1.001491578467103
310,310,113306,2.0001687096552634
311,311,113161,0.8901258599282396
312,312,113037,4.066264427134976
313,313,113092,4.802147818013653
314,314,113069,5.2647107190874385
315,315,113100,4.418775281111713
316,316,113202,2.4184836929344393
