,idx,idm,errors
0,0,110532,0.0
1,1,110487,0.0
2,2,110510,0.0
3,3,110533,0.0
4,4,110490,0.0
5,5,110534,0.0
6,6,110550,0.0
7,7,110553,0.0
8,8,110573,0.0
9,9,110575,0.0
10,10,110574,0.0
11,11,110535,0.0
12,12,110591,0.0
13,13,110593,0.0
14,14,110595,0.0
15,15,110612,0.0
16,16,110613,0.0
17,17,110597,0.0
18,18,110614,0.0
19,19,110630,0.0
20,20,110631,0.0
21,21,110634,0.0
22,22,110648,0.0
23,23,110650,0.0
24,24,110651,0.0
25,25,110667,0.0
26,26,110666,0.0
27,27,110670,0.0
28,28,110671,0.0
29,29,110672,0.0
30,30,110689,0.0
31,31,110690,0.0
32,32,110691,0.0
33,33,110692,0.0
34,34,110710,0.0
35,35,110713,0.0
36,36,110712,0.0
37,37,110714,0.0
38,38,110715,0.0
39,39,110708,0.0
40,40,110731,0.0
41,41,110734,0.0
42,42,110735,0.0
43,43,110736,0.0
44,44,110737,0.0
45,45,110739,0.0
46,46,110740,0.0
47,47,110753,0.0
48,48,110756,0.0
49,49,110757,0.0
50,50,110774,0.0
51,51,110775,0.0
52,52,110776,0.0
53,53,110777,0.0
54,54,110778,0.0
55,55,110779,0.0
56,56,110780,0.0
57,57,110781,0.0
58,58,110799,0.0
59,59,110800,0.0
60,60,110813,0.0
61,61,110815,0.0
62,62,110817,0.0
63,63,110818,0.0
64,64,110819,0.0
65,65,110840,0.0
66,66,110841,0.0
67,67,110855,0.0
68,68,110811,0.0
69,69,110856,0.0
70,70,110858,0.0
71,71,110859,0.0
72,72,110860,0.0
73,73,110861,0.0
74,74,110862,0.0
75,75,110879,0.0
76,76,110882,0.0
77,77,110839,0.0
78,78,110883,0.0
79,79,110884,0.0
80,80,110898,0.0
81,81,110900,0.0
82,82,110902,0.0
83,83,110903,0.0
84,84,110904,0.0
85,85,110905,0.0
86,86,110906,0.0
87,87,110923,0.0
88,88,110924,0.0
89,89,110925,0.0
90,90,110940,0.0
91,91,110939,0.0
92,92,110943,0.0
93,93,110944,0.0
94,94,110945,0.0
95,95,110960,0.0
96,96,110962,0.0
97,97,110961,0.0
98,98,110963,0.0
99,99,110964,0.0
100,100,110965,0.0
101,101,110982,0.0
102,102,110985,0.0
103,103,110987,0.0
104,104,110988,0.0
105,105,110989,0.0
106,106,111005,0.0
107,107,111006,0.0
108,108,111025,0.0
109,109,111027,0.0
110,110,111028,0.0
111,111,111029,0.0
112,112,111030,0.0
113,113,111031,0.0
114,114,111045,0.0
115,115,111049,0.0
116,116,111050,0.0
117,117,111051,0.0
118,118,111052,0.0
119,119,111070,0.0
120,120,111048,0.0
121,121,111071,0.0
122,122,111087,0.0
123,123,111090,0.0
124,124,111091,0.0
125,125,111092,0.0
126,126,111089,0.0
127,127,111093,0.0
128,128,111094,0.0
129,129,111107,0.0
130,130,111110,0.0
131,131,111112,0.0
132,132,111124,0.0
133,133,111127,0.0
134,134,111128,0.0
135,135,111130,0.0
136,136,111131,0.0
137,137,111146,0.0
138,138,111147,0.0
139,139,111149,0.0
140,140,111164,0.0
141,141,111166,0.0
142,142,111167,0.0
143,143,111168,0.0
144,144,111171,0.0
145,145,111173,0.0
146,146,111172,0.0
147,147,111189,0.0
148,148,111208,0.0
149,149,111210,0.0
150,150,111212,0.0
151,151,111214,0.0
152,152,111227,0.0
153,153,111230,0.0
154,154,111232,0.0
155,155,111248,0.0
156,156,111249,0.0
157,157,111251,0.0
158,158,111270,0.0
159,159,111272,0.0
160,160,111274,0.0
161,161,111291,0.0
162,162,111292,0.0
163,163,111295,0.0
164,164,111320,0.0
165,165,111334,0.0
166,166,111317,0.0
