,idx,idm,errors
0,0,107451,2.384185791015625e-07
1,1,107538,4.76837158203125e-07
2,2,107539,2.384185791015625e-07
3,3,107492,2.384185791015625e-07
4,4,107580,4.76837158203125e-07
5,5,107582,4.76837158203125e-07
6,6,107587,1.9371509552001953e-07
7,7,107497,5.960464477539063e-08
8,8,107499,4.76837158203125e-07
9,9,107590,2.384185791015625e-07
10,10,107628,0.0
11,11,107632,1.1920928955078125e-07
12,12,107674,2.384185791015625e-07
13,13,107679,3.725290298461914e-09
14,14,107683,3.5762786865234375e-07
15,15,107717,4.76837158203125e-07
16,16,107718,0.0
17,17,107765,0.0
18,18,107770,4.76837158203125e-07
19,19,107772,2.384185791015625e-07
20,20,107774,3.5762786865234375e-07
21,21,107779,1.1920928955078125e-07
22,22,107862,2.384185791015625e-07
23,23,107864,2.384185791015625e-07
24,24,108012,4.76837158203125e-07
25,25,114995,4.023313522338867e-07
