,idx,idm,errors
0,0,107824,1.1920928955078125e-07
1,1,107828,1.0058283805847168e-07
2,2,107876,3.5762786865234375e-07
3,3,107829,2.384185791015625e-07
4,4,107787,2.384185791015625e-07
5,5,107879,4.76837158203125e-07
6,6,107825,0.0
7,7,107920,2.384185791015625e-07
8,8,107872,2.384185791015625e-07
9,9,107921,3.5762786865234375e-07
10,10,107923,3.5762786865234375e-07
11,11,107972,1.1920928955078125e-07
12,12,107977,2.384185791015625e-07
13,13,107978,2.384185791015625e-07
14,14,107927,4.76837158203125e-07
15,15,108018,4.76837158203125e-07
16,16,108019,0.0
17,17,108021,4.76837158203125e-07
18,18,108022,1.1920928955078125e-07
19,19,108073,2.384185791015625e-07
20,20,108075,0.0
21,21,108115,4.76837158203125e-07
22,22,108116,0.0
23,23,108118,0.0
24,24,108121,2.980232238769531e-07
25,25,108165,2.980232238769531e-07
26,26,108166,4.76837158203125e-07
27,27,108202,3.5762786865234375e-07
28,28,108203,2.980232238769531e-07
29,29,108200,2.384185791015625e-07
30,30,108284,3.5762786865234375e-07
31,31,108288,4.76837158203125e-07
