,idx,idm,errors
0,0,114302,2.384185791015625e-07
1,1,114300,2.384185791015625e-07
2,2,114349,4.76837158203125e-07
3,3,114303,2.384185791015625e-07
4,4,114353,0.0
5,5,114305,2.384185791015625e-07
6,6,114351,2.384185791015625e-07
7,7,114392,4.76837158203125e-07
8,8,114390,4.76837158203125e-07
9,9,114255,4.76837158203125e-07
10,10,114394,4.023313522338867e-07
11,11,114396,0.0
12,12,114309,0.0
13,13,114400,4.76837158203125e-07
14,14,114355,0.0
15,15,114310,4.76837158203125e-07
16,16,114442,2.384185791015625e-07
17,17,114444,1.1920928955078125e-07
18,18,114445,0.0
19,19,114448,4.76837158203125e-07
20,20,114487,2.384185791015625e-07
21,21,114533,0.0
