,idx,idm,errors
0,0,83168,0.0
1,1,83208,0.0
2,2,83209,0.0
3,3,83186,0.0
4,4,83226,0.0
5,5,83225,0.0
6,6,83248,0.0
7,7,83247,0.0
8,8,83249,0.0
9,9,83250,0.0
10,10,83246,0.0
11,11,83273,0.0
12,12,83274,0.0
13,13,83290,0.0
14,14,83288,0.0
15,15,83291,0.0
16,16,83292,0.0
17,17,83312,0.0
18,18,83313,0.0
19,19,83314,0.0
20,20,83331,0.0
21,21,83333,0.0
22,22,83334,0.0
23,23,83335,0.0
24,24,83311,0.0
25,25,83353,0.0
26,26,83354,0.0
27,27,83355,0.0
28,28,83356,0.0
29,29,83371,0.0
30,30,83372,0.0
31,31,83373,0.0
32,32,83374,0.0
33,33,83390,0.0
34,34,83391,0.0
35,35,83392,0.0
36,36,83393,0.0
37,37,83413,0.0
38,38,83414,0.0
39,39,83415,0.0
40,40,83416,0.0
41,41,83434,0.0
42,42,83437,0.0
43,43,83438,0.0
44,44,83412,0.0
45,45,83439,0.0
46,46,83440,0.0
47,47,83441,0.0
48,48,83442,0.0
49,49,83456,0.0
50,50,83457,0.0
51,51,83458,0.0
52,52,83459,0.0
53,53,83476,0.0
54,54,83477,0.0
55,55,83478,0.0
56,56,83479,0.0
57,57,83480,0.0
58,58,83498,0.0
59,59,83499,0.0
60,60,83516,0.0
61,61,83517,0.0
62,62,83518,0.0
63,63,83519,0.0
64,64,83520,0.0
65,65,83497,0.0
66,66,83539,0.0
67,67,83540,0.0
68,68,83538,0.0
69,69,83541,0.0
70,70,83542,0.0
71,71,83559,0.0
72,72,83562,0.0
73,73,83563,0.0
74,74,83564,0.0
75,75,83565,0.0
76,76,83580,0.0
77,77,83561,0.0
78,78,83581,0.0
79,79,83582,0.0
80,80,83598,0.0
81,81,83601,0.0
82,82,83600,0.0
83,83,83602,0.0
84,84,83603,0.0
85,85,83604,0.0
86,86,83621,0.0
87,87,83622,0.0
88,88,83623,0.0
89,89,83624,0.0
90,90,83638,0.0
91,91,83641,0.0
92,92,83642,0.0
93,93,83643,0.0
94,94,83644,0.0
95,95,83645,0.0
96,96,83646,0.0
97,97,83647,0.0
98,98,83662,0.0
99,99,83663,0.0
100,100,83664,0.0
101,101,83682,0.0
102,102,83681,0.0
103,103,83683,0.0
104,104,83684,0.0
105,105,83685,0.0
106,106,83706,0.0
107,107,83704,0.0
108,108,83707,0.0
109,109,83708,0.0
110,110,83709,0.0
111,111,83725,0.0
112,112,83726,0.0
113,113,83727,0.0
114,114,83728,0.0
115,115,83742,0.0
116,116,83744,0.0
117,117,83745,0.0
118,118,83746,0.0
119,119,83747,0.0
120,120,83748,0.0
121,121,83765,0.0
122,122,83766,0.0
123,123,83767,0.0
124,124,83787,0.0
125,125,83788,0.0
126,126,83789,0.0
127,127,83790,0.0
128,128,83791,0.0
129,129,83807,0.0
130,130,83808,0.0
131,131,83806,0.0
132,132,83809,0.0
133,133,83810,0.0
134,134,83811,0.0
135,135,83812,0.0
136,136,83828,0.0
137,137,83829,0.0
138,138,83830,0.0
139,139,83831,0.0
140,140,83848,0.0
141,141,83849,0.0
142,142,83850,0.0
143,143,83851,0.0
144,144,83869,0.0
145,145,83870,0.0
146,146,83871,0.0
147,147,83890,0.0
148,148,83892,0.0
149,149,83893,0.0
150,150,83894,0.0
151,151,83912,0.0
152,152,83913,0.0
153,153,83914,0.0
154,154,83915,0.0
155,155,83916,0.0
156,156,83934,0.0
157,157,83935,0.0
158,158,83950,0.0
159,159,83953,0.0
160,160,83954,0.0
161,161,83951,0.0
162,162,83974,0.0
163,163,83975,0.0
164,164,83976,0.0
165,165,83995,0.0
166,166,83997,0.0
167,167,84016,0.0
168,168,84017,0.0
169,169,84018,0.0
170,170,84056,0.0
171,171,84036,0.0
172,172,84083,0.0
173,173,84082,0.0
