,idx,idm,errors
0,0,80514,0.0
1,1,80417,4.76837158203125e-07
2,2,80420,4.76837158203125e-07
3,3,80509,4.76837158203125e-07
4,4,80568,1.1920928955078125e-07
5,5,80471,0.0
6,6,80615,4.76837158203125e-07
7,7,80612,4.76837158203125e-07
8,8,80617,0.0
9,9,80620,4.76837158203125e-07
10,10,80570,2.682209014892578e-07
11,11,80666,4.76837158203125e-07
12,12,80665,4.76837158203125e-07
13,13,80670,2.384185791015625e-07
14,14,80671,1.6391277313232422e-07
15,15,80708,4.76837158203125e-07
16,16,80709,0.0
17,17,80765,2.384185791015625e-07
18,18,80766,0.0
19,19,80713,3.5762786865234375e-07
20,20,80799,4.76837158203125e-07
21,21,80848,0.0
22,22,80844,0.0
23,23,80851,0.0
24,24,80852,0.0
