,idx,idm,errors
0,0,80254,2.384185791015625e-07
1,1,80206,0.0
2,2,80253,3.5762786865234375e-07
3,3,80210,0.0
4,4,80208,4.76837158203125e-07
5,5,80256,4.76837158203125e-07
6,6,80299,2.384185791015625e-07
7,7,80336,1.1920928955078125e-07
8,8,80337,0.0
9,9,80338,0.0
10,10,80342,4.76837158203125e-07
11,11,80258,4.76837158203125e-07
12,12,80384,2.384185791015625e-07
13,13,80386,0.0
14,14,80433,4.172325134277344e-07
15,15,80434,1.7881393432617188e-07
16,16,80435,0.0
17,17,80437,4.76837158203125e-07
18,18,80482,1.7881393432617188e-07
19,19,80484,2.384185791015625e-07
20,20,80526,2.384185791015625e-07
21,21,80122,4.76837158203125e-07
