,idx,idm,errors
0,0,87153,4.76837158203125e-07
1,1,87152,0.0
2,2,87107,0.0
3,3,87067,4.76837158203125e-07
4,4,87068,0.0
5,5,87070,0.0
6,6,87154,0.0
7,7,87109,0.0
8,8,87155,0.0
9,9,87197,0.0
10,10,87198,0.0
11,11,87240,0.0
12,12,87241,0.0
13,13,87276,3.5762786865234375e-07
14,14,87193,3.427267074584961e-07
15,15,87234,4.76837158203125e-07
16,16,87280,0.0
17,17,87284,0.0
18,18,87285,0.0
19,19,87323,2.384185791015625e-07
20,20,87327,0.0
21,21,87329,4.76837158203125e-07
22,22,87331,4.76837158203125e-07
23,23,87379,4.76837158203125e-07
