,idx,idm,errors
0,0,87335,0.0
1,1,87242,0.0
2,2,87330,0.0
3,3,87334,0.0
4,4,87289,0.0
5,5,87381,0.0
6,6,87328,0.0
7,7,87382,0.0
8,8,87384,0.0
9,9,87333,0.0
10,10,87428,0.0
11,11,87430,4.76837158203125e-07
12,12,87431,4.76837158203125e-07
13,13,87434,0.0
14,14,87436,0.0
15,15,87438,0.0
16,16,87437,4.76837158203125e-07
17,17,87481,0.0
18,18,87483,4.76837158203125e-07
19,19,87484,4.76837158203125e-07
20,20,87487,4.76837158203125e-07
21,21,87488,0.0
22,22,87492,4.76837158203125e-07
23,23,87491,0.0
24,24,87493,0.0
25,25,87435,4.76837158203125e-07
26,26,87546,0.0
27,27,87544,2.086162567138672e-07
28,28,87549,1.1920928955078125e-07
29,29,87550,0.0
30,30,87551,2.384185791015625e-07
31,31,87533,3.725290298461914e-07
32,32,87534,3.5762786865234375e-07
