,idx,idm,errors
0,0,107337,0.5965135669877216
1,1,107337,0.5400970407793738
2,2,107418,1.018870096282963
3,3,107337,0.6893188204406054
4,4,107337,0.945343136031213
5,5,107337,1.2323720934318114
6,6,107418,1.0191759534362312
7,7,107418,0.7898458076873935
8,8,107418,0.6112806159787854
9,9,107418,0.5524635053648137
10,10,107418,0.6505274448062162
11,11,107418,0.8482340131155538
12,12,107418,1.0835234339736897
13,13,107498,1.1612756241053772
14,14,107417,0.955532448452953
15,15,107417,0.6513238980346447
16,16,107417,0.4913828879598348
17,17,107417,0.6141705941497492
18,18,107417,0.9067862860500449
19,19,107377,0.6802304355319709
20,20,107377,0.5505790101398252
21,21,107377,0.6560041528238106
22,22,107377,0.9141493917387614
23,23,107337,1.0921105297130889
24,24,107337,0.8143315730382215
25,25,107336,1.15127687705847
26,26,107336,0.6259653305995838
27,27,107336,0.752597857788327
28,28,107338,0.8804222449358587
29,29,107338,0.21564323476827194
30,30,107338,0.6029253014994553
31,31,107380,0.5583875074461487
32,32,107380,0.610981292949011
33,33,107456,0.48141950317837207
34,34,107456,0.3694803369715837
35,35,107456,1.0991409387930116
36,36,107498,0.6052054823804538
37,37,107498,0.568654989471629
38,38,107498,1.1055363429064227
39,39,107496,0.696632284446464
40,40,107496,0.7811373461050726
41,41,107415,1.1164077500710086
42,42,107415,0.7868110539426673
43,43,107415,1.1722281969315542
44,44,107378,1.044829289907166
45,45,107378,1.1627661558640772
46,46,107281,1.1435826211288371
47,47,107281,0.7817538206053685
48,48,107281,1.0105285525944774
49,49,107248,0.869897012267377
50,50,107248,1.0945450030254242
51,51,107250,0.5342667746780798
52,52,107284,0.22582518250887446
53,53,107284,0.878997353926992
54,54,107339,0.7473434209369432
55,55,107380,1.2010117476804862
56,56,107457,1.0230670689866288
57,57,107457,0.8464020360660253
58,58,107633,0.38573657187636357
59,59,107633,0.7795904176695148
60,60,107589,0.374282833769686
61,61,107588,1.2608613197037435
62,62,107588,0.5304626453389311
63,63,107496,1.0518920538504182
64,64,107543,0.9267306643240989
