,idx,idm,errors
0,0,91325,5.200030490950827
1,1,91325,5.224432281256933
2,2,91325,6.373649830924735
3,3,91325,5.3428129857109905
4,4,91325,5.541417196401401
5,5,91325,5.799475386631123
6,6,91291,6.079754017763714
7,7,91291,6.3595608480285035
8,8,91291,6.654649753641216
9,9,91291,6.944278049876532
10,10,91325,7.193572945665834
11,11,91325,7.3697564185249425
12,12,91325,7.485665395010069
13,13,91325,7.536242086188337
14,14,91325,7.519339793592606
15,15,91325,7.435687794501917
16,16,91325,7.28889630648078
17,17,91325,7.085281579592777
18,18,91325,6.834520772708405
19,19,91325,6.549331141636627
20,20,91325,6.245828017806224
21,21,91325,5.943456417998058
22,22,91325,5.664611388840976
23,23,91325,5.433396167149713
24,24,91325,5.272568367209055
25,25,91325,4.03466728572385
26,26,91325,4.096648792655036
27,27,91325,4.388956223818416
28,28,91291,4.66755411888751
29,29,91291,5.092275071565751
30,30,91270,5.578546230499933
31,31,91270,6.112878735999629
32,32,91270,6.706258203963909
33,33,91270,7.308956035899908
34,34,91291,7.838969161557673
35,35,91291,8.250712858705157
36,36,91291,8.567431576993727
37,37,91325,8.67626858847078
38,38,91325,8.647188558494419
39,39,91325,8.502546025425959
40,40,91325,8.246582139328195
41,41,91333,7.81361533450058
42,42,91333,7.294560617513378
43,43,91333,6.720512573370836
44,44,91333,6.120939181871841
45,45,91333,5.535110549456455
46,46,91333,5.014435250778364
47,47,91325,4.604189668225928
48,48,91325,4.217166119960687
49,49,91325,2.919110632408162
50,50,91325,3.0441385088781128
51,51,91291,3.2861436712120518
52,52,91291,3.7661532441278367
53,53,91270,4.242970221305279
54,54,91270,4.9597945637056124
55,55,91270,5.816889892567908
56,56,91270,6.714373941478868
57,57,91270,7.587650127788886
58,58,91270,8.393750717713537
59,59,91291,9.08984187160313
60,60,91291,9.51316225121395
61,61,91325,9.785541479564628
62,62,91325,9.747358931560637
63,63,91333,9.55280233993564
64,64,91333,9.085984732628123
65,65,91333,8.488165767111466
66,66,91333,7.775201801709509
67,67,91333,6.9684012958724955
68,68,91355,6.071500640226496
69,69,91333,5.203668580000466
70,70,91333,4.3538732267172024
71,71,91333,3.6555263571430796
72,72,91333,3.2679691647640037
73,73,91325,1.9753074487867641
74,74,91291,2.086561100571993
75,75,91291,2.2113037782634066
76,76,91270,2.792857465567458
77,77,91270,3.519051770600931
78,78,91270,4.582943053374125
79,79,91270,5.7507722424022205
80,80,91270,6.911261534926489
81,81,91270,8.005300506790066
82,82,91270,8.995391584821911
83,83,91270,9.854629026927114
84,84,91291,10.441518437902484
85,85,91291,10.77519125145122
86,86,91325,10.81234603287919
87,87,91333,10.490720859873944
88,88,91333,9.934197621907783
89,89,91354,9.206228552388394
90,90,91354,8.217632525191444
91,91,91358,7.117483136666957
92,92,91355,5.966490260473545
93,93,91355,4.811073089209389
94,94,91355,3.791667266888294
95,95,91333,2.878121761205133
96,96,91333,2.1857213610460606
97,97,91326,1.1330960700313955
98,98,91291,1.103655477524694
99,99,91291,1.3677209661317287
100,100,91270,2.0779011032438053
101,101,91269,3.0087122464080283
102,102,91269,4.2178054566322185
103,103,91263,5.573031907561932
104,104,91263,6.9923755428198
105,105,91269,8.342558003707817
106,106,91269,9.563867053902259
107,107,91270,10.632922484537938
108,108,91291,11.342747728125818
109,109,91291,11.716571173175305
110,110,91326,11.818508107624016
111,111,91333,11.407001070713381
112,112,91354,10.7259482914019
113,113,91354,9.735054480850724
114,114,91358,8.496745167914117
115,115,91358,7.137701128838139
116,116,91358,5.7227778106410385
117,117,91358,4.341052792265215
118,118,91358,3.190363126403683
119,119,91354,2.2046321382833587
120,120,91333,1.3933424741504985
121,121,91326,0.4219283877163941
122,122,91291,1.0173544002061314
123,123,91284,0.8028332870922746
124,124,91269,1.3489692739008659
125,125,91269,2.3553307877831435
126,126,91263,3.8028862445104465
127,127,91263,5.422161395180408
128,128,91263,7.079219725974808
129,129,91263,8.671671616001957
130,130,91269,10.063634996954562
131,131,91269,11.250605985507073
132,132,91291,12.209096342467967
133,133,91291,12.612473796048926
134,134,91326,12.685731130246785
135,135,91354,12.28118949820426
136,136,91354,11.38824512067231
137,137,91358,10.235870480395603
138,138,91358,8.844737039657847
139,139,91375,7.304673381797514
140,140,91375,5.660304736282839
141,141,91358,4.032499181986219
142,142,91358,2.4889335889342807
143,143,91354,1.306230987842617
144,144,91331,1.1491864210420617
145,145,91331,1.0471524368953502
146,146,91298,0.6974966954636583
