,idx,idm,errors
0,0,118530,2.384185791015625e-07
1,1,118550,4.76837158203125e-07
2,2,118553,2.384185791015625e-07
3,3,118554,5.960464477539063e-08
4,4,118555,3.5762786865234375e-07
5,5,118551,3.8743019104003906e-07
6,6,118556,4.76837158203125e-07
7,7,118557,0.0
8,8,118558,0.0
9,9,118559,4.6193599700927734e-07
10,10,118560,2.384185791015625e-07
11,11,118561,2.384185791015625e-07
12,12,118563,4.0978193283081055e-07
13,13,118564,2.384185791015625e-07
14,14,118565,2.384185791015625e-07
15,15,118566,0.0
16,16,118568,3.5762786865234375e-07
17,17,118583,4.76837158203125e-07
18,18,118585,4.76837158203125e-07
19,19,118587,2.384185791015625e-07
20,20,118589,3.5762786865234375e-07
21,21,118590,2.384185791015625e-07
22,22,118591,4.76837158203125e-07
23,23,118592,0.0
24,24,118567,0.0
25,25,118594,4.76837158203125e-07
26,26,118595,1.9371509552001953e-07
27,27,118596,2.384185791015625e-07
28,28,118597,4.76837158203125e-07
29,29,118599,2.384185791015625e-07
30,30,118600,4.76837158203125e-07
31,31,118601,0.0
32,32,118602,4.76837158203125e-07
33,33,118612,4.76837158203125e-07
34,34,118611,0.0
35,35,118614,4.76837158203125e-07
36,36,118616,4.76837158203125e-07
37,37,118617,2.384185791015625e-07
38,38,118619,2.384185791015625e-07
39,39,118620,2.682209014892578e-07
40,40,118621,2.384185791015625e-07
41,41,118622,0.0
42,42,118625,1.7881393432617188e-07
43,43,118626,3.5762786865234375e-07
44,44,118627,0.0
45,45,118641,0.0
46,46,118643,0.0
47,47,118644,0.0
48,48,118646,4.76837158203125e-07
49,49,118647,4.76837158203125e-07
50,50,118649,4.76837158203125e-07
51,51,118650,4.76837158203125e-07
52,52,118652,3.1122908694669604e-07
53,53,118653,4.76837158203125e-07
54,54,118654,4.76837158203125e-07
55,55,118665,0.0
56,56,118667,4.76837158203125e-07
57,57,118669,4.76837158203125e-07
58,58,118670,0.0
59,59,118671,4.76837158203125e-07
60,60,118672,4.76837158203125e-07
61,61,118681,4.76837158203125e-07
62,62,118683,4.76837158203125e-07
63,63,118685,2.384185791015625e-07
64,64,118687,0.0
65,65,118688,8.940696716308594e-08
66,66,118696,4.76837158203125e-07
67,67,118699,3.5762786865234375e-07
