,idx,idm,errors
0,0,117908,2.384185791015625e-07
1,1,117929,4.76837158203125e-07
2,2,117930,0.0
3,3,117907,4.76837158203125e-07
4,4,117945,4.76837158203125e-07
5,5,117946,0.0
6,6,117948,0.0
7,7,117928,9.5367431640625e-07
8,8,117947,0.0
9,9,117949,0.0
10,10,117906,4.76837158203125e-07
11,11,117965,0.0
12,12,117966,4.76837158203125e-07
13,13,117967,4.76837158203125e-07
14,14,117983,0.0
15,15,117984,4.76837158203125e-07
16,16,118000,0.0
17,17,118001,4.76837158203125e-07
18,18,118002,4.76837158203125e-07
19,19,117985,4.76837158203125e-07
20,20,118003,0.0
21,21,118004,0.0
22,22,118018,0.0
23,23,118019,4.76837158203125e-07
24,24,118020,4.76837158203125e-07
25,25,118021,0.0
26,26,118036,4.76837158203125e-07
27,27,118037,4.76837158203125e-07
28,28,118039,0.0
29,29,118054,0.0
30,30,118055,0.0
31,31,118056,0.0
32,32,118057,0.0
33,33,118075,4.76837158203125e-07
34,34,118076,0.0
35,35,118091,0.0
36,36,118092,0.0
37,37,118093,0.0
38,38,118096,0.0
39,39,118110,4.76837158203125e-07
40,40,118113,0.0
41,41,118125,0.0
42,42,118128,0.0
43,43,118143,4.76837158203125e-07
