,idx,idm,errors
0,0,91237,4.76837158203125e-07
1,1,91236,0.0
2,2,91260,3.5762786865234375e-07
3,3,91261,4.76837158203125e-07
4,4,91266,1.7508864402770996e-07
5,5,91267,4.76837158203125e-07
6,6,91268,0.0
7,7,91262,4.76837158203125e-07
8,8,91263,0.0
9,9,91269,4.76837158203125e-07
10,10,91283,0.0
11,11,91284,0.0
12,12,91286,4.76837158203125e-07
13,13,91273,2.384185791015625e-07
14,14,91285,2.384185791015625e-07
15,15,91287,2.980232238769531e-07
16,16,91288,2.384185791015625e-07
17,17,91289,0.0
18,18,91290,4.76837158203125e-07
19,19,91294,3.5762786865234375e-07
20,20,91295,4.023313522338867e-07
21,21,91296,3.5762786865234375e-07
22,22,91297,2.384185791015625e-07
23,23,91298,4.76837158203125e-07
24,24,91301,2.384185791015625e-07
25,25,91302,4.76837158203125e-07
26,26,91303,1.7881393432617188e-07
27,27,91304,1.1920928955078125e-07
28,28,91305,0.0
29,29,91306,2.384185791015625e-07
30,30,91308,2.384185791015625e-07
31,31,91309,4.544854164123535e-07
32,32,91310,4.76837158203125e-07
33,33,91312,3.5762786865234375e-07
34,34,91313,3.5762786865234375e-07
35,35,91291,4.76837158203125e-07
36,36,91326,0.0
37,37,91325,0.0
38,38,91331,4.76837158203125e-07
39,39,91332,4.76837158203125e-07
40,40,91333,0.0
41,41,91330,0.0
42,42,91336,0.0
43,43,91337,2.384185791015625e-07
44,44,91338,4.76837158203125e-07
45,45,91341,4.76837158203125e-07
46,46,91342,2.384185791015625e-07
47,47,91343,4.76837158203125e-07
48,48,91344,3.5762786865234375e-07
49,49,91347,2.384185791015625e-07
50,50,91354,0.0
51,51,91357,4.76837158203125e-07
52,52,91361,4.76837158203125e-07
53,53,91362,2.384185791015625e-07
54,54,91363,0.0
55,55,91366,2.384185791015625e-07
56,56,91367,4.76837158203125e-07
57,57,91368,4.842877388000488e-07
58,58,91369,2.384185791015625e-07
59,59,91374,2.384185791015625e-07
60,60,91380,0.0
61,61,91385,2.384185791015625e-07
