,idx,idm,errors
0,0,87796,4.76837158203125e-07
1,1,87797,0.0
2,2,87798,4.76837158203125e-07
3,3,87799,4.76837158203125e-07
4,4,87800,0.0
5,5,87871,4.76837158203125e-07
6,6,87863,0.0
7,7,87872,9.5367431640625e-07
8,8,87864,0.0
9,9,87873,0.0
10,10,87874,0.0
11,11,87879,0.0
12,12,87880,0.0
13,13,87881,0.0
14,14,87882,4.76837158203125e-07
15,15,87883,0.0
16,16,87884,0.0
17,17,87885,4.76837158203125e-07
18,18,87886,4.76837158203125e-07
19,19,87887,0.0
20,20,87915,4.76837158203125e-07
21,21,87919,4.76837158203125e-07
22,22,87916,0.0
23,23,87924,0.0
24,24,87925,2.384185791015625e-07
25,25,87926,2.384185791015625e-07
26,26,87947,0.0
27,27,87953,4.76837158203125e-07
28,28,87954,0.0
29,29,87976,0.0
